,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
156,JOHNSON REGIONAL MEDICAL CENTER (040002),2017,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,,,7.6,15.0,16.4,,,,18.2
157,WASHINGTON REGIONAL MEDICAL CENTER (040004),2017,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,13.2,,4.6,9.4,19.2,13.5,,,,22.7
158,CHI-ST VINCENT INFIRMARY (040007),2017,Acute Care,Voluntary non-profit - Private,414.0,,,AR,14.6,,5.2,9.9,18.5,13.0,,,,17.5
159,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2017,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,13.0,,4.5,8.8,17.3,11.4,,,,17.2
160,CHAMBERS MEMORIAL HOSPITAL (040011),2017,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,15.8,,,6.7,15.4,11.6,,,,14.0
161,WHITE COUNTY MEDICAL CENTER (040014),2017,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,13.3,,,8.6,15.1,13.5,,,,17.5
162,MENA REGIONAL HEALTH SYSTEM (040015),2017,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,,10.1,15.3,15.7,,,,19.1
163,UAMS MEDICAL CENTER (040016),2017,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,12.3,,,7.7,18.5,10.5,,,,13.6
164,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2017,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,14.7,,,8.9,15.7,13.3,,,,17.1
165,SPARKS MEDICAL CENTER - VAN BUREN (040018),2017,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,,,8.0,,13.6,,,,17.2
166,FORREST CITY MEDICAL CENTER (040019),2017,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,,9.3,16.6,12.8,,,,20.8
167,ST BERNARDS MEDICAL CENTER (040020),2017,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,15.1,,4.5,9.0,16.6,15.9,,,,19.7
168,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2017,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,15.2,,6.0,8.2,15.9,17.2,,,,16.7
169,CHI ST. VINCENT HOSPITAL HOT SPRINGS (040026),2017,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,15.3,,4.8,9.2,14.4,13.5,,,,16.3
170,BAXTER REGIONAL MEDICAL CENTER (040027),2017,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,16.9,,3.0,7.5,14.7,14.0,,,,18.2
171,CONWAY REGIONAL MEDICAL CENTER (040029),2017,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,12.1,,4.2,9.9,14.0,12.6,,,,19.9
172,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2017,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,14.5,,4.8,8.8,15.1,14.1,,,,17.8
173,ARKANSAS METHODIST MEDICAL CENTER (040039),2017,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,16.5,,,8.8,14.0,15.4,,,,16.1
174,ST MARYS REGIONAL MEDICAL CENTER (040041),2017,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,16.1,,,7.7,15.2,14.6,,,,17.6
175,FIVE RIVERS MEDICAL CENTER (040047),2017,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,,,,6.9,,12.0,,,,19.3
176,OUACHITA COUNTY MEDICAL CENTER (040050),2017,Acute Care,Voluntary non-profit - Private,97.0,,,AR,,,,8.7,14.7,14.1,,,,18.8
177,DREW MEMORIAL HOSPITAL (040051),2017,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,,,,7.7,15.0,11.2,,,,15.3
178,SPARKS REGIONAL MEDICAL CENTER (040055),2017,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,13.9,,4.2,8.5,15.2,13.9,,,,18.1
179,MERCY HOSPITAL FORT SMITH (040062),2017,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,14.0,,3.3,8.6,15.8,12.9,,,,16.5
180,MAGNOLIA HOSPITAL (040067),2017,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,,,,8.6,14.9,16.5,,,,21.2
181,GREAT RIVER MEDICAL CENTER (040069),2017,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,,,,8.3,,13.7,,,,14.6
182,JEFFERSON REGIONAL MEDICAL CENTER (040071),2017,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,16.0,,3.3,8.4,14.6,13.1,,,,20.4
183,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2017,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,,,,9.8,15.5,10.0,,,,16.7
184,NORTH METRO MEDICAL CENTER (040074),2017,Acute Care,Proprietary,70.0,34.872381,-92.124697,AR,,,,9.5,,12.0,,,,16.0
185,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2017,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,,,,7.6,13.7,13.7,,,,15.3
186,NATIONAL PARK MEDICAL CENTER (040078),2017,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,14.8,,2.9,7.9,14.1,14.1,,,,20.3
187,SALINE MEMORIAL HOSPITAL (040084),2017,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,14.6,,,8.7,17.4,12.4,,,,17.3
188,HELENA REGIONAL MEDICAL CENTER (040085),2017,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,,,,6.9,13.8,13.6,,,,16.3
189,MEDICAL CENTER SOUTH ARKANSAS (040088),2017,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,13.1,,4.3,8.8,16.1,16.0,,,,21.3
190,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2017,Acute Care,Voluntary non-profit - Private,773.0,,,AR,15.9,,5.3,9.8,14.9,13.1,,,,17.9
191,NEA BAPTIST MEMORIAL HOSPITAL (040118),2017,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,13.1,,3.1,8.0,15.7,12.5,,,,14.0
192,WHITE RIVER MEDICAL CENTER (040119),2017,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,14.4,,,9.3,15.7,14.3,,,,15.3
193,"ARKANSAS HEART HOSPITAL, LLC (040134)",2017,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,12.5,,4.2,8.4,12.9,11.6,,,,17.4
194,ST VINCENT MEDICAL CENTER/NORTH (040137),2017,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,,,,8.7,15.7,13.7,,,,17.7
195,WADLEY REGIONAL MEDICAL CENTER AT HOPE (040153),2017,Acute Care,Proprietary,70.0,33.648008,-93.587052,AR,,,,7.1,14.0,11.8,,,,16.3
196,MERCY HOSPITAL TURNER MEMORIAL (041303),2017,Critical Access,Voluntary non-profit - Private,25.0,35.486118,-93.833805,AR,,,,7.8,,,,,,16.6
197,MERCY HOSPITAL WALDRON (041305),2017,Critical Access,Voluntary non-profit - Private,24.0,34.896785,-94.106078,AR,,,,,,12.7,,,,15.5
198,LAWRENCE MEMORIAL HOSPITAL (041309),2017,Critical Access,Government - Local,25.0,36.074701,-90.966982,AR,,,,6.7,,11.2,,,,16.6
199,HOWARD MEMORIAL HOSPITAL (041311),2017,Critical Access,Voluntary non-profit - Private,24.0,33.950926,-93.880772,AR,,,,9.2,,12.0,,,,17.4
200,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS (041312),2017,Critical Access,Voluntary non-profit - Private,25.0,35.506578,-92.001319,AR,,,,7.3,13.6,12.5,,,,16.9
201,OZARK HEALTH (041313),2017,Critical Access,Voluntary non-profit - Private,143.0,35.559375,-92.449913,AR,,,,7.8,,11.1,,,,16.5
202,MERCY HOSPITAL BOONEVILLE (041318),2017,Critical Access,Voluntary non-profit - Private,24.0,35.140979,-93.934703,AR,,,,,,,,,,19.1
203,"DE QUEEN MEDICAL CENTER, INC (041319)",2017,Critical Access,Proprietary,35.0,,,AR,,,,7.6,,17.4,,,,14.2
204,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA (041321),2017,Critical Access,Voluntary non-profit - Private,25.0,34.122802,-93.08797,AR,,,,9.1,14.1,11.1,,,,19.5
205,ASHLEY COUNTY MEDICAL CENTER (041323),2017,Critical Access,Voluntary non-profit - Private,34.0,33.137206,-91.93878,AR,,,,9.0,15.3,12.1,,,,16.9
206,CHI ST VINCENT MORRILTON (041324),2017,Critical Access,Voluntary non-profit - Church,24.0,35.16997,-92.721702,AR,,,,9.7,,11.9,,,,16.2
207,BRADLEY COUNTY MEDICAL CENTER (041327),2017,Critical Access,Voluntary non-profit - Private,35.0,33.610538,-92.058665,AR,,,,7.7,,11.5,,,,14.9
208,CHICOT MEMORIAL MEDICAL CENTER (041328),2017,Critical Access,Voluntary non-profit - Private,25.0,33.305642,-91.290353,AR,,,,7.2,14.6,14.5,,,,16.4
209,MERCY HOSPITAL BERRYVILLE (041329),2017,Critical Access,Voluntary non-profit - Private,25.0,36.358225,-93.551993,AR,,,,,,14.9,,,,17.1
210,OZARKS COMMUNITY HOSPITAL OF GRAVETTE (041331),2017,Critical Access,Proprietary,26.0,36.408563,-94.45987,AR,,,,8.2,,,,,,14.1
211,ST ROSE HOSPITAL (050002),2017,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,13.4,,,8.6,14.4,11.1,,,,17.7
212,ST JOSEPH HOSPITAL (050006),2017,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,13.6,,,8.5,13.9,15.3,,,,15.0
213,MILLS-PENINSULA MEDICAL CENTER (050007),2017,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,13.1,,3.2,6.7,12.7,9.8,,,,12.2
214,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2017,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,,,,,14.8,12.3,,,,14.7
215,QUEEN OF THE VALLEY MEDICAL CENTER (050009),2017,Acute Care,Voluntary non-profit - Church,172.0,38.323554,-122.295968,CA,14.2,,3.1,8.9,15.3,12.9,,,,16.6
216,ST HELENA HOSPITAL (050013),2017,Acute Care,Voluntary non-profit - Private,153.0,38.54196,-122.475344,CA,14.9,,3.0,8.2,14.4,9.4,,,,14.9
217,SUTTER AMADOR HOSPITAL (050014),2017,Acute Care,Voluntary non-profit - Private,50.0,38.349561,-120.765905,CA,14.3,,,11.4,16.0,12.5,,,,16.8
218,MERCY GENERAL HOSPITAL (050017),2017,Acute Care,Voluntary non-profit - Church,379.0,38.569385,-121.452482,CA,12.9,,2.2,8.8,13.4,11.7,,,,14.8
219,PACIFIC ALLIANCE MEDICAL CENTER (050018),2017,Acute Care,Proprietary,139.0,,,CA,,,,7.0,12.7,10.3,,,,13.1
220,RIVERSIDE COMMUNITY HOSPITAL (050022),2017,Acute Care,Government - State,415.0,33.975677,-117.380374,CA,14.6,,2.8,8.1,13.1,10.1,,,,14.6
221,PARADISE VALLEY HOSPITAL (050024),2017,Acute Care,Proprietary,289.0,32.686336,-117.083243,CA,14.1,,,6.9,12.6,9.1,,,,15.1
222,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR (050025),2017,Acute Care,Voluntary non-profit - Other,630.0,32.753717,-117.165914,CA,11.3,,2.8,8.1,13.9,10.4,,,,14.7
223,GROSSMONT HOSPITAL (050026),2017,Acute Care,Government - Hospital District or Authority,545.0,32.779435,-117.009178,CA,13.6,,3.7,10.4,13.1,12.0,,,,18.0
224,MAD RIVER COMMUNITY HOSPITAL (050028),2017,Acute Care,Proprietary,66.0,40.903309,-124.090847,CA,,,,10.0,14.4,11.2,,,,16.4
225,OROVILLE HOSPITAL (050030),2017,Acute Care,Voluntary non-profit - Private,166.0,39.504535,-121.542106,CA,11.3,,,7.2,10.8,7.0,,,,10.3
226,BAKERSFIELD MEMORIAL HOSPITAL (050036),2017,Acute Care,Voluntary non-profit - Private,396.0,35.390474,-119.006836,CA,14.2,,3.1,8.6,17.2,13.7,,,,18.4
227,SANTA CLARA VALLEY MEDICAL CENTER (050038),2017,Acute Care,Government - Local,684.0,37.313702,-121.931888,CA,13.6,,,7.6,17.2,9.4,,,,21.1
228,ENLOE MEDICAL CENTER (050039),2017,Acute Care,Voluntary non-profit - Private,315.0,39.742284,-121.849128,CA,15.3,,3.2,6.6,15.9,12.4,,,,18.4
229,LAC/OLIVE VIEW-UCLA MEDICAL CENTER (050040),2017,Acute Care,Voluntary non-profit - Other,286.0,34.325912,-118.445513,CA,,,,,,12.1,,,,17.2
230,ST ELIZABETH COMMUNITY HOSPITAL (050042),2017,Acute Care,Voluntary non-profit - Church,65.0,40.148834,-122.218303,CA,,,,11.7,14.4,14.8,,,,18.4
231,ALTA BATES SUMMIT MEDICAL CENTER (050043),2017,Acute Care,Voluntary non-profit - Private,389.0,37.820784,-122.26328,CA,12.6,,2.5,8.3,11.9,9.2,,,,15.8
232,EL CENTRO REGIONAL MEDICAL CENTER (050045),2017,Acute Care,Voluntary non-profit - Other,162.0,32.781498,-115.56862,CA,13.8,,,9.2,12.4,12.2,,,,16.1
233,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP (050047),2017,Acute Care,Voluntary non-profit - Private,456.0,37.786152,-122.421544,CA,12.2,,3.6,7.0,13.9,9.3,,,,15.5
234,SAN GORGONIO MEMORIAL HOSPITAL (050054),2017,Acute Care,Government - Hospital District or Authority,72.0,,,CA,14.2,,,8.1,,10.7,,,,18.6
235,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS (050055),2017,Acute Care,Voluntary non-profit - Church,186.0,37.74805,-122.420987,CA,,,,7.5,14.2,10.4,,,,13.4
236,ANTELOPE VALLEY HOSPITAL (050056),2017,Acute Care,Government - Hospital District or Authority,396.0,34.689371,-118.158476,CA,14.0,,,9.8,17.6,10.8,,,,21.1
237,KAWEAH DELTA MEDICAL CENTER (050057),2017,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,12.5,,2.1,9.2,14.6,12.8,,,,16.7
238,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2017,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,14.0,,3.8,7.2,12.6,8.6,,,,13.9
239,COMMUNITY REGIONAL MEDICAL CENTER (050060),2017,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,10.9,,2.6,9.7,15.7,11.2,,,,16.0
240,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2017,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,13.1,,2.9,8.3,13.3,9.4,,,,12.6
241,OAK VALLEY HOSPITAL DISTRICT (050067),2017,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,,,,9.4,14.9,10.3,,,,18.1
242,ST JOSEPH HOSPITAL (050069),2017,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,13.2,,3.9,8.6,15.8,13.1,,,,19.5
243,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2017,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,,,,,14.8,,,,,
244,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2017,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,13.2,,,,14.4,11.6,,,,16.4
245,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND (050075),2017,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,13.3,,,8.1,14.5,12.2,,,,14.6
246,SCRIPPS MERCY HOSPITAL (050077),2017,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,12.8,,2.7,7.7,12.4,10.0,,,,14.4
247,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2017,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,13.4,,,8.2,14.9,12.5,,,,13.7
248,ST JOHNS REGIONAL MEDICAL CENTER (050082),2017,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,12.8,,2.6,7.6,12.6,9.9,,,,16.6
249,ST JOSEPH'S MEDICAL CENTER OF STOCKTON (050084),2017,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,13.7,,4.7,10.4,16.7,9.7,,,,17.7
250,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2017,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,,,,7.7,,12.2,,,,16.9
251,SONOMA VALLEY HOSPITAL (050090),2017,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,,,,8.4,14.4,11.9,,,,15.7
252,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2017,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,12.9,,,7.5,,11.2,,,,13.8
253,SAINT AGNES MEDICAL CENTER (050093),2017,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,13.9,,2.7,8.9,14.8,13.5,,,,19.5
254,"WEST COVINA MEDICAL CENTER, INC (050096)",2017,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,,,,7.2,,,,,,
255,SAN ANTONIO REGIONAL HOSPITAL (050099),2017,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,12.2,,3.1,8.5,12.5,10.9,,,,14.7
256,SHARP MEMORIAL HOSPITAL (050100),2017,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,15.3,,2.7,8.3,15.0,11.8,,,,15.6
257,SUTTER SOLANO MEDICAL CENTER (050101),2017,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,14.2,,,8.5,14.3,12.9,,,,16.9
258,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2017,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,13.5,,,7.6,15.1,10.9,,,,15.4
259,WHITE MEMORIAL MEDICAL CENTER (050103),2017,Acute Care,Voluntary non-profit - Church,352.0,,,CA,13.8,,,7.1,12.6,10.5,,,,11.1
260,SAINT FRANCIS MEDICAL CENTER (050104),2017,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,13.5,,,7.2,14.0,8.9,,,,12.8
261,MARIAN REGIONAL MEDICAL CENTER (050107),2017,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,12.1,,2.7,10.7,16.3,15.1,,,,18.9
262,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2017,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,12.2,,2.0,8.6,12.5,12.8,,,,15.8
263,LOMPOC VALLEY MEDICAL CENTER (050110),2017,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,13.1,,,9.7,14.5,14.6,,,,17.0
264,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2017,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,12.9,,,5.7,11.3,8.4,,,,11.7
265,SAN MATEO MEDICAL CENTER (050113),2017,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,,,,,,,,,,16.3
266,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2017,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,15.3,,2.9,8.4,15.1,11.7,,,,17.2
267,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2017,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,11.4,,3.7,7.5,14.4,12.1,,,,14.1
268,DOCTORS HOSPITAL OF MANTECA (050118),2017,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,13.7,,,10.8,14.3,11.4,,,,17.3
269,ADVENTIST MEDICAL CENTER (050121),2017,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,14.2,,,9.9,14.7,11.5,,,,20.4
270,DAMERON HOSPITAL (050122),2017,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,12.8,,,7.8,17.3,14.6,,,,16.8
271,USC VERDUGO HILLS HOSPITAL (050124),2017,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,14.2,,,6.8,15.5,11.4,,,,16.8
272,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2017,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,12.9,,3.0,6.9,15.1,9.7,,,,15.6
273,VALLEY PRESBYTERIAN HOSPITAL (050126),2017,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,12.5,,,7.6,13.5,9.4,,,,14.9
274,WOODLAND MEMORIAL HOSPITAL (050127),2017,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,,,,11.2,17.9,13.5,,,,19.1
275,TRI-CITY MEDICAL CENTER (050128),2017,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,13.5,,4.3,10.3,14.8,13.1,,,,17.4
276,ST BERNARDINE MEDICAL CENTER (050129),2017,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,15.1,,3.6,8.7,17.2,12.3,,,,15.0
277,NOVATO COMMUNITY HOSPITAL (050131),2017,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,,,,7.8,13.5,12.7,,,,14.1
278,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2017,Acute Care,Physician,272.0,34.102461,-118.105572,CA,11.9,,,6.5,14.0,7.9,,,,11.0
279,RIDEOUT MEMORIAL HOSPITAL (050133),2017,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,13.9,,3.6,8.2,15.2,15.0,,,,19.0
280,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2017,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,12.2,,,4.8,11.0,8.1,,,,9.3
281,PETALUMA VALLEY HOSPITAL (050136),2017,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,13.3,,,8.2,13.8,10.6,,,,15.4
282,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2017,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,,,,,13.4,,,,,
283,KAISER FOUNDATION HOSPITAL - DOWNEY (050139),2017,Acute Care,Voluntary non-profit - Other,358.0,33.917101,-118.128998,CA,,,,,,,,,,16.1
284,KAISER FOUNDATION HOSPITAL FONTANA (050140),2017,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,14.3,,,8.2,16.2,,,,,15.3
285,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2017,Acute Care,Voluntary non-profit - Private,278.0,,,CA,13.6,,2.9,6.8,13.0,12.0,,,,15.2
286,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2017,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,12.5,,,8.6,13.6,10.6,,,,15.1
287,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2017,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,13.9,,,7.4,15.0,11.8,,,,15.2
288,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2017,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,13.4,,,9.1,12.6,10.8,,,,13.8
289,O'CONNOR HOSPITAL (050153),2017,Acute Care,Voluntary non-profit - Church,348.0,,,CA,15.3,,,8.2,13.7,12.1,,,,17.6
290,ENCINO HOSPITAL MEDICAL CENTER (050158),2017,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,11.6,,,,12.6,9.1,,,,11.9
291,VENTURA COUNTY MEDICAL CENTER (050159),2017,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,14.4,,,8.2,16.6,11.2,,,,18.1
292,SAN JOAQUIN GENERAL HOSPITAL (050167),2017,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,,,,9.0,15.9,11.9,,,,17.0
293,ST JUDE MEDICAL CENTER (050168),2017,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,13.7,,2.5,9.6,15.1,13.0,,,,16.1
294,PRESBYTERIAN INTERCOMMUNITY HOSPITAL (050169),2017,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,12.8,,,5.9,12.6,8.6,,,,12.5
295,SANTA ROSA MEMORIAL HOSPITAL (050174),2017,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,13.6,,2.2,8.4,18.2,11.4,,,,18.1
296,EMANUEL MEDICAL CENTER (050179),2017,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,12.6,,2.5,9.8,15.1,11.4,,,,15.5
297,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2017,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,12.8,,,7.7,14.4,10.6,,,,15.0
298,GEORGE L MEE MEMORIAL HOSPITAL (050189),2017,Acute Care,Voluntary non-profit - Other,89.0,36.206819,-121.132137,CA,,,,7.9,,,,,,16.2
299,ST MARY MEDICAL CENTER (050191),2017,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,12.4,,,6.4,15.4,11.6,,,,14.0
300,ADVENTIST MEDICAL CENTER - REEDLEY (050192),2017,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,,,,7.6,,,,,,17.3
301,WATSONVILLE COMMUNITY HOSPITAL (050194),2017,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,13.5,,,11.1,15.1,14.9,,,,16.5
302,WASHINGTON HOSPITAL (050195),2017,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,11.5,,3.0,7.9,13.8,11.0,,,,14.6
303,SEQUOIA HOSPITAL (050197),2017,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,13.4,,2.6,6.3,15.0,12.1,,,,15.0
304,PALMDALE REGIONAL MEDICAL CENTER (050204),2017,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,11.8,,,8.6,13.4,11.7,,,,15.7
305,GLENDORA COMMUNITY HOSPITAL (050205),2017,Acute Care,Proprietary,128.0,34.128685,-117.865193,CA,,,,6.7,,,,,,11.4
306,ALAMEDA HOSPITAL (050211),2017,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,13.3,,,6.3,12.6,10.1,,,,17.3
307,SHARP CHULA VISTA MEDICAL CENTER (050222),2017,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,14.8,,3.5,6.2,11.9,9.4,,,,14.3
