,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
153,YAVAPAI REGIONAL MEDICAL CENTER-EAST (030118),2014,Acute Care,Proprietary,61.0,,,AZ,16.8,,10.0,21.3,,14.4,17.1,5.1
154,MERCY GILBERT MEDICAL CENTER (030119),2014,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,14.4,17.3,9.5,22.5,,10.3,14.6,5.1
155,GILBERT HOSPITAL (030120),2014,Acute Care,Proprietary,19.0,,,AZ,,,10.7,23.9,,9.4,17.5,
156,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2014,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,15.8,18.3,12.4,24.9,,9.8,18.9,6.7
157,BANNER GATEWAY MEDICAL CENTER (030122),2014,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,14.5,,12.2,23.7,,9.3,16.9,5.3
158,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL (030123),2014,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,14.6,,12.7,21.4,,10.4,17.4,4.8
159,PHOENIX VA MEDICAL CENTER (03012F),2014,Acute Care (VA),Government - Federal,,,,,14.1,20.7,10.6,24.4,,12.2,17.4,
160,BANNER IRONWOOD MEDICAL CENTER (030130),2014,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,,,,10.7,17.9,
161,OASIS HOSPITAL (030131),2014,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,,,,4.6
162,VA S. ARIZONA HEALTHCARE SYSTEM (03013F),2014,Acute Care (VA),Government - Federal,,,,,14.3,20.5,15.7,26.0,,13.2,18.3,
163,VA NORTHERN ARIZONA HEALTHCARE SYSTEM (03033F),2014,Acute Care (VA),Government - Federal,,,,,,,10.9,26.2,,12.4,18.2,
164,NORTHERN COCHISE COMMUNITY HOSPITAL (031302),2014,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,12.4,22.1,,10.5,16.9,
165,HOPI HEALTH CARE CENTER (031305),2014,Critical Access,Tribal,6.0,,,AZ,,,,,,11.0,16.8,
166,SAGE MEMORIAL HOSPITAL (031309),2014,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,,10.3,17.8,
167,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2014,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,,23.3,,10.6,17.0,
168,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2014,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,12.9,25.0,,13.3,19.2,
169,JOHNSON REGIONAL MEDICAL CENTER (040002),2014,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,17.8,18.3,11.8,22.4,,14.7,20.0,5.0
170,WASHINGTON REGIONAL MED CTR AT NORTH HILLS (040004),2014,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,15.7,16.7,13.3,21.9,,14.1,16.1,4.3
171,ST VINCENT INFIRMARY MEDICAL CENTER (040007),2014,Acute Care,Voluntary non-profit - Private,414.0,,,AR,15.7,17.8,13.4,24.3,,14.0,17.3,6.2
172,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2014,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,14.5,19.6,13.9,20.3,,13.5,18.3,5.5
173,CHAMBERS MEMORIAL HOSPITAL (040011),2014,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,16.7,19.5,9.4,26.6,,9.5,21.9,
174,WHITE COUNTY MEDICAL CENTER (040014),2014,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,16.3,18.3,14.3,25.5,,11.9,21.9,6.4
175,MENA REGIONAL HEALTH SYSTEM (040015),2014,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,13.9,22.1,,11.5,16.6,
176,UAMS MEDICAL CENTER (040016),2014,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,14.5,20.3,11.8,24.5,,12.1,19.2,5.9
177,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2014,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,18.4,19.6,10.6,24.3,,11.1,17.8,7.0
178,SUMMIT MEDICAL CENTER (040018),2014,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,,13.9,23.6,,11.9,20.0,4.9
179,FORREST CITY MEDICAL CENTER (040019),2014,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,12.0,24.3,,15.2,18.3,
180,ST BERNARDS MEDICAL CENTER (040020),2014,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,16.7,18.5,15.7,21.4,,12.0,16.0,6.0
181,"NW ARKANSAS HOSPITALS, LLC (040022)",2014,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,18.0,18.8,12.9,24.0,,14.0,18.4,5.6
182,ST JOSEPHS MERCY HEALTH CENTER INC (040026),2014,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,15.8,16.6,14.2,22.6,,11.5,16.0,5.5
183,BAXTER REGIONAL MEDICAL CENTER (040027),2014,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,17.5,22.0,15.4,24.8,,15.9,21.8,5.7
184,CONWAY REGIONAL MEDICAL CENTER (040029),2014,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,18.4,17.5,17.5,21.2,,15.8,18.5,6.1
185,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2014,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,13.4,17.9,14.3,26.2,,10.9,19.2,5.2
186,ARKANSAS METHODIST MEDICAL CENTER (040039),2014,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,16.1,20.1,15.9,26.7,,12.5,18.1,5.8
187,ST MARYS REGIONAL MEDICAL CENTER (040041),2014,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,20.6,19.1,15.8,24.4,,15.0,15.9,5.1
188,CRITTENDEN MEMORIAL HOSPITAL (040042),2014,Acute Care,Voluntary non-profit - Private,162.0,,,AR,14.0,,12.0,22.8,,12.7,19.6,
189,FIVE RIVERS MEDICAL CENTER (040047),2014,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,,,12.9,25.5,,11.9,19.6,
190,OUACHITA COUNTY MEDICAL CENTER (040050),2014,Acute Care,Voluntary non-profit - Private,97.0,,,AR,,,13.2,22.7,,13.6,16.5,
191,DREW MEMORIAL HOSPITAL (040051),2014,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,,,12.7,22.0,,13.1,18.6,
192,SPARKS REGIONAL MEDICAL CENTER (040055),2014,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,14.9,20.3,12.7,24.6,,12.0,15.7,4.1
193,ST EDWARD MERCY MEDICAL CENTER (040062),2014,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,14.5,15.9,13.0,22.6,,12.4,14.9,4.6
194,MAGNOLIA HOSPITAL (040067),2014,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,,,14.0,26.7,,12.8,16.5,
195,GREAT RIVER MEDICAL CENTER (040069),2014,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,,,13.0,24.5,,12.8,22.0,
196,JEFFERSON REGIONAL MEDICAL CENTER (040071),2014,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,16.8,18.3,12.2,25.9,,10.5,18.2,5.9
197,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2014,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,16.8,,10.0,25.5,,14.2,17.0,
198,NORTH METRO MEDICAL CENTER (040074),2014,Acute Care,Proprietary,70.0,34.872381,-92.124697,AR,,,9.8,24.8,,14.1,18.0,
199,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2014,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,,,14.4,25.6,,12.4,19.1,
200,NATIONAL PARK MEDICAL CENTER (040078),2014,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,19.9,19.5,14.7,25.6,,14.6,18.6,6.9
201,HARRIS HOSPITAL (040080),2014,Acute Care,Proprietary,121.0,,,AR,,,12.8,25.3,,13.0,19.9,
202,SALINE MEMORIAL HOSPITAL (040084),2014,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,15.4,17.8,15.1,23.9,,12.6,18.9,7.5
203,HELENA REGIONAL MEDICAL CENTER (040085),2014,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,,,11.5,25.4,,16.9,18.0,
204,MEDICAL CENTER SOUTH ARKANSAS (040088),2014,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,19.0,17.6,14.2,25.7,,12.0,16.3,4.8
205,FAYETTEVILLE AR VA MEDICAL CENTER (04009F),2014,Acute Care (VA),Government - Federal,,,,,15.4,,10.7,23.7,,14.4,16.8,
206,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR (04010F),2014,Acute Care (VA),Government - Federal,,,,,14.2,19.6,9.7,25.7,,10.9,20.6,
207,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2014,Acute Care,Voluntary non-profit - Private,773.0,,,AR,14.7,18.9,11.6,21.8,,12.2,18.8,6.6
208,NEA BAPTIST MEMORIAL HOSPITAL (040118),2014,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,14.3,18.1,15.8,25.8,,11.9,15.9,7.0
209,WHITE RIVER MEDICAL CENTER (040119),2014,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,16.2,20.0,14.0,24.6,,13.1,19.4,6.9
210,ARKANSAS HEART HOSPITAL (040134),2014,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,11.9,19.2,14.0,24.8,,10.0,17.1,
211,ST VINCENT MEDICAL CENTER/NORTH (040137),2014,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,,,11.8,23.8,,9.7,16.2,5.4
212,ARKANSAS SURGICAL HOSPITAL (040147),2014,Acute Care,Physician,49.0,34.801458,-92.347687,AR,,,,,,,,4.2
213,PHYSICIANS' SPECIALTY HOSPITAL (040152),2014,Acute Care,Proprietary,20.0,36.12133,-94.13373,AR,,,,,,,,5.7
214,NORTH LOGAN MERCY HOSPITAL (041300),2014,Critical Access,Voluntary non-profit - Private,16.0,35.289988,-93.725419,AR,,,14.5,22.4,,12.0,17.2,
215,MERCY HOSPITAL TURNER MEMORIAL (041303),2014,Critical Access,Voluntary non-profit - Private,25.0,35.486118,-93.833805,AR,,,,22.0,,13.5,17.3,
216,ST EDWARD HEALTH FACILITIES OF SCOTT COUNTY (041305),2014,Critical Access,Voluntary non-profit - Private,24.0,34.896785,-94.106078,AR,,,11.0,21.1,,14.5,16.0,
217,LAWRENCE MEMORIAL HOSPITAL (041309),2014,Critical Access,Government - Local,25.0,36.074701,-90.966982,AR,,,11.1,23.1,,14.5,18.1,
218,HOWARD MEMORIAL HOSPITAL (041311),2014,Critical Access,Voluntary non-profit - Private,24.0,33.950926,-93.880772,AR,,,11.9,23.8,,17.1,17.1,
219,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS (041312),2014,Critical Access,Voluntary non-profit - Private,25.0,35.506578,-92.001319,AR,,,11.2,23.9,,12.6,16.1,
220,OZARK HEALTH (041313),2014,Critical Access,Voluntary non-profit - Private,143.0,35.559375,-92.449913,AR,,,11.5,21.8,,15.2,16.7,
221,MERCY HOSPITAL BOONEVILLE (041318),2014,Critical Access,Voluntary non-profit - Private,24.0,35.140979,-93.934703,AR,,,13.6,25.0,,10.8,17.5,
222,"DE QUEEN MEDICAL CENTER, INC (041319)",2014,Critical Access,Proprietary,35.0,,,AR,,,13.7,24.3,,12.5,19.4,
223,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA (041321),2014,Critical Access,Voluntary non-profit - Private,25.0,34.122802,-93.08797,AR,,,10.8,23.2,,12.6,16.8,
224,ASHLEY COUNTY MEDICAL CENTER (041323),2014,Critical Access,Voluntary non-profit - Private,34.0,33.137206,-91.93878,AR,,,13.0,23.2,,12.6,16.8,
225,ST VINCENT MORRILTON (041324),2014,Critical Access,Voluntary non-profit - Church,24.0,35.16997,-92.721702,AR,,,13.1,22.0,,14.9,17.3,
226,BRADLEY COUNTY MEDICAL CENTER (041327),2014,Critical Access,Voluntary non-profit - Private,35.0,33.610538,-92.058665,AR,,,12.9,23.0,,13.1,17.6,
227,CHICOT MEMORIAL MEDICAL CENTER (041328),2014,Critical Access,Voluntary non-profit - Private,25.0,33.305642,-91.290353,AR,,,15.7,27.9,,14.2,18.3,
228,MERCY HOSPITAL BERRYVILLE (041329),2014,Critical Access,Voluntary non-profit - Private,25.0,36.358225,-93.551993,AR,,,12.4,24.2,,11.1,17.2,
229,OZARKS COMMUNITY HOSPITAL OF GRAVETTE (041331),2014,Critical Access,Proprietary,26.0,36.408563,-94.45987,AR,,,,24.7,,11.4,19.8,
230,ST ROSE HOSPITAL (050002),2014,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,16.4,19.4,10.8,25.3,,8.7,18.4,6.0
231,ST JOSEPH HOSPITAL (050006),2014,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,18.7,16.0,12.8,20.3,,11.4,14.6,4.4
232,MILLS-PENINSULA MEDICAL CENTER (050007),2014,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,14.2,17.4,13.0,22.3,,9.9,18.1,5.3
233,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2014,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,,,10.3,23.1,,12.7,17.3,
234,QUEEN OF THE VALLEY MEDICAL CENTER (050009),2014,Acute Care,Voluntary non-profit - Church,172.0,38.323554,-122.295968,CA,18.1,17.5,10.9,21.0,,11.1,15.8,5.2
235,ST HELENA HOSPITAL (050013),2014,Acute Care,Voluntary non-profit - Private,153.0,38.54196,-122.475344,CA,15.2,17.2,11.0,20.6,,9.7,18.1,5.2
236,SUTTER AMADOR HOSPITAL (050014),2014,Acute Care,Voluntary non-profit - Private,50.0,38.349561,-120.765905,CA,15.9,,15.2,21.8,,11.4,15.7,6.1
237,MERCY GENERAL HOSPITAL (050017),2014,Acute Care,Voluntary non-profit - Church,379.0,38.569385,-121.452482,CA,16.0,17.9,11.6,21.2,,15.2,17.4,4.2
238,PACIFIC ALLIANCE MEDICAL CENTER (050018),2014,Acute Care,Proprietary,139.0,,,CA,13.7,,11.0,23.8,,10.2,17.6,
239,RIVERSIDE COMMUNITY HOSPITAL (050022),2014,Acute Care,Government - State,415.0,33.975677,-117.380374,CA,13.7,18.8,11.1,24.9,,11.3,18.5,4.8
240,PARADISE VALLEY HOSPITAL (050024),2014,Acute Care,Proprietary,289.0,32.686336,-117.083243,CA,13.1,19.4,8.2,23.2,,8.5,17.5,
241,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER (050025),2014,Acute Care,Voluntary non-profit - Other,630.0,32.753717,-117.165914,CA,12.1,17.9,9.6,24.8,,8.2,20.3,4.7
242,GROSSMONT HOSPITAL (050026),2014,Acute Care,Government - Hospital District or Authority,545.0,32.779435,-117.009178,CA,16.1,18.6,14.1,23.7,,14.7,18.3,4.5
243,MAD RIVER COMMUNITY HOSPITAL (050028),2014,Acute Care,Proprietary,66.0,40.903309,-124.090847,CA,,,13.2,22.9,,14.6,16.1,
244,OROVILLE HOSPITAL (050030),2014,Acute Care,Voluntary non-profit - Private,166.0,39.504535,-121.542106,CA,13.4,19.3,9.2,23.9,,8.0,20.8,6.3
245,BAKERSFIELD MEMORIAL HOSPITAL (050036),2014,Acute Care,Voluntary non-profit - Private,396.0,35.390474,-119.006836,CA,18.1,19.2,12.2,24.3,,11.8,17.4,4.6
246,SANTA CLARA VALLEY MEDICAL CENTER (050038),2014,Acute Care,Government - Local,684.0,37.313702,-121.931888,CA,15.1,17.3,12.6,23.9,,13.0,16.5,
247,ENLOE MEDICAL CENTER (050039),2014,Acute Care,Voluntary non-profit - Private,315.0,39.742284,-121.849128,CA,13.6,18.4,12.5,24.3,,10.5,19.2,7.2
248,LAC/OLIVE VIEW-UCLA MEDICAL CENTER (050040),2014,Acute Care,Voluntary non-profit - Other,286.0,34.325912,-118.445513,CA,,,10.1,23.5,,10.5,19.0,
249,ST ELIZABETH COMMUNITY HOSPITAL (050042),2014,Acute Care,Voluntary non-profit - Church,65.0,40.148834,-122.218303,CA,15.3,18.2,11.0,19.0,,9.8,15.7,4.8
250,ALTA BATES SUMMIT MEDICAL CENTER (050043),2014,Acute Care,Voluntary non-profit - Private,389.0,37.820784,-122.26328,CA,13.0,18.6,9.3,22.3,,11.2,18.8,5.6
251,EL CENTRO REGIONAL MEDICAL CENTER (050045),2014,Acute Care,Voluntary non-profit - Other,162.0,32.781498,-115.56862,CA,17.6,19.2,12.3,23.8,,14.9,19.7,5.3
252,OJAI VALLEY COMMUNITY HOSPITAL (050046),2014,Acute Care,Voluntary non-profit - Private,103.0,,,CA,,,,21.1,,11.7,15.8,
253,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP (050047),2014,Acute Care,Voluntary non-profit - Private,456.0,37.786152,-122.421544,CA,15.0,17.6,11.3,21.9,,9.7,16.7,5.2
254,SAN GORGONIO MEMORIAL HOSPITAL (050054),2014,Acute Care,Government - Hospital District or Authority,72.0,,,CA,16.2,18.2,12.3,24.2,,16.7,17.5,
255,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS (050055),2014,Acute Care,Voluntary non-profit - Church,186.0,37.74805,-122.420987,CA,,,9.5,22.5,,12.2,18.8,6.2
256,ANTELOPE VALLEY HOSPITAL (050056),2014,Acute Care,Government - Hospital District or Authority,396.0,34.689371,-118.158476,CA,15.8,17.7,10.7,22.9,,16.7,20.2,6.2
257,KAWEAH DELTA MEDICAL CENTER (050057),2014,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,21.0,19.1,10.8,21.5,,12.5,15.7,4.9
258,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2014,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,12.4,19.7,7.9,25.3,,10.7,17.4,6.5
259,COMMUNITY REGIONAL MEDICAL CENTER (050060),2014,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,14.0,18.7,11.1,25.6,,13.3,19.9,5.0
260,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2014,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,15.0,19.4,9.3,23.6,,9.2,18.2,4.8
261,OAK VALLEY DISTRICT HOSPITAL (050067),2014,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,,,12.1,24.1,,13.3,18.1,
262,ST JOSEPH HOSPITAL (050069),2014,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,15.7,16.3,12.2,21.8,,15.5,15.4,4.0
263,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2014,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,,,12.1,24.9,,,,
264,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2014,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,,,,23.4,,14.6,17.3,
265,KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND (050075),2014,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,,,11.6,23.4,,,,
266,SCRIPPS MERCY HOSPITAL (050077),2014,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,13.6,16.6,8.6,23.8,,9.5,17.7,5.6
267,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2014,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,15.4,19.4,11.5,21.6,,11.5,18.0,5.3
268,DOCTORS MEDICAL CENTER - SAN PABLO (050079),2014,Acute Care,Government - Hospital District or Authority,176.0,,,CA,13.3,17.6,10.3,21.9,,12.5,15.6,6.0
269,ST JOHNS REGIONAL MEDICAL CENTER (050082),2014,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,14.0,18.2,10.4,21.5,,13.2,16.8,5.4
270,ST JOSEPHS MEDICAL CENTER OF STOCKTON (050084),2014,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,18.5,19.0,12.9,23.6,,15.6,16.6,5.2
271,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2014,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,15.5,,9.8,23.6,,11.0,17.9,
272,SONOMA VALLEY HOSPITAL (050090),2014,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,,,10.2,18.9,,10.5,15.7,5.6
273,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2014,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,,,9.0,22.4,,11.0,18.6,
274,SAINT AGNES MEDICAL CENTER (050093),2014,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,14.0,18.3,11.8,23.7,,13.1,17.7,4.6
275,"DOCTORS HOSPITAL OF WEST COVINA, INC (050096)",2014,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,,,,,,,,5.2
276,SAN ANTONIO COMMUNITY HOSPITAL (050099),2014,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,14.8,18.1,9.8,21.7,,12.0,14.2,5.3
277,SHARP MEMORIAL HOSPITAL (050100),2014,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,15.7,18.8,12.4,21.6,,12.8,17.0,5.1
278,SUTTER SOLANO MEDICAL CENTER (050101),2014,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,16.0,18.0,11.7,22.8,,11.7,16.0,5.6
279,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2014,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,16.4,18.2,11.2,22.6,,10.4,17.9,5.7
280,WHITE MEMORIAL MEDICAL CENTER (050103),2014,Acute Care,Voluntary non-profit - Church,352.0,,,CA,14.3,19.1,8.7,22.8,,8.4,16.7,5.2
281,SAINT FRANCIS MEDICAL CENTER (050104),2014,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,14.3,18.4,8.4,20.6,,10.3,16.8,
282,MARIAN REGIONAL MEDICAL CENTER (050107),2014,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,18.1,16.7,12.7,22.3,,14.3,15.9,4.4
283,SUTTER GENERAL HOSPITAL (050108),2014,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,14.5,17.3,10.5,21.6,,11.2,17.0,3.2
284,LOMPOC VALLEY MEDICAL CENTER (050110),2014,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,16.0,,12.9,21.2,,15.4,16.2,5.5
285,TEMPLE COMMUNITY HOSPITAL (050111),2014,Acute Care,Proprietary,170.0,,,CA,14.5,18.3,9.3,23.2,,10.5,17.3,
286,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2014,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,13.9,18.7,8.5,24.7,,8.6,20.6,5.4
287,SAN MATEO MEDICAL CENTER (050113),2014,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,,,,,,14.8,17.5,
288,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2014,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,16.2,16.7,10.3,23.1,,12.1,16.5,4.6
289,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2014,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,13.0,17.8,8.6,22.6,,9.6,16.8,5.4
290,DOCTORS HOSPITAL OF MANTECA (050118),2014,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,15.6,19.3,14.0,27.9,,11.2,18.1,5.8
291,ADVENTIST MEDICAL CENTER (050121),2014,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,16.7,18.2,11.7,23.8,,14.0,18.1,4.6
292,DAMERON HOSPITAL (050122),2014,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,16.8,18.7,15.3,23.7,,12.5,16.5,5.4
293,USC VERDUGO HILLS HOSPITAL (050124),2014,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,16.6,18.2,9.7,21.7,,12.6,16.6,4.9
294,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2014,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,13.9,17.7,7.8,23.7,,9.9,16.9,4.8
295,VALLEY PRESBYTERIAN HOSPITAL (050126),2014,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,14.8,17.3,9.1,25.1,,10.3,17.4,6.3
296,WOODLAND MEMORIAL HOSPITAL (050127),2014,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,15.2,,13.6,20.5,,16.9,18.0,5.6
297,TRI-CITY MEDICAL CENTER (050128),2014,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,15.8,17.2,13.5,21.1,,13.3,15.9,5.2
298,ST BERNARDINE MEDICAL CENTER (050129),2014,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,15.6,18.8,10.6,22.7,,11.9,16.1,6.2
299,NOVATO COMMUNITY HOSPITAL (050131),2014,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,14.2,,11.6,20.6,,11.5,16.6,5.6
300,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2014,Acute Care,Physician,272.0,34.102461,-118.105572,CA,15.8,20.0,10.0,23.3,,9.6,21.6,4.9
301,RIDEOUT MEMORIAL HOSPITAL (050133),2014,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,16.0,17.5,14.5,21.9,,13.4,18.8,5.4
302,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2014,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,,18.8,10.1,22.4,,9.2,16.9,
303,PETALUMA VALLEY HOSPITAL (050136),2014,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,14.6,17.7,11.2,21.2,,18.0,17.7,4.9
304,KAISER FOUNDATION HOSPITAL - PANORAMA CITY (050137),2014,Acute Care,Voluntary non-profit - Private,218.0,34.219847,-118.430299,CA,,,10.7,25.6,,,,
305,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2014,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,,17.9,,,,,,
