,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
137,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2016,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,1.65,142.85,0.42,0.06,0.14,1.07,6.88,,2.22,0.29
138,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP (030112),2016,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,2.02,,0.4,,0.17,0.97,4.2,,,
139,WHITERIVER PHS INDIAN HOSPITAL (030113),2016,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,1.36,,0.4,,0.17,0.88,,,,0.42
140,ORO VALLEY HOSPITAL (030114),2016,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,1.96,142.04,0.33,0.06,0.25,1.18,6.98,9.26,2.2,1.29
141,BANNER ESTRELLA MEDICAL CENTER (030115),2016,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,1.57,126.61,0.33,0.06,0.13,0.9,5.39,10.85,2.11,0.18
142,VALLEY VIEW MEDICAL CENTER (030117),2016,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,1.53,,0.48,0.06,0.15,0.85,3.78,12.9,2.27,0.28
143,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2016,Acute Care,Proprietary,61.0,,,AZ,1.81,,0.38,0.06,0.16,0.87,3.83,8.88,2.27,0.31
144,MERCY GILBERT MEDICAL CENTER (030119),2016,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,1.39,105.95,0.48,0.06,0.12,0.78,3.85,8.24,2.6,0.18
145,GILBERT HOSPITAL (030120),2016,Acute Care,Proprietary,19.0,,,AZ,1.33,,0.4,,0.17,0.94,6.32,,,0.46
146,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2016,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,3.71,164.27,0.44,0.06,0.12,1.43,5.42,13.14,2.13,0.19
147,BANNER GATEWAY MEDICAL CENTER (030122),2016,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,1.27,113.88,0.44,0.06,0.36,0.91,5.55,12.7,2.09,0.18
148,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2016,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,1.46,124.88,0.42,0.06,0.25,0.89,5.33,8.26,2.14,0.2
149,BANNER IRONWOOD MEDICAL CENTER (030130),2016,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,2.01,,0.4,0.06,0.16,1.03,5.15,,2.28,0.42
150,O.A.S.I.S. HOSPITAL (030131),2016,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,1.41,,0.37,,0.16,0.71,2.59,9.04,,0.44
151,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2016,Acute Care,Proprietary,36.0,,,AZ,1.38,,0.41,,0.17,0.97,,,,0.46
152,BANNER GOLDFIELD MEDICAL CENTER (030134),2016,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,1.67,,0.4,0.06,0.17,1.02,6.32,,,0.44
153,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2016,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,1.67,,0.39,0.06,0.16,0.9,4.49,,2.28,0.37
154,JOHNSON REGIONAL MEDICAL CENTER (040002),2016,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,1.12,,0.39,0.06,0.16,0.78,4.41,11.69,2.82,0.36
155,WASHINGTON REGIONAL MEDICAL CENTER (040004),2016,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,1.34,147.48,0.35,0.06,0.09,0.75,3.63,8.62,1.87,0.6
156,CHI-ST VINCENT INFIRMARY (040007),2016,Acute Care,Voluntary non-profit - Private,414.0,,,AR,2.12,148.13,0.29,0.06,0.31,0.94,3.8,9.96,1.99,0.25
157,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2016,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,1.54,108.75,0.37,0.06,0.12,0.75,1.99,15.14,2.03,0.59
158,CHAMBERS MEMORIAL HOSPITAL (040011),2016,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,1.34,,0.4,,0.17,0.87,,,,0.46
159,WHITE COUNTY MEDICAL CENTER (040014),2016,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,1.71,146.62,0.35,0.06,0.11,0.77,2.91,,2.02,0.1
160,MENA REGIONAL HEALTH SYSTEM (040015),2016,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,1.22,,0.4,0.06,0.17,0.82,4.89,,,0.42
161,UAMS MEDICAL CENTER (040016),2016,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,2.12,149.49,0.74,0.06,0.83,1.15,4.28,12.39,1.76,0.08
162,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2016,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,1.12,141.0,0.36,0.06,0.27,0.74,2.92,13.02,2.21,0.91
163,SPARKS MEDICAL CENTER - VAN BUREN (040018),2016,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,1.76,,0.39,0.06,0.15,0.94,4.87,,,0.44
164,FORREST CITY MEDICAL CENTER (040019),2016,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,1.83,,0.4,0.06,0.16,1.05,4.95,,,1.42
165,ST BERNARDS MEDICAL CENTER (040020),2016,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,2.65,124.64,0.55,0.06,0.07,1.03,2.4,13.28,1.86,0.36
166,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2016,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,1.01,134.87,0.3,0.06,0.19,0.65,3.89,6.95,2.55,0.13
167,CHI ST. VINCENT HOSPITAL HOT SPRINGS (040026),2016,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,1.26,123.29,0.35,0.06,0.18,0.86,4.18,9.43,1.95,1.57
168,BAXTER REGIONAL MEDICAL CENTER (040027),2016,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,1.48,146.85,0.4,0.06,0.21,0.75,3.02,9.59,1.99,0.16
169,CONWAY REGIONAL MEDICAL CENTER (040029),2016,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,1.26,164.99,0.41,0.06,0.11,0.71,3.69,7.81,2.03,0.15
170,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2016,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,1.28,132.89,0.47,0.06,0.1,0.61,1.72,6.91,2.31,0.31
171,ARKANSAS METHODIST MEDICAL CENTER (040039),2016,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,1.39,,0.42,0.06,0.14,0.81,4.28,,2.26,0.23
172,ST MARYS REGIONAL MEDICAL CENTER (040041),2016,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,1.28,151.16,0.39,0.06,0.25,0.78,4.25,9.43,2.19,0.21
173,FIVE RIVERS MEDICAL CENTER (040047),2016,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,1.4,,0.4,,0.17,0.89,5.04,,,0.43
174,OUACHITA COUNTY MEDICAL CENTER (040050),2016,Acute Care,Voluntary non-profit - Private,97.0,,,AR,1.04,,0.39,0.06,0.16,0.72,4.2,9.29,2.24,0.33
175,DREW MEMORIAL HOSPITAL (040051),2016,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,1.24,,0.4,0.06,0.17,0.84,5.07,,,0.38
176,SPARKS REGIONAL MEDICAL CENTER (040055),2016,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,1.59,96.84,0.29,0.06,0.19,0.98,5.08,10.7,2.41,1.35
177,MERCY HOSPITAL FORT SMITH (040062),2016,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,0.85,101.0,0.4,0.06,0.15,0.67,4.0,11.48,1.95,0.11
178,MAGNOLIA HOSPITAL (040067),2016,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,1.22,,0.4,0.06,0.16,0.96,7.13,,2.28,0.39
179,GREAT RIVER MEDICAL CENTER (040069),2016,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,1.53,,0.4,0.06,0.16,0.9,4.98,,,0.41
180,JEFFERSON REGIONAL MEDICAL CENTER (040071),2016,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,0.97,123.48,0.3,0.06,0.2,0.65,3.88,8.77,2.05,0.14
181,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2016,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,1.3,,0.4,,0.17,0.85,5.13,,,0.37
182,NORTH METRO MEDICAL CENTER (040074),2016,Acute Care,Proprietary,70.0,34.872381,-92.124697,AR,1.65,,0.46,0.06,0.16,0.95,5.06,,,0.4
183,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2016,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,1.21,,0.39,0.06,0.15,0.89,5.05,,,1.2
184,NATIONAL PARK MEDICAL CENTER (040078),2016,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,1.29,178.04,0.62,0.06,0.22,0.92,5.2,13.1,2.66,0.14
185,SALINE MEMORIAL HOSPITAL (040084),2016,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,0.8,,0.34,0.06,0.13,0.54,2.63,8.73,2.23,0.16
186,HELENA REGIONAL MEDICAL CENTER (040085),2016,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,1.31,,0.4,0.06,0.17,0.86,5.14,,,0.42
187,MEDICAL CENTER SOUTH ARKANSAS (040088),2016,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,1.39,171.65,0.33,0.06,0.13,0.83,4.26,15.29,2.18,0.2
188,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2016,Acute Care,Voluntary non-profit - Private,773.0,,,AR,1.3,170.24,0.29,0.06,0.09,0.69,2.98,10.84,1.82,0.39
189,NEA BAPTIST MEMORIAL HOSPITAL (040118),2016,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,1.19,133.36,0.33,0.06,0.11,0.66,2.88,8.86,2.07,0.44
190,WHITE RIVER MEDICAL CENTER (040119),2016,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,2.17,161.36,0.32,0.06,0.46,0.91,2.04,11.99,2.02,0.44
191,"ARKANSAS HEART HOSPITAL, LLC (040134)",2016,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,1.51,134.62,0.54,0.06,0.1,0.76,3.04,6.99,2.75,0.16
192,ST VINCENT MEDICAL CENTER/NORTH (040137),2016,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,1.99,,0.39,0.06,0.16,0.96,4.27,,2.28,0.39
193,ARKANSAS SURGICAL HOSPITAL (040147),2016,Acute Care,Physician,49.0,34.801458,-92.347687,AR,1.17,,0.37,0.06,0.16,0.65,2.28,10.28,,0.44
194,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL (040152),2016,Acute Care,Proprietary,20.0,36.12133,-94.13373,AR,1.38,,0.4,0.06,0.17,0.96,6.41,,,
195,WADLEY REGIONAL MEDICAL CENTER AT HOPE (040153),2016,Acute Care,Proprietary,70.0,33.648008,-93.587052,AR,1.4,,0.4,,0.17,0.89,,,,0.38
196,ST ROSE HOSPITAL (050002),2016,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,1.59,142.7,0.33,0.06,0.23,0.9,5.22,9.58,2.22,0.21
197,ST JOSEPH HOSPITAL (050006),2016,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,0.92,134.35,0.33,0.06,0.11,0.75,5.13,13.13,2.03,0.15
198,MILLS-PENINSULA MEDICAL CENTER (050007),2016,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,1.57,108.63,0.39,0.06,0.11,0.85,4.34,11.2,2.48,0.12
199,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2016,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,2.1,147.41,0.37,0.06,0.14,1.0,4.94,8.84,2.28,0.31
200,QUEEN OF THE VALLEY MEDICAL CENTER (050009),2016,Acute Care,Voluntary non-profit - Church,172.0,38.323554,-122.295968,CA,2.31,121.43,0.51,0.06,0.3,1.01,3.11,12.09,2.66,0.18
201,ST HELENA HOSPITAL (050013),2016,Acute Care,Voluntary non-profit - Private,153.0,38.54196,-122.475344,CA,2.92,104.99,0.57,0.06,0.2,1.19,3.44,14.21,2.67,0.25
202,SUTTER AMADOR HOSPITAL (050014),2016,Acute Care,Voluntary non-profit - Private,50.0,38.349561,-120.765905,CA,3.14,146.35,0.48,0.06,0.15,1.32,5.63,11.27,2.18,0.27
203,MERCY GENERAL HOSPITAL (050017),2016,Acute Care,Voluntary non-profit - Church,379.0,38.569385,-121.452482,CA,1.91,129.68,0.52,0.06,0.09,1.18,7.98,12.21,2.07,0.13
204,PACIFIC ALLIANCE MEDICAL CENTER (050018),2016,Acute Care,Proprietary,139.0,,,CA,1.39,,0.38,0.06,0.15,0.8,4.22,,,0.27
205,RIVERSIDE COMMUNITY HOSPITAL (050022),2016,Acute Care,Government - State,415.0,33.975677,-117.380374,CA,0.9,134.92,0.34,0.06,0.1,0.68,4.27,10.49,1.99,0.3
206,PARADISE VALLEY HOSPITAL (050024),2016,Acute Care,Proprietary,289.0,32.686336,-117.083243,CA,0.91,,0.33,0.06,0.12,0.68,4.43,,,0.18
207,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER (050025),2016,Acute Care,Voluntary non-profit - Other,630.0,32.753717,-117.165914,CA,1.63,107.07,0.71,0.06,0.14,1.04,6.51,8.49,1.76,0.08
208,GROSSMONT HOSPITAL (050026),2016,Acute Care,Government - Hospital District or Authority,545.0,32.779435,-117.009178,CA,0.78,152.78,0.43,0.06,0.07,0.73,5.49,8.06,2.4,0.35
209,MAD RIVER COMMUNITY HOSPITAL (050028),2016,Acute Care,Proprietary,66.0,40.903309,-124.090847,CA,2.14,,0.46,0.06,0.16,0.99,4.06,,2.79,0.35
210,OROVILLE HOSPITAL (050030),2016,Acute Care,Voluntary non-profit - Private,166.0,39.504535,-121.542106,CA,0.91,116.12,0.29,0.06,0.17,0.6,3.05,11.81,2.1,0.07
211,BAKERSFIELD MEMORIAL HOSPITAL (050036),2016,Acute Care,Voluntary non-profit - Private,396.0,35.390474,-119.006836,CA,1.96,139.57,0.33,0.06,0.2,1.04,2.14,8.97,3.07,3.52
212,SANTA CLARA VALLEY MEDICAL CENTER (050038),2016,Acute Care,Government - Local,684.0,37.313702,-121.931888,CA,1.59,125.06,0.39,0.06,0.12,0.85,3.64,11.69,2.15,0.62
213,ENLOE MEDICAL CENTER (050039),2016,Acute Care,Voluntary non-profit - Private,315.0,39.742284,-121.849128,CA,1.58,131.7,0.42,0.06,0.08,0.78,3.56,8.51,2.25,0.08
214,LAC/OLIVE VIEW-UCLA MEDICAL CENTER (050040),2016,Acute Care,Voluntary non-profit - Other,286.0,34.325912,-118.445513,CA,1.5,,0.43,0.06,0.14,0.86,4.58,,2.28,0.33
215,ST ELIZABETH COMMUNITY HOSPITAL (050042),2016,Acute Care,Voluntary non-profit - Church,65.0,40.148834,-122.218303,CA,1.33,,0.37,0.06,0.15,0.74,3.25,,2.7,0.33
216,ALTA BATES SUMMIT MEDICAL CENTER (050043),2016,Acute Care,Voluntary non-profit - Private,389.0,37.820784,-122.26328,CA,1.71,163.66,0.59,0.06,0.1,1.12,6.52,13.34,3.01,0.64
217,EL CENTRO REGIONAL MEDICAL CENTER (050045),2016,Acute Care,Voluntary non-profit - Other,162.0,32.781498,-115.56862,CA,1.11,,0.34,0.06,0.14,0.82,5.86,9.75,2.73,0.17
218,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP (050047),2016,Acute Care,Voluntary non-profit - Private,456.0,37.786152,-122.421544,CA,1.68,116.3,0.59,0.06,0.09,0.89,4.23,10.76,1.73,0.09
219,SAN GORGONIO MEMORIAL HOSPITAL (050054),2016,Acute Care,Government - Hospital District or Authority,72.0,,,CA,1.16,,0.57,0.06,0.27,0.89,5.53,,2.26,0.29
220,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS (050055),2016,Acute Care,Voluntary non-profit - Church,186.0,37.74805,-122.420987,CA,2.25,,0.5,0.06,0.15,1.11,5.53,11.14,2.24,0.28
221,ANTELOPE VALLEY HOSPITAL (050056),2016,Acute Care,Government - Hospital District or Authority,396.0,34.689371,-118.158476,CA,3.55,175.67,0.58,0.06,0.35,1.52,5.98,8.94,2.02,0.95
222,KAWEAH DELTA MEDICAL CENTER (050057),2016,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,0.73,173.32,0.3,0.06,0.28,0.57,3.13,8.43,2.37,0.2
223,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2016,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,1.06,155.57,0.33,0.06,0.2,0.72,3.89,13.29,2.14,0.13
224,COMMUNITY REGIONAL MEDICAL CENTER (050060),2016,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,1.86,171.22,0.34,0.06,0.33,0.96,3.91,12.1,3.47,0.71
225,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2016,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,1.65,135.46,0.33,0.06,0.1,0.82,4.2,8.16,2.14,0.16
226,OAK VALLEY HOSPITAL DISTRICT (050067),2016,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,1.93,,0.4,0.06,0.29,0.99,4.75,,,0.4
227,ST JOSEPH HOSPITAL (050069),2016,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,2.1,144.08,0.45,0.06,0.36,1.07,5.49,7.86,2.76,0.12
228,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO (050070),2016,Acute Care,Voluntary non-profit - Private,120.0,37.658376,-122.439205,CA,1.51,,0.39,0.06,0.16,0.87,4.58,,,0.4
229,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2016,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,1.03,,0.37,0.06,0.16,0.82,5.8,9.4,,0.34
230,KAISER FOUNDATION HOSPITAL - WALNUT CREEK (050072),2016,Acute Care,Voluntary non-profit - Other,233.0,37.891512,-122.057943,CA,2.06,,0.39,0.06,0.16,1.04,4.38,,,1.29
231,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2016,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,1.77,,0.38,0.06,0.15,0.86,3.71,,2.26,0.3
232,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND (050075),2016,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,1.4,,0.48,0.06,0.14,0.84,4.17,11.51,2.81,0.25
233,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (050076),2016,Acute Care,Voluntary non-profit - Other,239.0,37.782778,-122.443222,CA,1.62,,0.39,0.06,0.16,0.86,4.02,10.74,,0.39
234,SCRIPPS MERCY HOSPITAL (050077),2016,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,0.83,122.72,0.29,0.06,0.08,0.74,5.61,12.11,2.69,0.08
235,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2016,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,1.24,,0.35,0.06,0.11,0.82,5.04,11.02,2.79,0.25
236,ST JOHNS REGIONAL MEDICAL CENTER (050082),2016,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,1.99,118.74,0.33,0.06,0.11,1.24,9.17,9.64,2.09,0.4
237,ST JOSEPH'S MEDICAL CENTER OF STOCKTON (050084),2016,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,1.65,159.27,0.4,0.06,0.23,0.88,3.59,15.06,2.0,0.3
238,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2016,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,1.12,,0.38,0.06,0.27,0.84,4.5,,2.29,1.1
239,SONOMA VALLEY HOSPITAL (050090),2016,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,1.38,,0.39,0.06,0.15,0.9,4.64,,2.27,1.24
240,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2016,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,1.2,,0.38,0.06,0.15,0.8,4.8,,,0.31
241,SAINT AGNES MEDICAL CENTER (050093),2016,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,1.99,167.93,0.57,0.06,0.28,0.89,2.84,6.93,2.36,0.2
242,"WEST COVINA MEDICAL CENTER, INC (050096)",2016,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,1.38,,0.4,0.06,0.17,0.87,4.93,,,
243,SAN ANTONIO REGIONAL HOSPITAL (050099),2016,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,,147.46,,,,,,,,
244,SHARP MEMORIAL HOSPITAL (050100),2016,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,0.83,149.16,0.41,0.06,0.16,0.67,4.12,9.23,1.9,0.32
245,SUTTER SOLANO MEDICAL CENTER (050101),2016,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,1.32,,0.34,0.06,0.14,0.78,3.71,9.32,2.19,0.78
246,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2016,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,1.16,,0.35,0.06,0.13,0.71,3.17,9.49,2.25,0.83
247,WHITE MEMORIAL MEDICAL CENTER (050103),2016,Acute Care,Voluntary non-profit - Church,352.0,,,CA,2.23,122.82,0.32,0.06,0.07,1.03,5.12,12.0,2.2,0.12
248,SAINT FRANCIS MEDICAL CENTER (050104),2016,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,1.07,165.53,0.43,0.06,0.12,0.77,4.92,,2.23,0.18
249,MARIAN REGIONAL MEDICAL CENTER (050107),2016,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,1.19,145.38,0.39,0.06,0.1,0.72,2.77,13.67,1.96,0.7
250,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2016,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,1.7,158.9,0.46,0.06,0.08,0.9,2.45,13.53,1.81,1.6
251,LOMPOC VALLEY MEDICAL CENTER (050110),2016,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,1.63,,0.37,0.06,0.15,0.82,3.62,9.73,3.35,0.28
252,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2016,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,1.4,145.82,0.32,0.06,0.11,0.73,3.39,11.11,2.02,0.13
253,SAN MATEO MEDICAL CENTER (050113),2016,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,1.27,,0.4,0.06,0.16,0.83,4.83,,,0.42
254,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2016,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,1.94,149.85,0.39,0.06,0.18,0.88,3.55,7.29,2.03,0.4
255,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2016,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,1.21,156.99,0.32,0.06,0.2,1.09,2.62,13.87,2.11,5.64
256,DOCTORS HOSPITAL OF MANTECA (050118),2016,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,1.06,,0.42,0.06,0.14,0.69,3.51,,2.23,0.25
257,ADVENTIST MEDICAL CENTER (050121),2016,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,1.52,160.53,0.39,0.06,0.11,0.81,3.86,11.31,2.09,0.14
258,DAMERON HOSPITAL (050122),2016,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,2.19,125.94,0.34,0.06,0.13,1.14,6.88,7.45,2.22,0.57
259,USC VERDUGO HILLS HOSPITAL (050124),2016,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,1.28,,0.42,0.06,0.13,0.84,4.02,10.93,2.23,1.12
260,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2016,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,1.06,118.16,0.46,0.06,0.18,1.02,8.15,11.23,2.66,0.5
261,VALLEY PRESBYTERIAN HOSPITAL (050126),2016,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,2.0,153.02,0.29,0.06,0.11,0.98,3.66,8.69,2.75,1.68
262,WOODLAND MEMORIAL HOSPITAL (050127),2016,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,1.25,,0.44,0.06,0.16,0.79,4.28,9.6,2.25,0.36
263,TRI-CITY MEDICAL CENTER (050128),2016,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,1.16,156.05,0.77,0.06,0.2,0.95,5.57,10.56,2.57,0.5
264,ST BERNARDINE MEDICAL CENTER (050129),2016,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,1.51,128.22,0.39,0.06,0.28,0.83,4.18,8.51,2.13,0.18
265,NOVATO COMMUNITY HOSPITAL (050131),2016,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,1.55,,0.5,0.06,0.15,0.92,5.12,9.49,2.27,0.31
266,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2016,Acute Care,Physician,272.0,34.102461,-118.105572,CA,1.14,154.62,0.31,0.06,0.12,0.74,3.57,12.41,2.22,0.71
267,RIDEOUT MEMORIAL HOSPITAL (050133),2016,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,2.48,152.42,0.31,0.06,0.45,1.3,7.14,14.47,2.51,0.28
268,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2016,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,0.85,140.21,0.27,0.06,0.11,0.54,2.51,10.79,2.19,0.12
269,PETALUMA VALLEY HOSPITAL (050136),2016,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,1.35,,0.49,0.06,0.15,1.02,7.55,9.54,2.22,0.29
