,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
169,"CONWAY REGIONAL MEDICAL CENTER, INC (040029)",2023,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,0.542,0.607,2.044,2.804,0.513,0.0
170,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2023,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,0.628,0.233,0.533,2.225,2.132,0.0
171,ARKANSAS METHODIST MEDICAL CENTER (040039),2023,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,0.673,0.807,,,,0.0
172,ST MARYS REGIONAL MEDICAL CENTER (040041),2023,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,1.134,0.88,0.877,,,0.0
173,FIVE RIVERS MEDICAL CENTER (040047),2023,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,,,,,,0.0
174,OUACHITA COUNTY MEDICAL CENTER (040050),2023,Acute Care,Voluntary non-profit - Private,97.0,,,AR,,0.465,,,,0.0
175,DREW MEMORIAL HEALTH SYSTEM (040051),2023,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,,0.564,,,,0.0
176,BAPTIST HEALTH - FORT SMITH (040055),2023,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,0.467,0.244,1.478,2.093,0.357,0.0
177,MERCY HOSPITAL FORT SMITH (040062),2023,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,0.766,0.164,1.385,1.624,1.076,0.0
178,MAGNOLIA HOSPITAL (040067),2023,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,,,,,,0.0
179,GREAT RIVER MEDICAL CENTER (040069),2023,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,,0.0,,,,0.0
180,JEFFERSON REGIONAL MEDICAL CENTER (040071),2023,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,0.828,0.55,2.086,1.974,1.095,0.0
181,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2023,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,,,,,,0.0
182,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2023,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,,0.0,,,,0.0
183,NATIONAL PARK MEDICAL CENTER (040078),2023,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,1.671,0.092,3.161,0.455,0.713,0.0
184,SALINE MEMORIAL HOSPITAL (040084),2023,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,0.5,0.561,0.0,,,0.0
185,HELENA REGIONAL MEDICAL CENTER (040085),2023,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,,,,,,0.0
186,MEDICAL CENTER OF SOUTH ARKANSAS (040088),2023,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,0.0,0.87,,,0.0,0.0
187,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2023,Acute Care,Voluntary non-profit - Private,773.0,,,AR,0.802,0.195,0.796,1.368,0.837,0.0
188,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC. (040118)",2023,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,0.408,0.69,0.684,1.829,0.0,0.0
189,WHITE RIVER MEDICAL CENTER (040119),2023,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,0.81,0.096,2.773,2.818,0.307,0.0
190,LEO N LEVI MEMORIAL HOSPITAL (040132),2023,Acute Care,Voluntary non-profit - Private,53.0,34.509945,-93.056649,AR,,,,,,0.0
191,"ARKANSAS HEART HOSPITAL, LLC (040134)",2023,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,1.021,0.253,0.165,0.614,,0.0
192,ST VINCENT MEDICAL CENTER/NORTH (040137),2023,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,0.113,0.638,1.657,,,0.0
193,ARKANSAS SURGICAL HOSPITAL (040147),2023,Acute Care,Physician,49.0,34.801458,-92.347687,AR,,,,,,0.0
194,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL (040152),2023,Acute Care,Proprietary,20.0,36.12133,-94.13373,AR,,,,,,0.0
195,WADLEY REGIONAL MEDICAL CENTER AT HOPE (040153),2023,Acute Care,Proprietary,70.0,33.648008,-93.587052,AR,,,,,,0.0
196,BAPTIST HEALTH MEDICAL CENTER- CONWAY (040154),2023,Acute Care,Voluntary non-profit - Private,111.0,,,AR,1.774,0.369,2.352,,,0.0
197,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC (040156)",2023,Acute Care,Voluntary non-profit - Private,11.0,,,AR,,,,,,0.0
198,ARKANSAS HEART HOSPITAL-ENCORE (040161),2023,Acute Care,Proprietary,30.0,,,AR,,,,,,0.0
199,UNITY HEALTH NEWPORT (040163),2023,Acute Care,Voluntary non-profit - Private,24.0,,,AR,,,,,,0.0
200,ST ROSE HOSPITAL (050002),2023,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,,0.464,,,,0.0
201,PROVIDENCE ST JOSEPH HOSPITAL (050006),2023,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,0.811,0.348,0.0,0.326,0.328,0.0
202,PENINSULA MEDICAL CENTER (050007),2023,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,1.036,0.285,0.0,0.528,0.25,0.0
203,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2023,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,0.639,1.487,1.892,,,0.0
204,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER (050009),2023,Acute Care,Voluntary non-profit - Church,172.0,38.323554,-122.295968,CA,2.224,0.112,1.944,,0.999,0.0
205,ADVENTIST HEALTH ST HELENA (050013),2023,Acute Care,Voluntary non-profit - Private,153.0,38.54196,-122.475344,CA,2.149,0.791,0.0,,,0.0
206,SUTTER AMADOR HOSPITAL (050014),2023,Acute Care,Voluntary non-profit - Private,50.0,38.349561,-120.765905,CA,0.0,0.0,,,,0.0
207,MERCY GENERAL HOSPITAL (050017),2023,Acute Care,Voluntary non-profit - Church,379.0,38.569385,-121.452482,CA,0.832,0.216,0.736,0.506,0.556,0.0
208,RIVERSIDE COMMUNITY HOSPITAL (050022),2023,Acute Care,Government - State,415.0,33.975677,-117.380374,CA,0.694,0.6,1.9,1.327,1.37,0.0
209,PARADISE VALLEY HOSPITAL (050024),2023,Acute Care,Proprietary,289.0,32.686336,-117.083243,CA,1.047,0.325,0.817,1.241,,0.0
210,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR (050025),2023,Acute Care,Voluntary non-profit - Other,630.0,32.753717,-117.165914,CA,0.585,0.871,0.519,0.875,0.557,0.0
211,GROSSMONT HOSPITAL (050026),2023,Acute Care,Government - Hospital District or Authority,545.0,32.779435,-117.009178,CA,0.749,0.511,0.328,0.97,0.165,0.0
212,MAD RIVER COMMUNITY HOSPITAL (050028),2023,Acute Care,Proprietary,66.0,40.903309,-124.090847,CA,,0.0,,,,0.0
213,OROVILLE HOSPITAL (050030),2023,Acute Care,Voluntary non-profit - Private,166.0,39.504535,-121.542106,CA,0.344,0.37,,0.0,,0.0
214,BAKERSFIELD MEMORIAL HOSPITAL (050036),2023,Acute Care,Voluntary non-profit - Private,396.0,35.390474,-119.006836,CA,0.768,0.356,0.937,1.641,1.27,0.0
215,SANTA CLARA VALLEY MEDICAL CENTER (050038),2023,Acute Care,Government - Local,684.0,37.313702,-121.931888,CA,1.468,0.607,1.429,1.238,1.606,0.0
216,ENLOE MEDICAL CENTER (050039),2023,Acute Care,Voluntary non-profit - Private,315.0,39.742284,-121.849128,CA,0.301,0.891,0.095,0.0,0.204,0.0
217,LAC/OLIVE VIEW-UCLA MEDICAL CENTER (050040),2023,Acute Care,Voluntary non-profit - Other,286.0,34.325912,-118.445513,CA,2.014,0.934,0.694,3.947,0.322,0.0
218,ST ELIZABETH COMMUNITY HOSPITAL (050042),2023,Acute Care,Voluntary non-profit - Church,65.0,40.148834,-122.218303,CA,,0.363,,,0.585,0.0
219,ALTA BATES SUMMIT MEDICAL CENTER (050043),2023,Acute Care,Voluntary non-profit - Private,389.0,37.820784,-122.26328,CA,0.361,0.633,0.542,0.868,1.55,0.0
220,EL CENTRO REGIONAL MEDICAL CENTER (050045),2023,Acute Care,Voluntary non-profit - Other,162.0,32.781498,-115.56862,CA,4.052,0.406,11.023,0.631,0.0,0.0
221,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS (050047),2023,Acute Care,Voluntary non-profit - Private,456.0,37.786152,-122.421544,CA,0.332,0.994,0.66,0.286,0.0,0.0
222,SAN GORGONIO MEMORIAL HOSPITAL (050054),2023,Acute Care,Government - Hospital District or Authority,72.0,,,CA,0.528,0.868,2.465,,,0.0
223,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL (050055),2023,Acute Care,Voluntary non-profit - Church,186.0,37.74805,-122.420987,CA,0.962,0.559,1.245,0.61,0.614,0.0
224,ANTELOPE VALLEY HOSPITAL (050056),2023,Acute Care,Government - Hospital District or Authority,396.0,34.689371,-118.158476,CA,1.254,0.662,2.089,1.12,0.726,0.0
225,KAWEAH HEALTH MEDICAL CENTER (050057),2023,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,0.933,0.498,1.253,2.107,0.996,0.0
226,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2023,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,2.206,0.304,0.925,,0.657,0.0
227,COMMUNITY REGIONAL MEDICAL CENTER (050060),2023,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,1.284,0.715,1.298,0.73,1.31,0.0
228,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2023,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,0.869,0.242,0.913,0.347,1.434,0.0
229,OAK VALLEY HOSPITAL DISTRICT (050067),2023,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,,,,,,0.0
230,PROVIDENCE ST. JOSEPH HOSPITAL (050069),2023,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,0.774,0.759,1.879,1.949,1.215,0.0
231,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO (050070),2023,Acute Care,Voluntary non-profit - Private,120.0,37.658376,-122.439205,CA,0.694,0.307,0.4,,1.369,0.0
232,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2023,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,1.124,0.397,0.746,0.663,0.926,0.0
233,KAISER FOUNDATION HOSPITAL - WALNUT CREEK (050072),2023,Acute Care,Voluntary non-profit - Other,233.0,37.891512,-122.057943,CA,0.654,0.618,1.853,0.535,1.702,0.0
234,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2023,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,0.989,0.413,0.645,0.383,1.062,0.0
235,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND (050075),2023,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,0.855,0.251,0.996,0.418,1.282,0.0
236,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (050076),2023,Acute Care,Voluntary non-profit - Other,239.0,37.782778,-122.443222,CA,0.938,0.745,1.035,0.292,1.033,0.0
237,SCRIPPS MERCY HOSPITAL (050077),2023,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,1.429,0.201,0.723,0.91,1.489,0.0
238,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2023,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,1.141,0.401,,,,0.0
239,ST JOHNS REGIONAL MEDICAL CENTER (050082),2023,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,1.037,0.525,1.424,1.153,0.37,0.0
240,ST JOSEPH'S MEDICAL CENTER OF STOCKTON (050084),2023,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,0.929,0.346,2.314,1.371,0.624,0.0
241,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2023,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,0.952,0.08,2.326,,0.0,0.0
242,SONOMA VALLEY HOSPITAL (050090),2023,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,,1.797,,,,0.0
243,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2023,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,,0.297,,,,0.0
244,SAINT AGNES MEDICAL CENTER (050093),2023,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,1.33,0.394,1.871,1.493,0.37,0.0
245,"WEST COVINA MEDICAL CENTER, INC (050096)",2023,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,,,,,,0.0
246,SAN ANTONIO REGIONAL HOSPITAL (050099),2023,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,0.866,0.508,1.314,1.311,0.561,0.0
247,SHARP MEMORIAL HOSPITAL (050100),2023,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,0.817,0.46,0.822,0.315,0.97,0.0
248,SUTTER SOLANO MEDICAL CENTER (050101),2023,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,0.0,0.343,0.0,,0.0,0.0
249,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2023,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,0.936,0.134,1.324,0.0,,0.0
250,WHITE MEMORIAL MEDICAL CENTER (050103),2023,Acute Care,Voluntary non-profit - Church,352.0,,,CA,0.418,0.364,0.773,0.0,0.582,0.0
251,SAINT FRANCIS MEDICAL CENTER (050104),2023,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,1.644,0.33,1.265,1.573,0.447,0.0
252,MARIAN REGIONAL MEDICAL CENTER (050107),2023,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,2.346,0.155,1.584,0.854,1.388,0.0
253,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2023,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,0.356,0.367,0.569,1.043,1.119,0.0
254,LOMPOC VALLEY MEDICAL CENTER (050110),2023,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,0.495,0.908,,,,0.0
255,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2023,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,2.002,0.758,1.078,1.339,1.316,0.0
256,SAN MATEO MEDICAL CENTER (050113),2023,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,,1.836,,,0.0,0.0
257,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2023,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,1.213,0.376,1.109,1.582,0.597,0.0
258,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2023,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,0.0,0.284,0.602,0.696,0.653,0.0
259,DOCTORS HOSPITAL OF MANTECA (050118),2023,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,2.004,0.196,8.547,,,0.0
260,ADVENTIST HEALTH HANFORD (050121),2023,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,1.461,0.412,1.459,1.256,1.171,0.0
261,DAMERON HOSPITAL (050122),2023,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,0.0,0.807,3.005,,,0.0
262,USC VERDUGO HILLS HOSPITAL (050124),2023,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,1.093,0.514,0.38,0.799,0.929,0.0
263,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2023,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,1.142,0.129,0.907,0.991,0.519,0.0
264,VALLEY PRESBYTERIAN HOSPITAL (050126),2023,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,0.846,0.188,2.083,0.806,0.96,0.0
265,WOODLAND MEMORIAL HOSPITAL (050127),2023,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,1.076,0.602,2.231,,0.706,0.0
266,TRI-CITY MEDICAL CENTER (050128),2023,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,2.787,0.929,1.797,0.765,1.13,0.0
267,ST BERNARDINE MEDICAL CENTER (050129),2023,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,0.151,0.389,0.147,1.1,0.359,0.0
268,NOVATO COMMUNITY HOSPITAL (050131),2023,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,,0.0,,,,0.0
269,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2023,Acute Care,Physician,272.0,34.102461,-118.105572,CA,0.251,0.537,0.94,1.263,0.0,0.0
270,ADVENTIST HEALTH AND RIDEOUT (050133),2023,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,0.974,0.286,0.602,2.365,1.05,0.0
271,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2023,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,1.5,0.182,0.668,1.437,,0.0
272,PETALUMA VALLEY HOSPITAL (050136),2023,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,,0.334,,,,0.0
273,KAISER FOUNDATION HOSPITAL - PANORAMA CITY (050137),2023,Acute Care,Voluntary non-profit - Private,218.0,34.219847,-118.430299,CA,2.527,0.315,1.723,1.876,0.633,0.0
274,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2023,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,1.239,0.445,1.119,0.888,1.121,0.0
275,KAISER FOUNDATION HOSPITAL - DOWNEY (050139),2023,Acute Care,Voluntary non-profit - Other,358.0,33.917101,-118.128998,CA,1.474,0.384,1.841,0.404,0.712,0.0
276,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO (050140),2023,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,0.699,0.629,1.166,0.541,0.551,0.0
277,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2023,Acute Care,Voluntary non-profit - Private,278.0,,,CA,1.951,1.037,1.536,1.848,0.659,0.0
278,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2023,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,1.049,0.281,0.271,0.831,0.709,0.0
279,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2023,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,0.897,1.022,0.922,,0.683,0.0
280,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2023,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,0.834,0.496,0.0,,,0.0
281,ENCINO HOSPITAL MEDICAL CENTER (050158),2023,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,0.0,1.31,,,,0.0
282,VENTURA COUNTY MEDICAL CENTER (050159),2023,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,1.78,1.036,1.528,2.039,0.575,0.0
283,SAN JOAQUIN GENERAL HOSPITAL (050167),2023,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,1.11,0.398,4.373,1.947,2.198,0.0
284,PROVIDENCE ST. JUDE MEDICAL CENTER (050168),2023,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,0.675,0.112,0.458,0.45,1.273,0.0
285,PIH HEALTH HOSPITAL-WHITTIER (050169),2023,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,0.926,0.655,0.398,0.676,0.951,0.0
286,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL (050174),2023,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,1.408,0.239,0.749,2.105,1.022,0.0
287,EMANUEL MEDICAL CENTER (050179),2023,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,0.481,0.328,3.38,0.655,2.173,0.0
288,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2023,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,0.459,0.597,0.873,0.721,1.438,0.0
289,ST MARY MEDICAL CENTER (050191),2023,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,0.927,0.597,0.0,0.67,0.0,0.0
290,ADVENTIST HEALTH REEDLEY (050192),2023,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,,0.841,,,,0.0
291,WATSONVILLE COMMUNITY HOSPITAL (050194),2023,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,1.921,1.229,1.807,,,0.0
292,WASHINGTON HOSPITAL (050195),2023,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,2.662,0.157,0.54,1.317,0.971,0.0
293,SEQUOIA HOSPITAL (050197),2023,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,0.691,0.119,0.795,,0.932,0.0
294,PALMDALE REGIONAL MEDICAL CENTER (050204),2023,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,0.608,0.693,0.405,0.836,0.0,0.0
295,ALAMEDA HOSPITAL (050211),2023,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,0.0,0.429,1.621,,,0.0
296,SHARP CHULA VISTA MEDICAL CENTER (050222),2023,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,0.272,0.392,1.912,0.969,0.684,0.0
297,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2023,Acute Care,Voluntary non-profit - Private,468.0,,,CA,0.409,0.53,0.78,0.165,0.626,0.0
298,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2023,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,1.516,0.366,1.65,0.853,,0.0
299,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR (050228),2023,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,1.382,1.086,0.625,0.468,1.732,0.0
300,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2023,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,0.57,0.174,0.828,,,0.0
301,POMONA VALLEY HOSPITAL MEDICAL CENTER (050231),2023,Acute Care,Voluntary non-profit - Private,399.0,34.077639,-117.752329,CA,1.469,0.677,1.476,0.473,1.534,0.0
302,FRENCH HOSPITAL MEDICAL CENTER (050232),2023,Acute Care,Voluntary non-profit - Other,103.0,35.278663,-120.650212,CA,1.499,0.593,1.753,,0.0,0.0
303,SHARP CORONADO HOSPITAL AND HLTHCR CTR (050234),2023,Acute Care,Voluntary non-profit - Other,185.0,32.694257,-117.167947,CA,0.701,1.095,2.963,,,0.0
304,PROVIDENCE SAINT JOSEPH MEDICAL CTR (050235),2023,Acute Care,Voluntary non-profit - Church,361.0,34.157643,-118.327841,CA,0.26,0.236,1.948,1.454,0.0,0.0
305,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES (050236),2023,Acute Care,Voluntary non-profit - Church,144.0,34.288837,-118.74396,CA,0.928,0.166,0.339,1.768,0.0,0.0
306,USC ARCADIA HOSPITAL (050238),2023,Acute Care,Voluntary non-profit - Private,404.0,34.134862,-118.042446,CA,0.717,0.862,1.358,0.384,1.288,0.0
307,GLENDALE ADVENTIST MEDICAL CENTER (050239),2023,Acute Care,Voluntary non-profit - Private,460.0,34.149161,-118.230354,CA,0.566,0.187,0.376,0.64,0.494,0.0
308,DOMINICAN HOSPITAL (050242),2023,Acute Care,Voluntary non-profit - Church,234.0,36.988341,-121.983818,CA,0.517,0.272,0.205,0.0,0.929,0.0
309,DESERT REGIONAL MEDICAL CENTER (050243),2023,Acute Care,Proprietary,364.0,33.838861,-116.545598,CA,1.376,0.713,1.173,1.332,0.808,0.0
310,ARROWHEAD REGIONAL MEDICAL CENTER (050245),2023,Acute Care,Government - Local,454.0,34.072884,-117.352833,CA,0.526,0.424,1.235,1.196,0.312,0.0
311,NATIVIDAD MEDICAL CENTER (050248),2023,Acute Care,Government - Hospital District or Authority,172.0,36.695472,-121.63124,CA,1.453,0.386,1.3,0.445,1.572,0.0
312,MARSHALL MEDICAL CENTER (050254),2023,Acute Care,Voluntary non-profit - Other,114.0,38.724483,-120.790643,CA,0.584,0.374,0.0,,,0.0
313,GOOD SAMARITAN HOSPITAL (050257),2023,Acute Care,Proprietary,109.0,35.412258,-119.039498,CA,,0.0,,,,0.0
314,SIERRA VIEW MEDICAL CENTER (050261),2023,Acute Care,Voluntary non-profit - Private,163.0,36.069573,-119.027274,CA,0.335,0.771,3.463,,,0.0
315,RONALD REAGAN UCLA MEDICAL CENTER (050262),2023,Acute Care,Government - State,454.0,34.063939,-118.445411,CA,0.708,0.971,0.468,0.722,0.396,0.0
316,REDLANDS COMMUNITY HOSPITAL (050272),2023,Acute Care,Government - Federal,227.0,34.038404,-117.206414,CA,0.391,0.541,0.477,2.12,0.999,0.0
317,CONTRA COSTA REGIONAL MEDICAL CENTER (050276),2023,Acute Care,Government - Local,150.0,38.006467,-122.130891,CA,0.0,0.573,0.0,0.0,1.637,0.0
318,PROVIDENCE HOLY CROSS MEDICAL CENTER (050278),2023,Acute Care,Voluntary non-profit - Church,374.0,34.279013,-118.459485,CA,0.938,0.24,1.076,0.838,0.304,0.0
319,HI-DESERT MEDICAL CENTER (050279),2023,Acute Care,Government - Hospital District or Authority,178.0,34.132676,-116.276709,CA,,0.0,,,,0.0
320,MERCY MEDICAL CENTER REDDING (050280),2023,Acute Care,Voluntary non-profit - Private,266.0,,,CA,0.328,0.531,1.454,1.452,0.54,0.0
