,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
163,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2015,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,1.0,,8.0,8.0,1.0,3.45
164,SUMMIT MEDICAL CENTER (040018),2015,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,1.0,,10.0,10.0,1.0,4.15
165,FORREST CITY MEDICAL CENTER (040019),2015,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,3.0,3.0,,3.0
166,ST BERNARDS MEDICAL CENTER (040020),2015,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,10.0,9.0,9.0,9.0,9.5,9.325
167,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2015,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,3.0,8.0,4.0,4.0,5.5,4.975
168,MERCY HOSPITAL HOT SPRINGS (040026),2015,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,8.0,3.0,2.0,2.0,5.5,4.275
169,BAXTER REGIONAL MEDICAL CENTER (040027),2015,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,8.0,1.0,1.0,1.0,4.5,3.275
170,CONWAY REGIONAL MEDICAL CENTER (040029),2015,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,8.0,5.0,1.0,1.0,6.5,4.575
171,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2015,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,8.0,10.0,6.0,6.0,9.0,7.95
172,ARKANSAS METHODIST MEDICAL CENTER (040039),2015,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,4.0,,8.0,8.0,4.0,5.4
173,ST MARYS REGIONAL MEDICAL CENTER (040041),2015,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,3.0,1.0,4.0,4.0,2.0,2.7
174,FIVE RIVERS MEDICAL CENTER (040047),2015,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,,,6.0,6.0,,6.0
175,OUACHITA COUNTY MEDICAL CENTER (040050),2015,Acute Care,Voluntary non-profit - Private,97.0,,,AR,1.0,,5.0,5.0,1.0,2.4
176,DREW MEMORIAL HOSPITAL (040051),2015,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,,,4.0,4.0,,4.0
177,SPARKS REGIONAL MEDICAL CENTER (040055),2015,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,4.0,6.0,6.0,6.0,5.0,5.35
178,ST EDWARD MERCY MEDICAL CENTER (040062),2015,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,9.0,4.0,2.0,2.0,6.5,4.925
179,MAGNOLIA HOSPITAL (040067),2015,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,1.0,,4.0,4.0,1.0,2.05
180,GREAT RIVER MEDICAL CENTER (040069),2015,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,,,4.0,4.0,,4.0
181,JEFFERSON REGIONAL MEDICAL CENTER (040071),2015,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,4.0,3.0,2.0,2.0,3.5,2.975
182,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2015,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,,,7.0,7.0,,7.0
183,NORTH METRO MEDICAL CENTER (040074),2015,Acute Care,Proprietary,70.0,34.872381,-92.124697,AR,3.0,,3.0,3.0,3.0,3.0
184,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2015,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,9.0,,3.0,3.0,9.0,6.9
185,NATIONAL PARK MEDICAL CENTER (040078),2015,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,8.0,10.0,1.0,1.0,9.0,6.2
186,HARRIS HOSPITAL (040080),2015,Acute Care,Proprietary,121.0,,,AR,10.0,,5.0,5.0,10.0,8.25
187,SALINE MEMORIAL HOSPITAL (040084),2015,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,7.0,9.0,1.0,1.0,8.0,5.55
188,HELENA REGIONAL MEDICAL CENTER (040085),2015,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,1.0,,4.0,4.0,1.0,2.05
189,MEDICAL CENTER SOUTH ARKANSAS (040088),2015,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,2.0,4.0,1.0,1.0,3.0,2.3
190,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2015,Acute Care,Voluntary non-profit - Private,773.0,,,AR,9.0,7.0,3.0,3.0,8.0,6.25
191,NEA BAPTIST MEMORIAL HOSPITAL (040118),2015,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,4.0,8.0,2.0,2.0,6.0,4.6
192,WHITE RIVER MEDICAL CENTER (040119),2015,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,7.0,6.0,10.0,10.0,6.5,7.725
193,"ARKANSAS HEART HOSPITAL, LLC (040134)",2015,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,7.0,4.0,1.0,1.0,5.5,3.925
194,ST VINCENT MEDICAL CENTER/NORTH (040137),2015,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,1.0,,7.0,7.0,1.0,3.1
195,ARKANSAS SURGICAL HOSPITAL (040147),2015,Acute Care,Physician,49.0,34.801458,-92.347687,AR,,,1.0,1.0,,1.0
196,PHYSICIANS' SPECIALTY HOSPITAL (040152),2015,Acute Care,Proprietary,20.0,36.12133,-94.13373,AR,,,9.0,9.0,,9.0
197,WADLEY REGIONAL MEDICAL CENTER AT HOPE (040153),2015,Acute Care,Proprietary,70.0,33.648008,-93.587052,AR,,,6.0,6.0,,6.0
198,ST ROSE HOSPITAL (050002),2015,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,4.0,5.0,6.0,6.0,4.5,5.025
199,ST JOSEPH HOSPITAL (050006),2015,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,5.0,6.0,2.0,2.0,5.5,4.275
200,MILLS-PENINSULA MEDICAL CENTER (050007),2015,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,8.0,2.0,10.0,10.0,5.0,6.75
201,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2015,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,6.0,3.0,9.0,9.0,4.5,6.075
202,QUEEN OF THE VALLEY MEDICAL CENTER (050009),2015,Acute Care,Voluntary non-profit - Church,172.0,38.323554,-122.295968,CA,10.0,10.0,9.0,9.0,10.0,9.65
203,ST HELENA HOSPITAL (050013),2015,Acute Care,Voluntary non-profit - Private,153.0,38.54196,-122.475344,CA,10.0,7.0,9.0,9.0,8.5,8.675
204,SUTTER AMADOR HOSPITAL (050014),2015,Acute Care,Voluntary non-profit - Private,50.0,38.349561,-120.765905,CA,4.0,1.0,6.0,6.0,2.5,3.725
205,MERCY GENERAL HOSPITAL (050017),2015,Acute Care,Voluntary non-profit - Church,379.0,38.569385,-121.452482,CA,2.0,1.0,9.0,9.0,1.5,4.125
206,PACIFIC ALLIANCE MEDICAL CENTER (050018),2015,Acute Care,Proprietary,139.0,,,CA,10.0,1.0,1.0,1.0,5.5,3.925
207,RIVERSIDE COMMUNITY HOSPITAL (050022),2015,Acute Care,Government - State,415.0,33.975677,-117.380374,CA,8.0,4.0,4.0,4.0,6.0,5.3
208,PARADISE VALLEY HOSPITAL (050024),2015,Acute Care,Proprietary,289.0,32.686336,-117.083243,CA,3.0,10.0,1.0,1.0,6.5,4.575
209,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER (050025),2015,Acute Care,Voluntary non-profit - Other,630.0,32.753717,-117.165914,CA,10.0,8.0,5.0,5.0,9.0,7.6
210,GROSSMONT HOSPITAL (050026),2015,Acute Care,Government - Hospital District or Authority,545.0,32.779435,-117.009178,CA,2.0,3.0,10.0,10.0,2.5,5.125
211,MAD RIVER COMMUNITY HOSPITAL (050028),2015,Acute Care,Proprietary,66.0,40.903309,-124.090847,CA,1.0,1.0,3.0,3.0,1.0,1.7
212,OROVILLE HOSPITAL (050030),2015,Acute Care,Voluntary non-profit - Private,166.0,39.504535,-121.542106,CA,1.0,10.0,6.0,6.0,5.5,5.675
213,BAKERSFIELD MEMORIAL HOSPITAL (050036),2015,Acute Care,Voluntary non-profit - Private,396.0,35.390474,-119.006836,CA,9.0,3.0,9.0,9.0,6.0,7.05
214,SANTA CLARA VALLEY MEDICAL CENTER (050038),2015,Acute Care,Government - Local,684.0,37.313702,-121.931888,CA,5.0,4.0,9.0,9.0,4.5,6.075
215,ENLOE MEDICAL CENTER (050039),2015,Acute Care,Voluntary non-profit - Private,315.0,39.742284,-121.849128,CA,2.0,1.0,10.0,10.0,1.5,4.475
216,LAC/OLIVE VIEW-UCLA MEDICAL CENTER (050040),2015,Acute Care,Voluntary non-profit - Other,286.0,34.325912,-118.445513,CA,8.0,7.0,5.0,5.0,7.5,6.625
217,ST ELIZABETH COMMUNITY HOSPITAL (050042),2015,Acute Care,Voluntary non-profit - Church,65.0,40.148834,-122.218303,CA,,,1.0,1.0,,1.0
218,ALTA BATES SUMMIT MEDICAL CENTER (050043),2015,Acute Care,Voluntary non-profit - Private,389.0,37.820784,-122.26328,CA,4.0,5.0,5.0,5.0,4.5,4.675
219,EL CENTRO REGIONAL MEDICAL CENTER (050045),2015,Acute Care,Voluntary non-profit - Other,162.0,32.781498,-115.56862,CA,9.0,10.0,4.0,4.0,9.5,7.575
220,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP (050047),2015,Acute Care,Voluntary non-profit - Private,456.0,37.786152,-122.421544,CA,5.0,3.0,4.0,4.0,4.0,4.0
221,SAN GORGONIO MEMORIAL HOSPITAL (050054),2015,Acute Care,Government - Hospital District or Authority,72.0,,,CA,3.0,1.0,8.0,8.0,2.0,4.1
222,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS (050055),2015,Acute Care,Voluntary non-profit - Church,186.0,37.74805,-122.420987,CA,4.0,3.0,8.0,8.0,3.5,5.075
223,ANTELOPE VALLEY HOSPITAL (050056),2015,Acute Care,Government - Hospital District or Authority,396.0,34.689371,-118.158476,CA,7.0,6.0,10.0,10.0,6.5,7.725
224,KAWEAH DELTA MEDICAL CENTER (050057),2015,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,3.0,3.0,9.0,9.0,3.0,5.1
225,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2015,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,6.0,7.0,2.0,2.0,6.5,4.925
226,COMMUNITY REGIONAL MEDICAL CENTER (050060),2015,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,9.0,8.0,10.0,10.0,8.5,9.025
227,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2015,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,8.0,3.0,6.0,6.0,5.5,5.675
228,OAK VALLEY DISTRICT HOSPITAL (050067),2015,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,,,4.0,4.0,,4.0
229,ST JOSEPH HOSPITAL (050069),2015,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,8.0,7.0,8.0,8.0,7.5,7.675
230,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO (050070),2015,Acute Care,Voluntary non-profit - Private,120.0,37.658376,-122.439205,CA,5.0,1.0,6.0,6.0,3.0,4.05
231,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2015,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,4.0,3.0,8.0,8.0,3.5,5.075
232,KAISER FOUNDATION HOSPITAL - WALNUT CREEK (050072),2015,Acute Care,Voluntary non-profit - Other,233.0,37.891512,-122.057943,CA,4.0,5.0,3.0,3.0,4.5,3.975
233,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2015,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,10.0,10.0,8.0,8.0,10.0,9.3
234,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND (050075),2015,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,8.0,7.0,8.0,8.0,7.5,7.675
235,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (050076),2015,Acute Care,Voluntary non-profit - Other,239.0,37.782778,-122.443222,CA,7.0,4.0,8.0,8.0,5.5,6.375
236,SCRIPPS MERCY HOSPITAL (050077),2015,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,9.0,10.0,6.0,6.0,9.5,8.275
237,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2015,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,7.0,6.0,7.0,7.0,6.5,6.675
238,DOCTORS MEDICAL CENTER - SAN PABLO (050079),2015,Acute Care,Government - Hospital District or Authority,176.0,,,CA,4.0,9.0,8.0,8.0,6.5,7.025
239,ST JOHNS REGIONAL MEDICAL CENTER (050082),2015,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,7.0,5.0,9.0,9.0,6.0,7.05
240,ST JOSEPHS MEDICAL CENTER OF STOCKTON (050084),2015,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,3.0,4.0,3.0,3.0,3.5,3.325
241,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2015,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,7.0,8.0,3.0,3.0,7.5,5.925
242,SONOMA VALLEY HOSPITAL (050090),2015,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,1.0,,7.0,7.0,1.0,3.1
243,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2015,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,9.0,10.0,2.0,2.0,9.5,6.875
244,SAINT AGNES MEDICAL CENTER (050093),2015,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,8.0,8.0,7.0,7.0,8.0,7.65
245,"DOCTORS HOSPITAL OF WEST COVINA, INC (050096)",2015,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,,,6.0,6.0,,6.0
246,SAN ANTONIO COMMUNITY HOSPITAL (050099),2015,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,8.0,8.0,7.0,7.0,8.0,7.65
247,SHARP MEMORIAL HOSPITAL (050100),2015,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,8.0,3.0,10.0,10.0,5.5,7.075
248,SUTTER SOLANO MEDICAL CENTER (050101),2015,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,9.0,3.0,8.0,8.0,6.0,6.7
249,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2015,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,9.0,4.0,2.0,2.0,6.5,4.925
250,WHITE MEMORIAL MEDICAL CENTER (050103),2015,Acute Care,Voluntary non-profit - Church,352.0,,,CA,10.0,9.0,4.0,4.0,9.5,7.575
251,SAINT FRANCIS MEDICAL CENTER (050104),2015,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,6.0,10.0,3.0,3.0,8.0,6.25
252,MARIAN REGIONAL MEDICAL CENTER (050107),2015,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,3.0,4.0,2.0,2.0,3.5,2.975
253,SUTTER GENERAL HOSPITAL (050108),2015,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,4.0,3.0,1.0,1.0,3.5,2.625
254,LOMPOC VALLEY MEDICAL CENTER (050110),2015,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,1.0,1.0,1.0,1.0,1.0,1.0
255,TEMPLE COMMUNITY HOSPITAL (050111),2015,Acute Care,Proprietary,170.0,,,CA,1.0,,2.0,2.0,1.0,1.35
256,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2015,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,4.0,9.0,8.0,8.0,6.5,7.025
257,SAN MATEO MEDICAL CENTER (050113),2015,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,1.0,1.0,4.0,4.0,1.0,2.05
258,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2015,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,10.0,5.0,7.0,7.0,7.5,7.325
259,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2015,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,10.0,9.0,3.0,3.0,9.5,7.225
260,DOCTORS HOSPITAL OF MANTECA (050118),2015,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,3.0,6.0,5.0,5.0,4.5,4.675
261,ADVENTIST MEDICAL CENTER (050121),2015,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,9.0,5.0,5.0,5.0,7.0,6.3
262,DAMERON HOSPITAL (050122),2015,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,6.0,4.0,10.0,10.0,5.0,6.75
263,USC VERDUGO HILLS HOSPITAL (050124),2015,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,9.0,1.0,7.0,7.0,5.0,5.7
264,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2015,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,4.0,6.0,10.0,10.0,5.0,6.75
265,VALLEY PRESBYTERIAN HOSPITAL (050126),2015,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,5.0,9.0,3.0,3.0,7.0,5.6
266,WOODLAND MEMORIAL HOSPITAL (050127),2015,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,1.0,4.0,7.0,7.0,2.5,4.075
267,TRI-CITY MEDICAL CENTER (050128),2015,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,8.0,4.0,8.0,8.0,6.0,6.7
268,ST BERNARDINE MEDICAL CENTER (050129),2015,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,7.0,7.0,2.0,2.0,7.0,5.25
269,NOVATO COMMUNITY HOSPITAL (050131),2015,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,8.0,1.0,3.0,3.0,4.5,3.975
270,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2015,Acute Care,Physician,272.0,34.102461,-118.105572,CA,8.0,6.0,8.0,8.0,7.0,7.35
271,RIDEOUT MEMORIAL HOSPITAL (050133),2015,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,9.0,10.0,10.0,10.0,9.5,9.675
272,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2015,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,2.0,10.0,2.0,2.0,6.0,4.6
273,PETALUMA VALLEY HOSPITAL (050136),2015,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,5.0,,2.0,2.0,5.0,3.95
274,KAISER FOUNDATION HOSPITAL - PANORAMA CITY (050137),2015,Acute Care,Voluntary non-profit - Private,218.0,34.219847,-118.430299,CA,8.0,4.0,6.0,6.0,6.0,6.0
275,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2015,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,5.0,6.0,3.0,3.0,5.5,4.625
276,KAISER FOUNDATION HOSPITAL - DOWNEY (050139),2015,Acute Care,Voluntary non-profit - Other,358.0,33.917101,-118.128998,CA,6.0,2.0,5.0,5.0,4.0,4.35
277,KAISER FOUNDATION HOSPITAL FONTANA (050140),2015,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,5.0,2.0,9.0,9.0,3.5,5.425
278,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2015,Acute Care,Voluntary non-profit - Private,278.0,,,CA,2.0,2.0,8.0,8.0,2.0,4.1
279,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2015,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,8.0,5.0,5.0,5.0,6.5,5.975
280,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2015,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,1.0,1.0,1.0,1.0,1.0,1.0
281,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2015,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,3.0,5.0,7.0,7.0,4.0,5.05
282,O'CONNOR HOSPITAL (050153),2015,Acute Care,Voluntary non-profit - Church,348.0,,,CA,5.0,2.0,4.0,4.0,3.5,3.675
283,ENCINO HOSPITAL MEDICAL CENTER (050158),2015,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,1.0,1.0,3.0,3.0,1.0,1.7
284,VENTURA COUNTY MEDICAL CENTER (050159),2015,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,9.0,10.0,10.0,10.0,9.5,9.675
285,SAN JOAQUIN GENERAL HOSPITAL (050167),2015,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,2.0,7.0,7.0,7.0,4.5,5.375
286,ST JUDE MEDICAL CENTER (050168),2015,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,6.0,4.0,3.0,3.0,5.0,4.3
287,PRESBYTERIAN INTERCOMMUNITY HOSPITAL (050169),2015,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,8.0,3.0,9.0,9.0,5.5,6.725
288,SANTA ROSA MEMORIAL HOSPITAL (050174),2015,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,8.0,1.0,7.0,7.0,4.5,5.375
289,EMANUEL MEDICAL CENTER (050179),2015,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,10.0,10.0,9.0,9.0,10.0,9.65
290,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2015,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,9.0,8.0,8.0,8.0,8.5,8.325
291,GEORGE L MEE MEMORIAL HOSPITAL (050189),2015,Acute Care,Voluntary non-profit - Other,89.0,36.206819,-121.132137,CA,6.0,,7.0,7.0,6.0,6.35
292,ST MARY MEDICAL CENTER (050191),2015,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,3.0,4.0,1.0,1.0,3.5,2.625
293,ADVENTIST MEDICAL CENTER - REEDLEY (050192),2015,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,,,7.0,7.0,,7.0
294,WATSONVILLE COMMUNITY HOSPITAL (050194),2015,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,4.0,1.0,8.0,8.0,2.5,4.425
295,WASHINGTON HOSPITAL (050195),2015,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,5.0,8.0,5.0,5.0,6.5,5.975
296,CENTRAL VALLEY GENERAL HOSPITAL (050196),2015,Acute Care,Voluntary non-profit - Church,41.0,,,CA,,,7.0,7.0,,7.0
297,SEQUOIA HOSPITAL (050197),2015,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,4.0,7.0,2.0,2.0,5.5,4.275
298,PALMDALE REGIONAL MEDICAL CENTER (050204),2015,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,1.0,1.0,4.0,4.0,1.0,2.05
299,GLENDORA COMMUNITY HOSPITAL (050205),2015,Acute Care,Proprietary,128.0,34.128685,-117.865193,CA,1.0,,3.0,3.0,1.0,1.7
300,ALAMEDA HOSPITAL (050211),2015,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,1.0,1.0,2.0,2.0,1.0,1.35
301,SHARP CHULA VISTA MEDICAL CENTER (050222),2015,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,6.0,7.0,3.0,3.0,6.5,5.275
302,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2015,Acute Care,Voluntary non-profit - Private,468.0,,,CA,6.0,4.0,7.0,7.0,5.0,5.7
303,FEATHER RIVER HOSPITAL (050225),2015,Acute Care,Voluntary non-profit - Church,100.0,39.756161,-121.572305,CA,3.0,1.0,8.0,8.0,2.0,4.1
304,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2015,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,4.0,8.0,10.0,10.0,6.0,7.4
305,SAN FRANCISCO GENERAL HOSPITAL (050228),2015,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,8.0,3.0,10.0,10.0,5.5,7.075
306,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2015,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,10.0,10.0,1.0,1.0,10.0,6.85
307,POMONA VALLEY HOSPITAL MEDICAL CENTER (050231),2015,Acute Care,Voluntary non-profit - Private,399.0,34.077639,-117.752329,CA,10.0,8.0,1.0,1.0,9.0,6.2
308,FRENCH HOSPITAL MEDICAL CENTER (050232),2015,Acute Care,Voluntary non-profit - Other,103.0,35.278663,-120.650212,CA,3.0,8.0,2.0,2.0,5.5,4.275
309,SHARP CORONADO HOSPITAL AND HLTHCR CTR (050234),2015,Acute Care,Voluntary non-profit - Other,185.0,32.694257,-117.167947,CA,4.0,10.0,9.0,9.0,7.0,7.7
310,PROVIDENCE SAINT JOSEPH MEDICAL CTR (050235),2015,Acute Care,Voluntary non-profit - Church,361.0,34.157643,-118.327841,CA,10.0,10.0,1.0,1.0,10.0,6.85
311,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES (050236),2015,Acute Care,Voluntary non-profit - Church,144.0,34.288837,-118.74396,CA,10.0,10.0,2.0,2.0,10.0,7.2
312,METHODIST HOSPITAL OF SOUTHERN CA (050238),2015,Acute Care,Voluntary non-profit - Private,404.0,34.134862,-118.042446,CA,5.0,8.0,1.0,1.0,6.5,4.575
313,GLENDALE ADVENTIST MEDICAL CENTER (050239),2015,Acute Care,Voluntary non-profit - Private,460.0,34.149161,-118.230354,CA,9.0,5.0,4.0,4.0,7.0,5.95
314,DOMINICAN HOSPITAL (050242),2015,Acute Care,Voluntary non-profit - Church,234.0,36.988341,-121.983818,CA,6.0,7.0,2.0,2.0,6.5,4.925
315,DESERT REGIONAL MEDICAL CENTER (050243),2015,Acute Care,Proprietary,364.0,33.838861,-116.545598,CA,3.0,3.0,4.0,4.0,3.0,3.35
316,ARROWHEAD REGIONAL MEDICAL CENTER (050245),2015,Acute Care,Government - Local,454.0,34.072884,-117.352833,CA,7.0,7.0,9.0,9.0,7.0,7.7
317,NATIVIDAD MEDICAL CENTER (050248),2015,Acute Care,Government - Hospital District or Authority,172.0,36.695472,-121.63124,CA,10.0,10.0,7.0,7.0,10.0,8.95
318,MARSHALL MEDICAL CENTER (050254),2015,Acute Care,Voluntary non-profit - Other,114.0,38.724483,-120.790643,CA,6.0,1.0,2.0,2.0,3.5,2.975
