,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
83,CHOCTAW GENERAL HOSPITAL (011304),2021,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,100.0,97.0,,,0.0,7126.0,,,,,,,,,,,,,,,,
84,ST VINCENTS BLOUNT (011305),2021,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,76.0,17.0,73.0,64.0,,,,,,,83.0,251.0,,,,,,,,,104.0,171.0,,,100.0,13.0,,,76.0,17.0,,
85,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2021,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,,,,,,,,,,,96.0,424.0,,,,,,,,,100.0,95.0,,,,,,,,,,
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2021,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,53.0,58.0,80.0,64.0,83.0,35.0,,,,,63.0,4091.0,,,2.0,71528.0,,,190.0,19.0,188.0,202.0,5.0,94.0,92.0,40.0,,,78.0,58.0,86.0,37.0
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2021,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,57.0,67.0,100.0,76.0,,,,,,,57.0,1256.0,,,1.0,32004.0,,,350.0,18.0,137.0,184.0,4.0,24.0,85.0,46.0,93.0,14.0,75.0,67.0,89.0,36.0
88,BARTLETT REGIONAL HOSPITAL (020008),2021,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,56.0,27.0,99.0,75.0,,,,,,,89.0,744.0,,,1.0,14525.0,,,169.0,30.0,176.0,213.0,,,88.0,17.0,,,67.0,27.0,93.0,14.0
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2021,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,17.0,54.0,65.0,82.0,54.0,13.0,,,,,93.0,2520.0,,,0.0,34547.0,,,214.0,22.0,150.0,164.0,0.0,12.0,56.0,25.0,,,72.0,54.0,50.0,28.0
90,ALASKA REGIONAL HOSPITAL (020017),2021,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,76.0,29.0,95.0,100.0,,,,,,,57.0,1798.0,,,1.0,36663.0,,,99.0,14.0,120.0,250.0,0.0,28.0,96.0,24.0,,,90.0,29.0,91.0,22.0
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2021,Acute Care,Tribal,34.0,,,AK,21.0,14.0,,,,,,,,,94.0,1468.0,,,,,,,,,,,0.0,21.0,,,,,64.0,14.0,,
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2021,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,71.0,52.0,88.0,68.0,,,,,,,56.0,1208.0,,,1.0,16467.0,,,141.0,15.0,134.0,193.0,0.0,21.0,95.0,43.0,73.0,15.0,83.0,52.0,100.0,28.0
93,ALASKA NATIVE MEDICAL CENTER (020026),2021,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,76.0,71.0,90.0,63.0,,,,,,,94.0,4468.0,,,1.0,62927.0,,,197.0,24.0,123.0,166.0,,,98.0,55.0,100.0,17.0,82.0,71.0,93.0,42.0
94,673rd Medical Group (Joint Base Elmendorf-Richardson) (02013F),2021,Acute Care (DOD),Department of Defense,,,,,,,90.0,61.0,,,,,,,,,,,1.0,23808.0,,,,,102.0,237.0,,,,,,,,,,
95,Bassett ACH (FT Wainwright) (02014F),2021,Acute Care (DOD),Department of Defense,,,,,,,85.0,55.0,,,,,,,,,,,0.0,13170.0,,,,,148.0,229.0,,,,,,,,,,
96,SEARHC WRANGELL MEDICAL CENTER-CAH (021305),2021,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,,,,,,,,,75.0,131.0,,,0.0,1079.0,,,,,149.0,63.0,,,,,,,,,,
97,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2021,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,,,,,,,80.0,264.0,,,,,,,,,,,,,,,,,,,,
98,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2021,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,52.0,21.0,100.0,63.0,,,,,,,95.0,539.0,,,1.0,8455.0,,,145.0,17.0,144.0,169.0,,,69.0,16.0,,,95.0,21.0,71.0,14.0
99,SOUTH PENINSULA HOSPITAL (021313),2021,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,,,,,,,65.0,564.0,,,0.0,4686.0,,,,,170.0,171.0,,,,,,,,,,
100,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2021,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,44.0,18.0,100.0,190.0,100.0,20.0,,,,,93.0,5872.0,,,5.0,74640.0,,,,,239.0,191.0,0.0,47.0,,,,,78.0,18.0,64.0,11.0
101,TUCSON MEDICAL CENTER (030006),2021,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,45.0,40.0,,,,,,,,,94.0,5048.0,,,,,,,,,266.0,178.0,0.0,49.0,74.0,27.0,,,80.0,40.0,79.0,24.0
102,VERDE VALLEY MEDICAL CENTER (030007),2021,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,52.0,25.0,98.0,131.0,100.0,29.0,,,54.0,13.0,92.0,1266.0,,,2.0,31894.0,,,176.0,18.0,182.0,179.0,0.0,29.0,88.0,17.0,,,76.0,25.0,87.0,15.0
103,ST. MARY'S HOSPITAL (030010),2021,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,54.0,57.0,91.0,43.0,,,,,,,70.0,1675.0,,,2.0,47320.0,,,757.0,11.0,177.0,175.0,,,91.0,34.0,,,65.0,57.0,87.0,23.0
104,ST JOSEPH'S HOSPITAL (030011),2021,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,55.0,66.0,93.0,74.0,,,,,,,71.0,2192.0,,,2.0,40845.0,,,339.0,13.0,226.0,183.0,1.0,152.0,84.0,44.0,,,68.0,66.0,96.0,28.0
105,YAVAPAI REGIONAL MEDICAL CENTER (030012),2021,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,31.0,132.0,100.0,96.0,,,,,54.0,26.0,35.0,3668.0,,,3.0,69971.0,,,418.0,11.0,210.0,196.0,9.0,47.0,64.0,76.0,53.0,17.0,67.0,132.0,81.0,63.0
106,YUMA REGIONAL MEDICAL CENTER (030013),2021,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,19.0,26.0,100.0,52.0,,,,,88.0,26.0,88.0,3121.0,,,2.0,86952.0,,,,,256.0,150.0,0.0,42.0,,,,,46.0,26.0,,
107,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2021,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,61.0,56.0,61.0,61.0,,,,,,,91.0,2351.0,,,5.0,51508.0,,,,,210.0,185.0,,,79.0,43.0,,,80.0,56.0,93.0,27.0
108,BANNER CASA GRANDE MEDICAL CENTER (030016),2021,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,67.0,15.0,100.0,111.0,,,,,,,89.0,1106.0,,,6.0,46710.0,,,,,221.0,185.0,0.0,16.0,,,,,73.0,15.0,,
109,VALLEYWISE HEALTH MEDICAL CENTER (030022),2021,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,93.0,27.0,,,,,,,,,88.0,4961.0,,,,,,,350.0,15.0,160.0,180.0,27.0,11.0,100.0,25.0,,,100.0,27.0,88.0,17.0
110,FLAGSTAFF MEDICAL CENTER (030023),2021,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,47.0,19.0,,,100.0,30.0,,,,,95.0,2931.0,,,1.0,48178.0,,,56.0,37.0,221.0,160.0,,,,,,,68.0,19.0,75.0,12.0
111,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2021,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,66.0,65.0,87.0,77.0,100.0,31.0,,,,,88.0,6844.0,,,1.0,108817.0,,,,,188.0,184.0,0.0,46.0,91.0,47.0,,,80.0,65.0,88.0,42.0
112,ABRAZO CENTRAL CAMPUS (030030),2021,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,55.0,33.0,100.0,75.0,,,,,,,55.0,65.0,,,1.0,52182.0,,,,,168.0,181.0,,,80.0,25.0,,,79.0,33.0,96.0,24.0
113,CHANDLER REGIONAL MEDICAL CENTER (030036),2021,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,56.0,52.0,100.0,18.0,,,,,78.0,18.0,97.0,1720.0,,,2.0,82868.0,,,,,133.0,192.0,6.0,33.0,79.0,39.0,,,79.0,52.0,93.0,28.0
114,ST LUKE'S MEDICAL CENTER (030037),2021,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,27.0,26.0,90.0,147.0,,,,,,,72.0,848.0,,,1.0,27926.0,,,372.0,25.0,162.0,165.0,,,62.0,16.0,,,65.0,26.0,93.0,14.0
115,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2021,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,66.0,59.0,96.0,78.0,,,,,,,92.0,2671.0,,,2.0,53592.0,,,270.0,12.0,189.0,185.0,0.0,36.0,84.0,49.0,82.0,11.0,90.0,59.0,89.0,35.0
116,CANYON VISTA MEDICAL CENTER (030043),2021,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,94.0,32.0,,,,,,,91.0,11.0,92.0,1105.0,,,1.0,29767.0,,,208.0,41.0,178.0,525.0,0.0,71.0,97.0,31.0,,,97.0,32.0,100.0,17.0
117,KINGMAN REGIONAL MEDICAL CENTER (030055),2021,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,59.0,165.0,74.0,165.0,,,,,,,98.0,2452.0,,,2.0,41611.0,,,,,178.0,200.0,0.0,34.0,87.0,126.0,68.0,25.0,78.0,165.0,98.0,93.0
118,BANNER BOSWELL MEDICAL CENTER (030061),2021,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,50.0,16.0,100.0,55.0,97.0,38.0,,,88.0,17.0,84.0,2672.0,,,1.0,47781.0,,,284.0,11.0,215.0,185.0,,,73.0,11.0,,,75.0,16.0,,
119,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2021,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,64.0,44.0,,,,,,,,,56.0,1654.0,,,,,92.0,22.0,952.0,17.0,203.0,199.0,0.0,39.0,91.0,32.0,,,84.0,44.0,86.0,35.0
120,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2021,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,45.0,29.0,100.0,82.0,97.0,108.0,,,,,90.0,4426.0,,,2.0,78729.0,,,,,271.0,189.0,,,73.0,22.0,,,79.0,29.0,94.0,18.0
121,BANNER DESERT MEDICAL CENTER (030065),2021,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,15.0,13.0,100.0,92.0,,,,,,,89.0,5272.0,,,4.0,139645.0,,,532.0,14.0,234.0,183.0,0.0,30.0,,,,,77.0,13.0,,
122,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2021,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,79.0,117.0,,,,,,,,,,,0.0,20567.0,,,124.0,14.0,102.0,203.0,4.0,46.0,,,,,,,,
123,HAVASU REGIONAL MEDICAL CENTER (030069),2021,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,71.0,28.0,,,,,,,,,69.0,891.0,,,,,,,294.0,13.0,205.0,215.0,0.0,30.0,87.0,23.0,,,86.0,28.0,94.0,18.0
124,FORT DEFIANCE INDIAN HOSPITAL (030071),2021,Acute Care,Government - Federal,54.0,,,AZ,30.0,30.0,,,,,,,,,82.0,1151.0,,,,,,,,,,,0.0,20.0,61.0,18.0,,,83.0,30.0,61.0,18.0
125,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2021,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,12.0,17.0,,,,,,,,,,,,,,,,,,,85.0,193.0,16.0,31.0,,,,,41.0,17.0,,
126,SAN CARLOS APACHE HEALTHCARE CORP (030077),2021,Acute Care,Government - Federal,9.0,,,AZ,,,,,,,,,,,67.0,751.0,,,,,,,,,,,,,,,,,,,,
127,PHOENIX INDIAN MEDICAL CENTER (030078),2021,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,48.0,27.0,,,,,,,,,94.0,1311.0,,,,,,,,,,,0.0,17.0,100.0,13.0,,,70.0,27.0,62.0,16.0
128,ABRAZO SCOTTSDALE CAMPUS (030083),2021,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,44.0,45.0,58.0,19.0,,,,,100.0,11.0,49.0,1276.0,,,1.0,30165.0,,,334.0,15.0,170.0,180.0,,,85.0,27.0,,,78.0,45.0,72.0,29.0
129,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2021,Acute Care,Government - Federal,60.0,,,AZ,12.0,33.0,,,,,,,,,98.0,1061.0,,,,,,,,,,,0.0,31.0,,,,,42.0,33.0,,
130,NORTHWEST MEDICAL CENTER (030085),2021,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,38.0,74.0,100.0,100.0,,,,,,,85.0,2474.0,,,0.0,50953.0,,,241.0,11.0,156.0,187.0,0.0,30.0,73.0,44.0,,,64.0,74.0,90.0,31.0
131,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2021,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,61.0,61.0,82.0,67.0,,,,,78.0,18.0,91.0,3453.0,,,1.0,48395.0,,,,,190.0,189.0,3.0,287.0,90.0,41.0,,,75.0,61.0,86.0,28.0
132,BANNER BAYWOOD MEDICAL CENTER (030088),2021,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,53.0,19.0,100.0,25.0,,,,,80.0,25.0,79.0,2856.0,,,3.0,57884.0,53.0,25.0,,,251.0,177.0,,,77.0,13.0,,,89.0,19.0,73.0,15.0
133,BANNER THUNDERBIRD MEDICAL CENTER (030089),2021,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,30.0,20.0,100.0,190.0,100.0,20.0,,,93.0,14.0,86.0,4531.0,,,5.0,74640.0,,,655.0,15.0,241.0,187.0,1.0,67.0,67.0,12.0,,,75.0,20.0,75.0,12.0
134,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2021,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,52.0,61.0,92.0,76.0,,,,,82.0,11.0,90.0,2751.0,,,4.0,85174.0,,,,,212.0,185.0,,,86.0,36.0,,,67.0,61.0,87.0,31.0
135,BANNER DEL E. WEBB MEDICAL CENTER (030093),2021,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,60.0,15.0,97.0,30.0,,,,,79.0,28.0,81.0,2939.0,,,2.0,64851.0,,,,,227.0,188.0,0.0,13.0,,,,,60.0,15.0,,
136,ABRAZO ARROWHEAD HOSPITAL (030094),2021,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,45.0,44.0,95.0,76.0,,,,,86.0,14.0,68.0,2876.0,,,0.0,52076.0,,,175.0,25.0,126.0,352.0,0.0,57.0,65.0,31.0,,,73.0,44.0,95.0,22.0
137,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2021,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,67.0,66.0,100.0,24.0,,,,,,,66.0,676.0,,,2.0,31796.0,,,398.0,14.0,153.0,195.0,0.0,14.0,82.0,56.0,,,88.0,66.0,95.0,43.0
138,MAYO CLINIC HOSPITAL (030103),2021,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,48.0,64.0,69.0,62.0,91.0,58.0,,,,,86.0,7926.0,,,1.0,41595.0,,,,,199.0,187.0,,,76.0,45.0,,,74.0,65.0,94.0,32.0
139,BANNER HEART HOSPITAL (030105),2021,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,,,,,,,,,,,94.0,950.0,,,,,,,,,,,,,,,,,,,,
140,ARIZONA SPINE AND JOINT HOSPITAL (030107),2021,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,,,,,,99.0,262.0,,,,,,,,,,,,,,,,,,,,
141,THE CORE INSTITUTE SPECIALTY HOSP (030108),2021,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,,,,,,,85.0,459.0,,,,,,,,,,,,,,,,,,,,
142,ABRAZO WEST CAMPUS (030110),2021,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,48.0,40.0,100.0,68.0,,,,,,,96.0,2086.0,,,1.0,51295.0,,,427.0,11.0,172.0,185.0,0.0,40.0,80.0,25.0,,,68.0,40.0,90.0,20.0
143,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2021,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,47.0,30.0,99.0,84.0,,,,,,,96.0,1565.0,,,3.0,51084.0,,,262.0,19.0,224.0,170.0,,,86.0,21.0,,,73.0,30.0,95.0,21.0
144,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2021,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,,,,,,,34.0,420.0,,,,,,,,,,,,,,,,,,,,
145,WHITERIVER PHS INDIAN HOSPITAL (030113),2021,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,,,,,96.0,681.0,,,,,,,,,,,,,,,,,,,,
146,ORO VALLEY HOSPITAL (030114),2021,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,57.0,61.0,100.0,18.0,,,,,,,71.0,796.0,,,1.0,35926.0,,,,,141.0,178.0,,,74.0,50.0,,,84.0,61.0,97.0,34.0
147,BANNER ESTRELLA MEDICAL CENTER (030115),2021,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,63.0,19.0,100.0,106.0,,,,,67.0,24.0,89.0,2974.0,,,4.0,100115.0,,,,,220.0,186.0,0.0,62.0,87.0,15.0,,,84.0,19.0,,
148,VALLEY VIEW MEDICAL CENTER (030117),2021,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,37.0,19.0,57.0,14.0,,,,,,,76.0,397.0,,,,,,,,,136.0,196.0,0.0,12.0,82.0,11.0,,,63.0,19.0,,
149,MERCY GILBERT MEDICAL CENTER (030119),2021,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,56.0,59.0,96.0,74.0,,,,,94.0,16.0,97.0,1211.0,,,2.0,52136.0,,,250.0,11.0,168.0,184.0,0.0,22.0,90.0,39.0,,,69.0,59.0,93.0,29.0
150,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2021,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,57.0,14.0,68.0,186.0,,,,,,,82.0,1807.0,,,2.0,26750.0,,,,,206.0,181.0,16.0,31.0,,,,,86.0,14.0,75.0,12.0
151,BANNER GATEWAY MEDICAL CENTER (030122),2021,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,50.0,20.0,100.0,100.0,100.0,100.0,,,,,82.0,3169.0,,,4.0,50387.0,,,,,216.0,186.0,4.0,54.0,67.0,15.0,,,80.0,20.0,92.0,13.0
152,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2021,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,66.0,41.0,93.0,28.0,,,,,,,92.0,2072.0,,,1.0,26297.0,,,,,154.0,195.0,,,90.0,30.0,,,80.0,41.0,87.0,23.0
153,BANNER IRONWOOD MEDICAL CENTER (030130),2021,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,47.0,17.0,100.0,111.0,,,,,,,87.0,1225.0,,,2.0,34988.0,62.0,12.0,,,210.0,187.0,5.0,21.0,67.0,12.0,,,76.0,17.0,92.0,12.0
154,O.A.S.I.S. HOSPITAL (030131),2021,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,,,,,,,89.0,491.0,,,,,,,,,,,,,,,,,,,,
155,BANNER GOLDFIELD MEDICAL CENTER (030134),2021,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,58.0,12.0,94.0,16.0,,,,,,,91.0,502.0,,,1.0,18768.0,,,308.0,12.0,146.0,177.0,,,,,,,67.0,12.0,,
156,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2021,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,,,,,,,,,,,93.0,292.0,,,,,,,,,97.0,187.0,,,,,,,,,,
157,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2021,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,,,,,,,,,,,59.0,478.0,,,,,,,,,162.0,175.0,,,,,,,,,,
158,WESTERN REGIONAL MEDICAL CENTER (030138),2021,Acute Care,Proprietary,38.0,33.452804,-112.362571,AZ,,,65.0,17.0,97.0,102.0,,,,,96.0,542.0,,,,,,,,,,,,,,,,,,,,
159,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2021,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,,,,,,,,,75.0,12.0,96.0,458.0,,,,,76.0,14.0,,,87.0,183.0,,,,,,,,,,
160,BANNER OCOTILLO MEDICAL CENTER (030147),2021,Acute Care,Voluntary non-profit - Private,94.0,,,AZ,,,,,,,,,,,41.0,709.0,,,,,,,,,,,,,,,,,,,,
161,PAGE HOSPITAL (031304),2021,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,,,100.0,28.0,,,,,,,86.0,170.0,,,1.0,9872.0,,,120.0,15.0,86.0,174.0,,,,,,,,,,
162,SAGE MEMORIAL HOSPITAL (031309),2021,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,,,,,,,,,82.0,278.0,,,,,,,,,,,,,,,,,,,,
163,HOLY CROSS HOSPITAL (031313),2021,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,,,98.0,66.0,,,,,,,,,,,1.0,19850.0,,,,,145.0,220.0,0.0,74.0,,,,,,,,
164,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2021,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,,,,,,,,,47.0,297.0,,,0.0,5676.0,,,,,265.0,37.0,,,,,,,,,,
165,LA PAZ REGIONAL HOSPITAL (031317),2021,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,,,,,,,,,,,48.0,286.0,,,,,,,,,,,,,,,,,,,,
166,BANNER PAYSON MEDICAL CENTER (031318),2021,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,,,100.0,80.0,,,,,,,68.0,383.0,,,1.0,14876.0,,,,,143.0,181.0,,,,,,,,,,
167,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2021,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,61.0,23.0,100.0,71.0,,,,,73.0,11.0,59.0,314.0,,,1.0,18552.0,,,286.0,12.0,117.0,191.0,0.0,24.0,80.0,20.0,,,91.0,23.0,94.0,16.0
168,JOHNSON REGIONAL MEDICAL CENTER (040002),2021,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,58.0,19.0,99.0,161.0,,,,,,,83.0,499.0,,,1.0,15704.0,,,232.0,16.0,154.0,212.0,0.0,23.0,87.0,15.0,,,89.0,19.0,,
169,WASHINGTON REGIONAL MEDICAL CENTER (040004),2021,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,38.0,32.0,70.0,20.0,,,,,,,99.0,4475.0,,,1.0,59811.0,,,,,183.0,194.0,3.0,29.0,84.0,19.0,,,66.0,32.0,88.0,17.0
170,CHI-ST VINCENT INFIRMARY (040007),2021,Acute Care,Voluntary non-profit - Private,414.0,,,AR,71.0,28.0,94.0,16.0,,,,,,,99.0,2359.0,,,3.0,37279.0,,,408.0,14.0,214.0,167.0,,,80.0,25.0,,,96.0,28.0,89.0,19.0
171,MERCY HOSPITAL ROGERS (040010),2021,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,56.0,54.0,99.0,90.0,,,,,77.0,13.0,89.0,2262.0,,,2.0,60719.0,,,,,140.0,187.0,0.0,17.0,75.0,40.0,,,80.0,54.0,86.0,21.0
