,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
51,J PAUL JONES HOSPITAL (010102),2023,Acute Care,Voluntary non-profit - Other,22.0,31.996611,-87.299424,AL,,,,,,,,,,,,,,,,,,,,,20.0,45.0,,,,,3.0,3942.0,,,112.0,14.0,85.0,349.0,97.3,37.0,,,,,,,,,,,,
52,PRINCETON BAPTIST MEDICAL CENTER (010103),2023,Acute Care,Voluntary non-profit - Church,302.0,33.499133,-86.846016,AL,,,,,,,,,44.0,154.0,96.0,100.0,,,91.0,82.0,,,,,84.0,2264.0,,,99.0,831.0,3.0,29466.0,,,,,147.0,421.0,88.8,1614.0,23.0,1708.0,50.0,54.0,88.0,25.0,69.0,154.0,86.0,72.0,90.0,2124.0
53,GRANDVIEW MEDICAL CENTER (010104),2023,Acute Care,Proprietary,360.0,33.434363,-86.720483,AL,,,,,64.0,58.0,87.0,180.0,36.0,175.0,95.0,192.0,93.0,187.0,88.0,67.0,,,79.0,19.0,61.0,3852.0,,,,,2.0,38325.0,,,240.0,14.0,221.0,408.0,80.8,4243.0,,,36.0,33.0,,,65.0,175.0,72.0,89.0,,
54,PRATTVILLE BAPTIST HOSPITAL (010108),2023,Acute Care,Government - Hospital District or Authority,55.0,32.464423,-86.450936,AL,,,,,,,100.0,34.0,42.0,106.0,97.0,36.0,100.0,36.0,98.0,98.0,,,,,92.0,971.0,,,,,7.0,26627.0,,,1040.0,12.0,179.0,387.0,91.3,588.0,,,45.0,40.0,47.0,15.0,72.0,106.0,98.0,57.0,,
55,BULLOCK COUNTY HOSPITAL (010110),2023,Acute Care,Proprietary,54.0,32.146182,-85.71638,AL,,,,,,,,,,,,,,,,,,,,,48.0,182.0,,,,,2.0,4604.0,,,,,120.0,233.0,88.3,120.0,,,,,,,,,,,,
56,WHITFIELD REGIONAL HOSPITAL (010112),2023,Acute Care,Government - Hospital District or Authority,83.0,32.503676,-87.836744,AL,,,,,,,,,16.0,19.0,,,,,87.0,362.0,,,50.0,12.0,49.0,368.0,100.0,214.0,,,1.0,10246.0,,,161.0,13.0,119.0,364.0,90.1,549.0,,,,,,,40.0,20.0,,,,
57,MOBILE INFIRMARY MEDICAL CENTER (010113),2023,Acute Care,Voluntary non-profit - Private,678.0,30.696443,-88.081017,AL,180.0,6515.0,177.0,133.0,,,92.0,169.0,82.0,120.0,,,,,98.0,80.0,,,,,67.0,4256.0,,,81.0,1559.0,6.0,38519.0,,,279.0,21.0,181.0,383.0,89.9,2778.0,,,87.0,52.0,97.0,37.0,91.0,120.0,97.0,78.0,65.0,5728.0
58,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM (010114)",2023,Acute Care,Government - Hospital District or Authority,236.0,33.373086,-86.991709,AL,86.0,445.0,,,,,100.0,28.0,53.0,308.0,,,88.0,32.0,97.0,76.0,,,35.0,20.0,77.0,1737.0,,,,,2.0,74061.0,78.0,29.0,,,149.0,555.0,89.1,1695.0,20.0,1064.0,63.0,86.0,90.0,41.0,78.0,310.0,77.0,178.0,,
59,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2023,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,,,,,,,,,53.0,107.0,95.0,41.0,,,100.0,102.0,,,,,69.0,443.0,,,96.0,313.0,7.0,22067.0,,,,,188.0,433.0,100.0,401.0,7.0,471.0,50.0,28.0,77.0,13.0,72.0,107.0,95.0,66.0,94.0,982.0
60,MONROE COUNTY HOSPITAL (010120),2023,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,,,,,,,,,61.0,31.0,,,,,100.0,80.0,,,,,55.0,286.0,,,72.0,126.0,1.0,14270.0,,,192.0,11.0,109.0,428.0,69.4,242.0,,,,,,,71.0,31.0,86.0,14.0,78.0,186.0
61,LAKELAND COMMUNITY HOSPITAL (010125),2023,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,,,,,,,,,57.0,14.0,,,,,,,,,,,61.0,314.0,,,,,0.0,8731.0,,,106.0,14.0,66.0,418.0,77.8,255.0,17.0,121.0,,,,,86.0,14.0,100.0,12.0,30.0,322.0
62,TROY REGIONAL MEDICAL CENTER (010126),2023,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,,,,,,,,,39.0,33.0,,,,,,,,,64.0,11.0,73.0,422.0,,,,,1.0,16993.0,,,160.0,12.0,110.0,342.0,64.3,379.0,,,42.0,12.0,,,79.0,33.0,90.0,20.0,,
63,JACKSON MEDICAL CENTER (010128),2023,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,42.0,50.0,,,,,,,,,,,,,,,,,,,38.0,172.0,,,,,6.0,5793.0,,,,,128.0,324.0,76.1,159.0,,,,,,,,,,,54.0,252.0
64,NORTH BALDWIN INFIRMARY (010129),2023,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,110.0,576.0,,,,,,,66.0,76.0,,,,,83.0,18.0,,,,,88.0,487.0,,,98.0,136.0,3.0,14897.0,,,269.0,11.0,173.0,381.0,84.1,428.0,,,67.0,45.0,96.0,25.0,92.0,76.0,96.0,57.0,84.0,398.0
65,ST VINCENT'S ST CLAIR (010130),2023,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,,,,,,,,,52.0,58.0,,,,,87.0,68.0,,,,,68.0,375.0,,,91.0,190.0,4.0,36790.0,,,,,139.0,355.0,74.4,278.0,,,55.0,11.0,,,76.0,58.0,92.0,37.0,95.0,619.0
66,CRESTWOOD MEDICAL CENTER (010131),2023,Acute Care,Proprietary,163.0,,,AL,,,,,,,98.0,40.0,45.0,137.0,98.0,46.0,,,98.0,186.0,,,54.0,13.0,74.0,2117.0,,,95.0,391.0,6.0,37127.0,,,,,175.0,407.0,87.1,1709.0,,,44.0,36.0,87.0,15.0,80.0,137.0,69.0,83.0,87.0,2111.0
67,HILL HOSPITAL OF SUMTER COUNTY (010138),2023,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,,,,,,,,,,,,,,,98.0,63.0,,,,,1.0,3032.0,,,,,144.0,242.0,86.2,65.0,,,,,,,,,,,,
68,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2023,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,,,,,,,,,59.0,128.0,84.0,93.0,,,97.0,38.0,,,,,71.0,2158.0,,,84.0,580.0,2.0,35474.0,,,140.0,13.0,152.0,424.0,89.5,2302.0,15.0,1483.0,53.0,51.0,78.0,18.0,84.0,128.0,95.0,79.0,83.0,2037.0
69,SPRINGHILL MEDICAL CENTER (010144),2023,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,,,,,,,84.0,77.0,49.0,194.0,95.0,83.0,94.0,81.0,78.0,36.0,,,17.0,18.0,94.0,2444.0,,,90.0,615.0,3.0,46087.0,,,148.0,11.0,125.0,614.0,89.1,1579.0,,,82.0,39.0,88.0,25.0,62.0,194.0,84.0,96.0,,
70,EVERGREEN MEDICAL CENTER (010148),2023,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,88.0,271.0,,,,,,,21.0,14.0,,,,,,,,,,,5.0,166.0,,,,,3.0,6036.0,,,,,120.0,306.0,79.9,105.0,,,,,,,64.0,14.0,,,83.0,476.0
71,BAPTIST MEDICAL CENTER EAST (010149),2023,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,,,,,,,95.0,39.0,44.0,81.0,95.0,43.0,100.0,41.0,100.0,111.0,,,77.0,13.0,89.0,2100.0,,,,,7.0,41665.0,,,494.0,11.0,241.0,393.0,91.3,1717.0,,,52.0,25.0,,,68.0,81.0,94.0,32.0,,
72,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2023,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,,,,,,,,,35.0,20.0,,,,,100.0,23.0,,,91.0,11.0,39.0,260.0,,,,,3.0,9329.0,,,,,148.0,353.0,70.7,275.0,,,,,,,65.0,20.0,64.0,11.0,,
73,NORTH ALABAMA SHOALS HOSPITAL (010157),2023,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,,,,,,,,,,,,,,,,,,,,,74.0,293.0,,,,,4.0,9140.0,,,189.0,44.0,104.0,316.0,64.1,298.0,13.0,143.0,,,,,,,,,80.0,235.0
74,RUSSELLVILLE HOSPITAL (010158),2023,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,0.0,267.0,,,,,,,75.0,24.0,,,,,100.0,19.0,,,,,82.0,418.0,,,93.0,71.0,2.0,9839.0,,,,,100.0,385.0,78.0,246.0,9.0,78.0,80.0,15.0,92.0,12.0,92.0,24.0,100.0,21.0,82.0,278.0
75,COOSA VALLEY MEDICAL CENTER (010164),2023,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,,,,,,,,,50.0,46.0,,,,,89.0,79.0,,,100.0,14.0,62.0,610.0,,,,,0.0,20480.0,,,200.0,15.0,123.0,464.0,75.1,518.0,,,83.0,12.0,,,65.0,46.0,72.0,18.0,,
76,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2023,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,,,,,17.0,12.0,,,,,0.0,106.0,,,,,57.0,575.0,,,88.0,96.0,6.0,15469.0,,,,,124.0,415.0,57.6,561.0,,,,,,,58.0,12.0,,,81.0,588.0
77,ATMORE COMMUNITY HOSPITAL (010169),2023,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,56.0,309.0,,,,,,,52.0,33.0,,,,,65.0,17.0,,,,,,,,,,,6.0,10911.0,,,,,128.0,404.0,71.0,336.0,,,,,,,82.0,33.0,82.0,22.0,86.0,347.0
78,ST VINCENT'S CHILTON (010173),2023,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,,,,,,,66.0,29.0,,,,,,,,,,,76.0,252.0,,,92.0,48.0,5.0,19255.0,,,,,172.0,345.0,72.8,211.0,,,,,,,69.0,29.0,100.0,15.0,77.0,155.0
79,THOMASVILLE REGIONAL MEDICAL CENTER (010174),2023,Acute Care,Voluntary non-profit - Private,29.0,,,AL,,,,,,,,,,,,,,,100.0,60.0,,,,,60.0,131.0,,,,,0.0,7393.0,,,223.0,11.0,132.0,328.0,93.6,117.0,,,,,,,,,,,,
80,EAMC-LANIER (010175),2023,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,,,79.0,29.0,,,,,,,,,,,83.0,200.0,,,,,2.0,7050.0,,,134.0,15.0,122.0,598.0,93.2,190.0,,,,,,,93.0,29.0,96.0,23.0,,
81,WASHINGTON COUNTY HOSPITAL (011300),2023,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,184.0,,,,,,,,,,,58.0,119.0
82,RED BAY HOSPITAL (011302),2023,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3423.0,,,,,125.0,293.0,68.8,142.0,,,,,,,,,,,61.0,96.0
83,CHOCTAW GENERAL HOSPITAL (011304),2023,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,350.0,,,,,,,,,,,,,,
84,ST VINCENTS BLOUNT (011305),2023,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,,,,,,,77.0,48.0,,,,,95.0,21.0,,,,,65.0,330.0,,,97.0,58.0,1.0,13461.0,,,,,106.0,356.0,69.5,282.0,,,,,,,90.0,48.0,89.0,36.0,97.0,207.0
85,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2023,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,38.0,109.0,,,,,,,,,,,,,,,,,,,88.0,389.0,,,,,,,,,,,106.0,235.0,71.7,149.0,19.0,47.0,,,,,,,,,77.0,105.0
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2023,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,279.0,4208.0,916.0,81.0,,,,,65.0,114.0,97.0,101.0,,,76.0,49.0,,,31.0,13.0,73.0,4663.0,,,,,4.0,58587.0,,,172.0,23.0,202.0,420.0,89.7,4056.0,17.0,1797.0,85.0,27.0,87.0,15.0,79.0,114.0,83.0,58.0,85.0,3089.0
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2023,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,,,,,,,98.0,42.0,48.0,144.0,98.0,46.0,98.0,45.0,97.0,39.0,,,95.0,20.0,73.0,888.0,,,,,1.0,31544.0,,,348.0,21.0,136.0,398.0,73.5,1446.0,,,42.0,33.0,83.0,12.0,65.0,144.0,95.0,55.0,,
88,BARTLETT REGIONAL HOSPITAL (020008),2023,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,,,,,,,,,55.0,86.0,,,,,96.0,82.0,54.0,13.0,,,94.0,865.0,,,96.0,172.0,1.0,11900.0,,,226.0,44.0,172.0,427.0,93.2,775.0,17.0,161.0,33.0,24.0,,,84.0,87.0,88.0,57.0,85.0,282.0
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2023,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,,,,,,,94.0,33.0,21.0,129.0,76.0,37.0,,,55.0,85.0,,,31.0,16.0,93.0,1768.0,,,86.0,412.0,1.0,32031.0,,,228.0,40.0,165.0,337.0,92.0,1802.0,,,36.0,58.0,62.0,21.0,71.0,129.0,69.0,61.0,77.0,583.0
90,ALASKA REGIONAL HOSPITAL (020017),2023,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,137.0,2204.0,217.0,71.0,,,92.0,40.0,74.0,110.0,,,,,98.0,80.0,,,,,47.0,1786.0,,,100.0,415.0,2.0,34297.0,,,234.0,36.0,148.0,479.0,78.8,1648.0,,,65.0,23.0,93.0,15.0,90.0,111.0,91.0,69.0,100.0,2131.0
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2023,Acute Care,Tribal,34.0,,,AK,64.0,232.0,44.0,26.0,,,,,20.0,30.0,,,,,,,,,,,99.0,1683.0,,,,,,,,,,,,,81.1,1488.0,,,,,,,57.0,30.0,,,82.0,172.0
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2023,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,93.0,982.0,92.0,37.0,,,,,58.0,112.0,,,96.0,26.0,92.0,97.0,,,,,47.0,1249.0,,,93.0,182.0,1.0,15750.0,,,189.0,13.0,147.0,405.0,70.2,1138.0,,,62.0,42.0,83.0,23.0,82.0,113.0,92.0,75.0,94.0,658.0
93,ALASKA NATIVE MEDICAL CENTER (020026),2023,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,,,,,,,,,76.0,134.0,100.0,51.0,98.0,50.0,98.0,57.0,,,,,92.0,5528.0,,,,,3.0,48948.0,,,224.0,35.0,131.0,350.0,99.5,3363.0,17.0,1001.0,83.0,54.0,100.0,40.0,87.0,135.0,94.0,99.0,,
94,673rd Medical Group (Joint Base Elmendorf-Richardson) (02013F),2023,Acute Care (DOD),Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,412.0,,,,,,,,,,,,,,
95,Bassett ACH (FT Wainwright) (02014F),2023,Acute Care (DOD),Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,415.0,,,,,,,,,,,,,,
96,SEARHC WRANGELL MEDICAL CENTER-CAH (021305),2023,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,,,,,,,,,,,,,,,,,,,97.0,73.0,,,,,,,,,138.0,16.0,123.0,465.0,,,,,,,,,,,,,80.0,41.0
97,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2023,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,52.0,117.0,50.0,42.0,,,,,,,,,,,,,,,,,69.0,272.0,,,,,1.0,3205.0,,,,,,,,,7.0,60.0,,,,,,,,,93.0,100.0
98,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2023,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,,,,,,,50.0,42.0,,,,,92.0,38.0,,,,,90.0,587.0,,,98.0,86.0,0.0,7035.0,,,260.0,22.0,130.0,352.0,100.0,468.0,11.0,133.0,56.0,18.0,,,90.0,42.0,84.0,25.0,97.0,114.0
99,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2023,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,,,,,,,,,,,,,,,,,,,77.0,477.0,,,,,1.0,7399.0,,,,,,,,,,,,,,,,,,,,
100,SOUTH PENINSULA HOSPITAL (021313),2023,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,53.0,74.0,,,,,,,76.0,33.0,,,,,29.0,35.0,,,,,51.0,601.0,,,,,0.0,4859.0,,,242.0,28.0,152.0,563.0,76.1,563.0,14.0,111.0,91.0,11.0,,,79.0,33.0,100.0,15.0,44.0,233.0
101,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2023,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,137.0,5414.0,156.0,70.0,,,88.0,115.0,43.0,108.0,92.0,133.0,90.0,129.0,99.0,177.0,,,,,90.0,5095.0,,,,,3.0,76021.0,,,422.0,26.0,276.0,368.0,89.2,5416.0,,,45.0,38.0,100.0,14.0,78.0,108.0,70.0,57.0,,
102,TUCSON MEDICAL CENTER (030006),2023,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,,,,,,,89.0,179.0,44.0,115.0,99.0,201.0,98.0,196.0,100.0,13.0,,,,,88.0,5698.0,,,84.0,862.0,4.0,89540.0,,,,,239.0,393.0,99.3,4795.0,13.0,4786.0,56.0,43.0,94.0,17.0,76.0,115.0,75.0,65.0,,
103,VERDE VALLEY MEDICAL CENTER (030007),2023,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,,,,,,,,,47.0,72.0,,,86.0,44.0,94.0,95.0,,,55.0,22.0,87.0,1175.0,,,91.0,222.0,6.0,30612.0,,,206.0,21.0,212.0,364.0,86.4,834.0,,,84.0,25.0,83.0,18.0,71.0,72.0,70.0,33.0,87.0,1245.0
104,ST. MARY'S HOSPITAL (030010),2023,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,,,,,,,,,47.0,161.0,91.0,114.0,,,90.0,89.0,,,80.0,15.0,72.0,1939.0,,,97.0,648.0,5.0,42955.0,,,720.0,27.0,215.0,391.0,61.1,1666.0,14.0,1087.0,46.0,41.0,65.0,17.0,71.0,161.0,86.0,81.0,88.0,2821.0
105,ST JOSEPH'S HOSPITAL (030011),2023,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,,,,,,,,,34.0,151.0,89.0,154.0,,,87.0,115.0,,,,,71.0,2518.0,,,97.0,838.0,3.0,38248.0,,,470.0,27.0,190.0,389.0,60.9,2056.0,17.0,2353.0,36.0,45.0,73.0,15.0,70.0,151.0,72.0,75.0,88.0,3479.0
106,YAVAPAI REGIONAL MEDICAL CENTER (030012),2023,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,,,,,76.0,33.0,89.0,102.0,56.0,283.0,93.0,115.0,87.0,110.0,99.0,102.0,,,73.0,37.0,61.0,3222.0,,,,,4.0,66569.0,80.0,12.0,350.0,27.0,199.0,397.0,73.9,2434.0,,,64.0,104.0,88.0,43.0,80.0,283.0,85.0,163.0,,
107,YUMA REGIONAL MEDICAL CENTER (030013),2023,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,,,,,,,95.0,97.0,50.0,103.0,96.0,128.0,96.0,126.0,86.0,79.0,,,81.0,32.0,78.0,3273.0,,,88.0,715.0,7.0,70481.0,,,372.0,13.0,285.0,313.0,97.4,2702.0,,,69.0,32.0,62.0,13.0,76.0,103.0,83.0,64.0,,
108,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2023,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,,,,,,,,,63.0,68.0,100.0,83.0,99.0,82.0,88.0,146.0,,,53.0,19.0,88.0,2398.0,,,100.0,974.0,13.0,43738.0,,,,,262.0,376.0,89.8,4534.0,,,60.0,15.0,,,78.0,68.0,92.0,37.0,96.0,3276.0
109,BANNER CASA GRANDE MEDICAL CENTER (030016),2023,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,123.0,1813.0,124.0,26.0,,,94.0,33.0,52.0,105.0,95.0,39.0,100.0,37.0,100.0,200.0,,,75.0,28.0,87.0,968.0,,,,,6.0,38580.0,105.0,18.0,566.0,18.0,259.0,371.0,90.7,786.0,,,61.0,23.0,100.0,11.0,68.0,105.0,91.0,54.0,,
110,VALLEYWISE HEALTH MEDICAL CENTER (030022),2023,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,116.0,2131.0,166.0,72.0,,,,,76.0,85.0,,,,,99.0,73.0,,,,,98.0,3850.0,,,94.0,1422.0,1.0,67187.0,,,440.0,18.0,208.0,374.0,92.6,2952.0,,,100.0,30.0,100.0,19.0,94.0,85.0,78.0,69.0,,
111,FLAGSTAFF MEDICAL CENTER (030023),2023,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,,,,,,,,,36.0,55.0,,,82.0,62.0,,,,,56.0,18.0,94.0,3459.0,,,98.0,633.0,5.0,43380.0,,,162.0,37.0,276.0,352.0,95.5,2682.0,,,53.0,19.0,,,67.0,55.0,74.0,27.0,92.0,2871.0
112,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2023,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,169.0,6166.0,293.0,75.0,,,,,62.0,154.0,94.0,381.0,,,85.0,75.0,,,28.0,32.0,89.0,8686.0,,,100.0,2586.0,2.0,116388.0,406.0,26.0,478.0,17.0,189.0,378.0,91.9,8901.0,,,75.0,36.0,76.0,21.0,80.0,154.0,89.0,92.0,98.0,6683.0
113,ABRAZO CENTRAL CAMPUS (030030),2023,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,,,,,,,,,47.0,81.0,86.0,109.0,,,97.0,58.0,,,,,88.0,1906.0,,,92.0,507.0,4.0,43295.0,,,300.0,15.0,190.0,384.0,89.4,1857.0,14.0,632.0,56.0,16.0,,,63.0,81.0,82.0,34.0,89.0,2064.0
114,CHANDLER REGIONAL MEDICAL CENTER (030036),2023,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,,,,,,,96.0,181.0,68.0,190.0,,,,,100.0,20.0,,,91.0,35.0,45.0,2375.0,,,99.0,1248.0,1.0,69364.0,,,,,118.0,385.0,91.4,4187.0,9.0,3539.0,77.0,47.0,93.0,29.0,77.0,191.0,96.0,102.0,98.0,6335.0
115,TEMPE ST LUKES HOSPITAL (030037),2023,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,,,,,,,,,45.0,94.0,,,,,,,,,,,61.0,781.0,,,,,4.0,25754.0,,,262.0,59.0,204.0,314.0,75.6,414.0,,,,,,,60.0,94.0,87.0,38.0,,
