,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
66,NORTH BALDWIN INFIRMARY (010129),2020,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,87.0,63.0,81.0,54.0,87.0,61.0,,,,,,,,,,,1.0,15345.0,52.0,15.0,,,110.0,351.0,165.0,379.0,0.0,26.0,95.0,59.0,83.0,18.0,97.0,63.0,98.0,49.0
67,ST VINCENT'S ST CLAIR (010130),2020,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,89.0,47.0,95.0,63.0,100.0,56.0,,,,,,,,,,,2.0,24293.0,,,,,54.0,310.0,108.0,269.0,,,100.0,42.0,,,89.0,47.0,100.0,36.0
68,CRESTWOOD MEDICAL CENTER (010131),2020,Acute Care,Proprietary,163.0,,,AL,73.0,217.0,100.0,63.0,100.0,96.0,,,,,,,84.0,1924.0,,,1.0,44040.0,,,162.0,16.0,128.0,590.0,180.0,411.0,0.0,48.0,93.0,173.0,92.0,40.0,84.0,218.0,94.0,144.0
69,HILL HOSPITAL OF SUMTER COUNTY (010138),2020,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,,,,,,,,,,,2.0,3201.0,,,,,93.0,43.0,130.0,249.0,,,,,,,,,,
70,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2020,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,76.0,279.0,96.0,83.0,96.0,85.0,100.0,32.0,,,,,,,,,1.0,46673.0,,,194.0,12.0,113.0,574.0,130.0,421.0,0.0,85.0,88.0,254.0,83.0,78.0,94.0,279.0,95.0,183.0
71,SPRINGHILL MEDICAL CENTER (010144),2020,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,62.0,288.0,83.0,47.0,96.0,111.0,,,,,37.0,27.0,97.0,2426.0,,,3.0,58005.0,,,140.0,17.0,300.0,680.0,132.0,785.0,0.0,137.0,92.0,199.0,94.0,87.0,72.0,289.0,96.0,169.0
72,EVERGREEN MEDICAL CENTER (010148),2020,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,34.0,32.0,100.0,37.0,,,,,,,77.0,13.0,0.0,199.0,,,3.0,7952.0,,,,,68.0,300.0,118.0,303.0,,,71.0,17.0,,,66.0,32.0,67.0,12.0
73,BAPTIST MEDICAL CENTER EAST (010149),2020,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,52.0,107.0,100.0,117.0,98.0,127.0,,,,,83.0,12.0,97.0,2217.0,,,1.0,56654.0,,,,,124.0,454.0,150.0,409.0,1.0,393.0,80.0,76.0,27.0,11.0,79.0,107.0,87.0,61.0
74,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2020,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,75.0,20.0,100.0,12.0,100.0,26.0,,,,,,,53.0,276.0,,,1.0,9974.0,,,,,33.0,319.0,149.0,327.0,,,88.0,17.0,,,90.0,20.0,93.0,14.0
75,SHOALS HOSPITAL (010157),2020,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,53.0,15.0,82.0,39.0,76.0,131.0,,,,,,,93.0,357.0,,,1.0,11671.0,,,209.0,24.0,144.0,163.0,108.0,332.0,,,,,,,67.0,15.0,,
76,RUSSELLVILLE HOSPITAL (010158),2020,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,74.0,34.0,100.0,29.0,100.0,31.0,,,,,,,94.0,449.0,,,2.0,12258.0,,,,,63.0,404.0,106.0,374.0,,,83.0,30.0,,,88.0,34.0,100.0,27.0
77,COOSA VALLEY MEDICAL CENTER (010164),2020,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,54.0,98.0,98.0,95.0,98.0,229.0,,,,,75.0,16.0,,,,,1.0,26249.0,,,,,57.0,339.0,136.0,384.0,0.0,51.0,91.0,69.0,57.0,23.0,76.0,98.0,92.0,60.0
78,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2020,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,,,94.0,36.0,,,,,,,,,,,6.0,15211.0,,,,,84.0,62.0,114.0,409.0,,,,,,,,,,
79,ATMORE COMMUNITY HOSPITAL (010169),2020,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,65.0,43.0,78.0,41.0,99.0,90.0,,,,,,,87.0,337.0,,,3.0,13100.0,,,,,38.0,416.0,103.0,368.0,,,83.0,35.0,,,88.0,43.0,90.0,31.0
80,ST VINCENT'S CHILTON (010173),2020,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,34.0,38.0,,,79.0,109.0,,,,,29.0,17.0,,,,,2.0,19422.0,,,,,61.0,334.0,135.0,267.0,,,100.0,14.0,,,39.0,38.0,,
81,WASHINGTON COUNTY HOSPITAL (011300),2020,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,,,,,,,,,,,1.0,3714.0,,,,,,,,,,,,,,,,,,
82,RED BAY HOSPITAL (011302),2020,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,,,,,,,93.0,170.0,,,,,,,,,39.0,115.0,114.0,351.0,,,,,,,,,,
83,CHOCTAW GENERAL HOSPITAL (011304),2020,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,,,59.0,86.0,,,1.0,7232.0,,,146.0,13.0,57.0,49.0,96.0,348.0,,,,,,,,,,
84,ST VINCENTS BLOUNT (011305),2020,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,74.0,38.0,27.0,71.0,,,,,,,,,,,2.0,15438.0,,,172.0,11.0,44.0,421.0,102.0,344.0,,,,,,,,,,
85,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2020,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,,,,,,,,,,,,,,,,,1.0,11053.0,,,,,,,112.0,369.0,,,,,,,,,,
86,PROVIDENCE ALASKA MEDICAL CENTER (020001),2020,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,45.0,122.0,87.0,61.0,67.0,63.0,89.0,38.0,,,85.0,13.0,,,,,2.0,64399.0,,,144.0,28.0,226.0,581.0,151.0,415.0,9.0,43.0,84.0,68.0,82.0,11.0,65.0,124.0,83.0,59.0
87,MAT-SU REGIONAL MEDICAL CENTER (020006),2020,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,63.0,219.0,100.0,74.0,97.0,76.0,,,92.0,13.0,72.0,18.0,68.0,1274.0,,,1.0,30763.0,,,196.0,27.0,123.0,663.0,126.0,392.0,0.0,27.0,88.0,169.0,68.0,34.0,79.0,219.0,97.0,116.0
88,BARTLETT REGIONAL HOSPITAL (020008),2020,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,57.0,123.0,93.0,85.0,97.0,206.0,,,,,,,99.0,788.0,,,2.0,15174.0,,,185.0,43.0,85.0,343.0,147.0,428.0,0.0,22.0,86.0,84.0,,,76.0,123.0,86.0,63.0
89,FAIRBANKS MEMORIAL HOSPITAL (020012),2020,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,31.0,107.0,76.0,72.0,94.0,68.0,53.0,17.0,,,40.0,15.0,,,,,1.0,36009.0,,,138.0,38.0,144.0,350.0,145.0,364.0,3.0,35.0,57.0,60.0,,,67.0,107.0,71.0,42.0
90,ALASKA REGIONAL HOSPITAL (020017),2020,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,57.0,125.0,95.0,105.0,86.0,100.0,,,,,,,70.0,1526.0,,,0.0,34307.0,,,194.0,38.0,102.0,729.0,122.0,516.0,5.0,57.0,89.0,87.0,67.0,18.0,78.0,125.0,85.0,68.0
91,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2020,Acute Care,Tribal,34.0,,,AK,24.0,25.0,,,,,,,,,,,99.0,1567.0,,,,,,,,,77.0,253.0,,,1.0,69.0,,,,,56.0,25.0,,
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2020,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,59.0,145.0,68.0,59.0,98.0,165.0,,,62.0,13.0,,,57.0,1252.0,,,1.0,16218.0,,,289.0,21.0,142.0,354.0,139.0,389.0,0.0,32.0,86.0,109.0,57.0,23.0,79.0,148.0,94.0,85.0
93,ALASKA NATIVE MEDICAL CENTER (020026),2020,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,66.0,153.0,95.0,65.0,100.0,65.0,,,,,,,95.0,4630.0,,,1.0,61858.0,,,239.0,35.0,200.0,549.0,116.0,427.0,0.0,20.0,94.0,110.0,83.0,18.0,76.0,153.0,95.0,100.0
94,673rd Medical Group (Joint Base Elmendorf-Richardson) (02013F),2020,Acute Care (DOD),Department of Defense,,,,,,,93.0,106.0,83.0,242.0,,,,,,,,,,,,,,,,,70.0,185.0,99.0,469.0,0.0,21.0,,,,,,,,
95,Bassett ACH (FT Wainwright) (02014F),2020,Acute Care (DOD),Department of Defense,,,,,,,85.0,65.0,95.0,41.0,,,,,,,,,,,,,,,,,59.0,139.0,125.0,474.0,0.0,19.0,,,,,,,,
96,SEARHC WRANGELL MEDICAL CENTER-CAH (021305),2020,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,,,,,,,,,,,86.0,100.0,,,1.0,851.0,,,115.0,11.0,24.0,92.0,115.0,194.0,,,,,,,,,,
97,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2020,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,35.0,52.0,89.0,74.0,89.0,114.0,,,,,,,85.0,649.0,,,1.0,9107.0,,,202.0,18.0,126.0,308.0,129.0,348.0,0.0,13.0,66.0,29.0,,,87.0,52.0,54.0,35.0
98,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2020,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,,,,,,,,,,,90.0,393.0,,,1.0,6924.0,,,,,,,,,,,,,,,,,,
99,SOUTH PENINSULA HOSPITAL (021313),2020,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,58.0,33.0,,,,,,,,,,,84.0,518.0,,,1.0,4620.0,,,,,76.0,152.0,158.0,236.0,,,83.0,23.0,,,73.0,33.0,92.0,13.0
100,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2020,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,44.0,107.0,98.0,184.0,99.0,165.0,,,,,,,,,,,4.0,69002.0,,,419.0,21.0,123.0,421.0,256.0,383.0,0.0,107.0,86.0,56.0,,,64.0,107.0,73.0,44.0
101,TUCSON MEDICAL CENTER (030006),2020,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,31.0,113.0,88.0,40.0,68.0,38.0,,,,,,,98.0,6986.0,,,2.0,70269.0,,,500.0,17.0,121.0,539.0,218.0,404.0,4.0,75.0,72.0,53.0,,,63.0,113.0,63.0,49.0
102,VERDE VALLEY MEDICAL CENTER (030007),2020,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,48.0,89.0,100.0,30.0,98.0,430.0,100.0,12.0,,,69.0,35.0,,,,,1.0,32215.0,,,368.0,27.0,106.0,772.0,175.0,367.0,0.0,57.0,87.0,54.0,,,74.0,89.0,77.0,52.0
103,ST. MARY'S HOSPITAL (030010),2020,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,58.0,134.0,100.0,15.0,,,,,,,62.0,16.0,,,,,3.0,49330.0,,,528.0,30.0,140.0,1025.0,203.0,365.0,,,91.0,92.0,50.0,16.0,69.0,134.0,98.0,65.0
104,ST JOSEPH'S HOSPITAL (030011),2020,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,45.0,152.0,89.0,71.0,100.0,47.0,,,,,,,,,,,4.0,41957.0,,,319.0,29.0,160.0,673.0,250.0,360.0,3.0,246.0,86.0,85.0,47.0,15.0,66.0,152.0,78.0,67.0
105,YAVAPAI REGIONAL MEDICAL CENTER (030012),2020,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,38.0,330.0,98.0,99.0,97.0,96.0,,,,,62.0,58.0,53.0,2666.0,,,3.0,69698.0,50.0,33.0,288.0,22.0,81.0,888.0,191.0,402.0,0.0,92.0,70.0,211.0,39.0,36.0,74.0,331.0,82.0,177.0
106,YUMA REGIONAL MEDICAL CENTER (030013),2020,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,48.0,84.0,100.0,42.0,100.0,71.0,,,,,71.0,49.0,95.0,3736.0,,,2.0,78268.0,,,184.0,16.0,50.0,441.0,182.0,366.0,0.0,38.0,85.0,48.0,,,83.0,84.0,58.0,53.0
107,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2020,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,63.0,138.0,92.0,24.0,97.0,39.0,,,,,50.0,12.0,,,,,3.0,52469.0,,,319.0,17.0,106.0,814.0,238.0,358.0,,,87.0,103.0,69.0,16.0,81.0,138.0,88.0,66.0
108,BANNER CASA GRANDE MEDICAL CENTER (030016),2020,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,52.0,119.0,100.0,29.0,100.0,29.0,,,,,82.0,17.0,,,,,3.0,47483.0,,,452.0,20.0,162.0,837.0,234.0,370.0,0.0,40.0,78.0,86.0,33.0,12.0,80.0,119.0,84.0,57.0
109,VALLEYWISE HEALTH MEDICAL CENTER (030022),2020,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,63.0,123.0,100.0,71.0,96.0,73.0,,,,,,,,,,,0.0,56050.0,,,193.0,15.0,81.0,1097.0,174.0,388.0,6.0,35.0,98.0,85.0,70.0,20.0,78.0,123.0,85.0,75.0
110,FLAGSTAFF MEDICAL CENTER (030023),2020,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,38.0,56.0,,,92.0,12.0,100.0,17.0,,,,,,,,,1.0,48761.0,,,95.0,44.0,149.0,615.0,162.0,361.0,0.0,36.0,70.0,33.0,,,64.0,56.0,88.0,24.0
111,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2020,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,66.0,163.0,89.0,70.0,96.0,71.0,100.0,26.0,,,58.0,12.0,94.0,7452.0,,,0.0,120141.0,,,290.0,17.0,206.0,529.0,172.0,377.0,1.0,103.0,92.0,120.0,71.0,17.0,76.0,163.0,96.0,89.0
112,ABRAZO CENTRAL CAMPUS (030030),2020,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,48.0,163.0,99.0,72.0,100.0,67.0,,,,,,,,,,,1.0,57572.0,,,194.0,20.0,189.0,1059.0,159.0,368.0,,,80.0,105.0,75.0,20.0,73.0,163.0,85.0,91.0
113,CHANDLER REGIONAL MEDICAL CENTER (030036),2020,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,59.0,111.0,95.0,21.0,94.0,65.0,,,,,83.0,36.0,,,,,1.0,84670.0,,,273.0,17.0,147.0,802.0,123.0,375.0,3.0,62.0,92.0,76.0,73.0,15.0,73.0,111.0,91.0,57.0
114,ST LUKE'S MEDICAL CENTER (030037),2020,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,73.0,271.0,88.0,133.0,91.0,94.0,,,,,,,87.0,1203.0,,,1.0,47161.0,,,292.0,86.0,99.0,656.0,138.0,643.0,,,97.0,207.0,92.0,48.0,83.0,271.0,90.0,167.0
115,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2020,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,59.0,172.0,90.0,30.0,95.0,59.0,,,,,81.0,16.0,,,,,2.0,53706.0,,,259.0,30.0,97.0,800.0,180.0,369.0,0.0,55.0,81.0,131.0,57.0,21.0,85.0,172.0,79.0,72.0
116,CANYON VISTA MEDICAL CENTER (030043),2020,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,86.0,69.0,,,93.0,243.0,,,,,84.0,25.0,96.0,1275.0,,,3.0,29400.0,,,314.0,68.0,138.0,3368.0,168.0,1060.0,0.0,77.0,97.0,61.0,,,90.0,69.0,96.0,27.0
117,KINGMAN REGIONAL MEDICAL CENTER (030055),2020,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,40.0,359.0,81.0,275.0,92.0,301.0,60.0,20.0,,,88.0,16.0,99.0,2480.0,,,3.0,50441.0,,,,,72.0,980.0,203.0,396.0,2.0,59.0,80.0,184.0,84.0,31.0,71.0,360.0,64.0,190.0
118,BANNER BOSWELL MEDICAL CENTER (030061),2020,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,67.0,103.0,100.0,52.0,100.0,212.0,100.0,56.0,,,65.0,37.0,,,,,1.0,47772.0,,,274.0,15.0,87.0,1009.0,218.0,372.0,,,87.0,82.0,,,87.0,103.0,88.0,64.0
119,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2020,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,54.0,78.0,84.0,45.0,83.0,46.0,96.0,23.0,17.0,12.0,63.0,35.0,,,,,1.0,29879.0,,,956.0,24.0,71.0,572.0,196.0,461.0,2.0,87.0,92.0,51.0,57.0,14.0,86.0,78.0,74.0,58.0
120,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2020,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,45.0,122.0,99.0,72.0,99.0,72.0,94.0,96.0,,,,,,,,,2.0,76151.0,,,557.0,14.0,160.0,663.0,254.0,386.0,0.0,49.0,76.0,79.0,43.0,14.0,74.0,122.0,79.0,53.0
121,BANNER DESERT MEDICAL CENTER (030065),2020,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,34.0,139.0,100.0,23.0,100.0,94.0,100.0,23.0,,,,,,,,,3.0,138432.0,,,405.0,25.0,162.0,764.0,215.0,375.0,0.0,71.0,73.0,70.0,,,65.0,139.0,66.0,59.0
122,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2020,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,58.0,40.0,84.0,128.0,26.0,19.0,,,,,93.0,14.0,,,,,0.0,18420.0,,,138.0,18.0,74.0,193.0,110.0,432.0,5.0,85.0,86.0,28.0,,,85.0,40.0,79.0,28.0
123,HAVASU REGIONAL MEDICAL CENTER (030069),2020,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,80.0,91.0,97.0,105.0,99.0,108.0,98.0,49.0,,,63.0,27.0,92.0,1089.0,,,2.0,29790.0,,,266.0,16.0,87.0,880.0,189.0,426.0,3.0,33.0,99.0,75.0,,,84.0,91.0,98.0,63.0
124,FORT DEFIANCE INDIAN HOSPITAL (030071),2020,Acute Care,Government - Federal,54.0,,,AZ,50.0,52.0,,,,,,,,,,,95.0,1158.0,,,,,,,,,56.0,527.0,,,0.0,50.0,72.0,36.0,,,90.0,52.0,69.0,36.0
125,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2020,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,41.0,88.0,,,,,,,,,,,,,,,,,,,,,48.0,364.0,,,0.0,16.0,97.0,38.0,,,74.0,88.0,43.0,47.0
126,SAN CARLOS APACHE HEALTHCARE CORP (030077),2020,Acute Care,Government - Federal,9.0,,,AZ,,,,,,,,,,,,,,,,,,,,,,,256.0,299.0,,,,,,,,,,,,
127,PHOENIX INDIAN MEDICAL CENTER (030078),2020,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,64.0,33.0,,,,,,,,,,,97.0,1487.0,,,,,,,,,125.0,227.0,,,0.0,62.0,100.0,22.0,,,88.0,33.0,74.0,27.0
128,ABRAZO SCOTTSDALE CAMPUS (030083),2020,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,60.0,112.0,86.0,44.0,,,,,,,79.0,19.0,,,,,1.0,31380.0,,,184.0,14.0,188.0,842.0,159.0,383.0,,,86.0,83.0,67.0,12.0,79.0,112.0,90.0,51.0
129,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2020,Acute Care,Government - Federal,60.0,,,AZ,21.0,48.0,,,,,,,,,,,90.0,1269.0,,,,,,,,,77.0,486.0,,,6.0,141.0,79.0,14.0,,,58.0,48.0,38.0,21.0
130,NORTHWEST MEDICAL CENTER (030085),2020,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,77.0,210.0,100.0,60.0,100.0,55.0,,,,,81.0,26.0,75.0,2714.0,,,0.0,49739.0,,,459.0,11.0,139.0,704.0,152.0,399.0,2.0,61.0,100.0,162.0,92.0,12.0,82.0,210.0,93.0,147.0
131,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2020,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,64.0,149.0,94.0,31.0,89.0,72.0,,,,,81.0,32.0,,,,,1.0,47589.0,,,238.0,14.0,75.0,430.0,179.0,375.0,3.0,426.0,91.0,109.0,62.0,13.0,79.0,149.0,89.0,76.0
132,BANNER BAYWOOD MEDICAL CENTER (030088),2020,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,42.0,145.0,100.0,33.0,100.0,186.0,,,,,72.0,50.0,,,,,3.0,58326.0,62.0,61.0,487.0,17.0,77.0,947.0,242.0,354.0,,,70.0,96.0,54.0,13.0,78.0,145.0,76.0,71.0
133,BANNER THUNDERBIRD MEDICAL CENTER (030089),2020,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,42.0,118.0,98.0,111.0,99.0,170.0,100.0,29.0,,,74.0,31.0,,,,,5.0,104105.0,,,601.0,30.0,100.0,620.0,230.0,374.0,1.0,128.0,69.0,74.0,,,77.0,118.0,73.0,62.0
134,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2020,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,60.0,139.0,100.0,38.0,96.0,84.0,,,,,79.0,29.0,,,,,4.0,83669.0,,,318.0,13.0,108.0,941.0,175.0,371.0,,,89.0,94.0,80.0,15.0,75.0,139.0,85.0,66.0
135,BANNER DEL E. WEBB MEDICAL CENTER (030093),2020,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,58.0,122.0,100.0,91.0,99.0,510.0,,,,,86.0,51.0,,,,,2.0,62274.0,,,750.0,19.0,87.0,810.0,210.0,377.0,0.0,55.0,84.0,88.0,64.0,11.0,79.0,122.0,89.0,74.0
136,ARROWHEAD HOSPITAL (030094),2020,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,61.0,120.0,100.0,72.0,99.0,72.0,,,,,96.0,28.0,,,,,0.0,41916.0,,,154.0,24.0,149.0,739.0,138.0,748.0,1.0,85.0,87.0,87.0,80.0,15.0,82.0,121.0,84.0,67.0
137,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2020,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,71.0,314.0,94.0,63.0,94.0,63.0,,,,,79.0,24.0,63.0,645.0,,,2.0,31239.0,,,360.0,27.0,199.0,935.0,158.0,362.0,2.0,61.0,90.0,266.0,43.0,35.0,86.0,314.0,98.0,179.0
138,MAYO CLINIC HOSPITAL (030103),2020,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,43.0,166.0,59.0,69.0,98.0,253.0,96.0,56.0,,,,,87.0,7253.0,,,1.0,37468.0,,,271.0,13.0,113.0,673.0,191.0,358.0,,,70.0,111.0,52.0,23.0,76.0,166.0,80.0,75.0
139,ARIZONA SPINE AND JOINT HOSPITAL (030107),2020,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,,,,,,,,99.0,269.0,,,,,,,,,,,,,,,,,,,,,,
140,ABRAZO WEST CAMPUS (030110),2020,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,45.0,130.0,99.0,71.0,100.0,71.0,,,,,90.0,21.0,,,,,1.0,50799.0,,,143.0,17.0,263.0,765.0,152.0,381.0,0.0,55.0,87.0,69.0,,,60.0,130.0,82.0,50.0
