,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
63,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS (010118),2019,Acute Care,Proprietary,140.0,32.430248,-87.055174,AL,65.0,72.0,70.0,110.0,100.0,61.0,,,,,64.0,14.0,86.0,886.0,,,100.0,588.0,,,9.0,30092.0,5.0,35.0,,,,,89.0,939.0,152.0,388.0,276.0,939.0,0.0,52.0
64,MONROE COUNTY HOSPITAL (010120),2019,Acute Care,Government - Local,56.0,31.497839,-87.319411,AL,77.0,75.0,88.0,147.0,100.0,53.0,,,,,80.0,15.0,82.0,325.0,,,100.0,331.0,,,3.0,16558.0,7.0,133.0,,,,,45.0,395.0,129.0,512.0,234.0,396.0,0.0,30.0
65,LAKELAND COMMUNITY HOSPITAL (010125),2019,Acute Care,Voluntary non-profit - Church,58.0,34.241718,-87.589857,AL,92.0,12.0,,,,,,,,,,,89.0,259.0,,,99.0,298.0,,,1.0,10291.0,0.0,75.0,,,,,37.0,211.0,52.0,383.0,130.0,212.0,,
66,TROY REGIONAL MEDICAL CENTER (010126),2019,Acute Care,Government - Federal,89.0,31.780322,-85.945529,AL,49.0,67.0,94.0,47.0,97.0,65.0,,,,,91.0,11.0,96.0,405.0,,,100.0,279.0,,,3.0,18075.0,4.0,89.0,,,152.0,12.0,85.0,384.0,102.0,387.0,228.0,404.0,,
67,JACKSON MEDICAL CENTER (010128),2019,Acute Care,Proprietary,35.0,31.530482,-87.89318,AL,,,,,,,,,,,29.0,14.0,,,,,98.0,266.0,,,4.0,7222.0,10.0,54.0,,,,,55.0,244.0,118.0,251.0,203.0,325.0,,
68,NORTH BALDWIN INFIRMARY (010129),2019,Acute Care,Voluntary non-profit - Private,64.0,30.902492,-87.783318,AL,77.0,77.0,70.0,54.0,93.0,57.0,,,,,,,93.0,671.0,,,99.0,242.0,,,2.0,15003.0,11.0,60.0,,,,,132.0,338.0,169.0,384.0,321.0,339.0,0.0,28.0
69,ST VINCENT'S ST CLAIR (010130),2019,Acute Care,Voluntary non-profit - Private,40.0,33.605568,-86.30238,AL,57.0,46.0,92.0,74.0,40.0,63.0,,,,,,,91.0,349.0,,,86.0,272.0,,,2.0,12040.0,,,,,,,58.0,346.0,111.0,362.0,218.0,345.0,,
70,CRESTWOOD MEDICAL CENTER (010131),2019,Acute Care,Proprietary,163.0,,,AL,60.0,392.0,100.0,120.0,100.0,85.0,,,,,,,72.0,1760.0,0.0,18.0,99.0,575.0,,,2.0,45681.0,6.0,14.0,,,224.0,20.0,108.0,642.0,181.0,399.0,317.0,643.0,0.0,53.0
71,HILL HOSPITAL OF SUMTER COUNTY (010138),2019,Acute Care,Voluntary non-profit - Other,33.0,32.491825,-88.296081,AL,,,,,,,,,,,,,,,,,25.0,106.0,,,4.0,2771.0,,,,,,,125.0,32.0,128.0,240.0,280.0,33.0,,
72,BROOKWOOD BAPTIST MEDICAL CENTER (010139),2019,Acute Care,Proprietary,601.0,33.46291,-86.77685,AL,67.0,280.0,95.0,92.0,97.0,99.0,100.0,44.0,,,,,91.0,4304.0,0.0,29.0,97.0,530.0,,,0.0,46867.0,,,,,183.0,16.0,96.0,637.0,132.0,424.0,246.0,638.0,0.0,107.0
73,SPRINGHILL MEMORIAL HOSPITAL (010144),2019,Acute Care,Proprietary,198.0,30.685946,-88.131719,AL,58.0,283.0,100.0,18.0,100.0,100.0,,,,,68.0,25.0,96.0,2219.0,17.0,23.0,89.0,735.0,,,3.0,57938.0,,,,,160.0,17.0,193.0,825.0,136.0,880.0,336.0,825.0,0.0,136.0
74,EVERGREEN MEDICAL CENTER (010148),2019,Acute Care,Proprietary,44.0,31.43126,-86.94205,AL,24.0,33.0,,,,,,,,,,,39.0,170.0,,,100.0,280.0,,,5.0,3539.0,30.0,25.0,,,193.0,11.0,65.0,285.0,158.0,300.0,236.0,289.0,,
75,BAPTIST MEDICAL CENTER EAST (010149),2019,Acute Care,Government - Hospital District or Authority,171.0,32.376821,-86.172095,AL,45.0,78.0,100.0,100.0,100.0,96.0,,,,,58.0,24.0,69.0,2287.0,8.0,12.0,93.0,419.0,,,1.0,54941.0,12.0,108.0,50.0,13.0,,,146.0,468.0,167.0,387.0,340.0,468.0,1.0,367.0
76,L V STABLER MEMORIAL HOSPITAL (010150),2019,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,73.0,22.0,100.0,39.0,100.0,124.0,,,,,,,62.0,258.0,,,100.0,301.0,,,2.0,10664.0,7.0,40.0,,,226.0,16.0,55.0,489.0,126.0,399.0,250.0,492.0,,
77,SHOALS HOSPITAL (010157),2019,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,48.0,46.0,65.0,63.0,72.0,214.0,,,,,,,90.0,534.0,,,99.0,269.0,,,1.0,13542.0,12.0,30.0,,,90.0,12.0,139.0,368.0,92.0,417.0,208.0,376.0,,
78,RUSSELLVILLE HOSPITAL (010158),2019,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,84.0,43.0,100.0,56.0,100.0,24.0,,,,,,,93.0,357.0,,,100.0,293.0,,,2.0,12737.0,3.0,92.0,,,,,72.0,370.0,109.0,379.0,228.0,370.0,,
79,COOSA VALLEY MEDICAL CENTER (010164),2019,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,44.0,90.0,97.0,95.0,90.0,162.0,,,,,88.0,16.0,76.0,1003.0,,,99.0,290.0,,,2.0,27679.0,5.0,96.0,,,286.0,14.0,81.0,363.0,129.0,353.0,299.0,363.0,0.0,50.0
80,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2019,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,,,0.0,100.0,100.0,18.0,,,,,23.0,13.0,92.0,738.0,,,94.0,331.0,,,2.0,14294.0,44.0,27.0,,,,,74.0,94.0,99.0,410.0,250.0,94.0,,
81,ATMORE COMMUNITY HOSPITAL (010169),2019,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,58.0,53.0,69.0,35.0,100.0,63.0,,,,,,,88.0,476.0,,,99.0,283.0,,,3.0,13735.0,7.0,64.0,,,141.0,12.0,52.0,469.0,108.0,377.0,184.0,469.0,,
82,ST VINCENT'S CHILTON (010173),2019,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,24.0,38.0,,,48.0,52.0,,,,,0.0,11.0,97.0,300.0,,,92.0,276.0,,,2.0,19572.0,5.0,31.0,,,,,56.0,501.0,131.0,346.0,257.0,509.0,,
83,WASHINGTON COUNTY HOSPITAL (011300),2019,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,,,,,,,,,,,94.0,112.0,,,90.0,48.0,,,0.0,3578.0,4.0,54.0,,,,,50.0,46.0,102.0,340.0,187.0,56.0,,
84,RED BAY HOSPITAL (011302),2019,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,,,,,,,,,93.0,147.0,,,67.0,109.0,,,,,9.0,72.0,,,192.0,13.0,44.0,143.0,114.0,376.0,218.0,143.0,,
85,CHOCTAW GENERAL HOSPITAL (011304),2019,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,,,,,,,,,71.0,78.0,,,55.0,11.0,,,0.0,7274.0,6.0,78.0,,,,,72.0,20.0,98.0,261.0,212.0,20.0,,
86,ST VINCENTS BLOUNT (011305),2019,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,33.0,42.0,60.0,55.0,,,,,,,94.0,301.0,,,95.0,228.0,,,3.0,15602.0,1.0,32.0,,,,,55.0,511.0,133.0,355.0,232.0,514.0,,
87,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL (013301),2019,Childrens,Government - State,261.0,30.696082,-88.076883,AL,,,,,,,,,,,,,100.0,2441.0,,,,,,,,,,,,,,,,,,,,,,
88,PROVIDENCE ALASKA MEDICAL CENTER (020001),2019,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,32.0,123.0,88.0,69.0,76.0,70.0,65.0,34.0,,,64.0,11.0,59.0,5321.0,5.0,42.0,84.0,506.0,,,3.0,66128.0,,,,,173.0,36.0,362.0,541.0,162.0,404.0,461.0,541.0,3.0,35.0
89,MAT-SU REGIONAL MEDICAL CENTER (020006),2019,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,66.0,402.0,100.0,62.0,98.0,65.0,,,82.0,11.0,,,74.0,1011.0,0.0,13.0,99.0,463.0,,,0.0,31158.0,6.0,40.0,,,184.0,26.0,119.0,633.0,134.0,400.0,276.0,633.0,0.0,33.0
90,BARTLETT REGIONAL HOSPITAL (020008),2019,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,44.0,97.0,84.0,58.0,94.0,189.0,,,,,,,96.0,771.0,,,94.0,256.0,,,1.0,16046.0,7.0,57.0,,,121.0,53.0,82.0,355.0,148.0,406.0,299.0,359.0,0.0,28.0
91,FAIRBANKS MEMORIAL HOSPITAL (020012),2019,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,16.0,91.0,85.0,72.0,99.0,67.0,12.0,17.0,,,33.0,15.0,98.0,1906.0,,,94.0,366.0,,,1.0,36994.0,,,,,84.0,51.0,146.0,393.0,140.0,352.0,304.0,396.0,4.0,45.0
92,ALASKA REGIONAL HOSPITAL (020017),2019,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,51.0,108.0,91.0,96.0,83.0,105.0,,,,,,,71.0,1661.0,,,100.0,674.0,,,0.0,36453.0,,,,,242.0,36.0,86.0,655.0,108.0,450.0,222.0,655.0,2.0,58.0
93,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2019,Acute Care,Tribal,34.0,,,AK,34.0,38.0,,,,,,,,,,,49.0,1666.0,,,46.0,245.0,,,,,,,,,,,78.0,219.0,,,287.0,269.0,0.0,80.0
94,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2019,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,64.0,119.0,75.0,51.0,94.0,125.0,,,,,56.0,16.0,48.0,1130.0,,,95.0,278.0,,,2.0,17238.0,8.0,63.0,,,152.0,22.0,133.0,355.0,156.0,423.0,357.0,359.0,2.0,47.0
95,ALASKA NATIVE MEDICAL CENTER (020026),2019,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,61.0,189.0,81.0,64.0,95.0,65.0,,,,,,,86.0,3816.0,,,88.0,547.0,,,4.0,56678.0,,,,,174.0,22.0,196.0,539.0,104.0,417.0,414.0,539.0,0.0,13.0
96,SITKA COMMUNITY HOSPITAL (021303),2019,Critical Access,Government - Local,26.0,,,AK,,,,,,,,,,,,,66.0,258.0,,,61.0,84.0,,,,,,,,,,,,,,,,,,
97,SEARHC WRANGELL MEDICAL CENTER-CAH (021305),2019,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,,,,,,,,,,,87.0,93.0,,,84.0,25.0,,,1.0,880.0,,,,,129.0,13.0,15.0,33.0,105.0,277.0,131.0,39.0,,
98,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2019,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,,,,,,,,,74.0,320.0,,,,,,,,,,,,,,,,,,,,,,
99,KETCHIKAN MEDICAL CENTER (021311),2019,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,45.0,51.0,72.0,61.0,95.0,65.0,,,,,,,80.0,665.0,,,97.0,271.0,,,1.0,9170.0,7.0,30.0,,,170.0,42.0,134.0,358.0,136.0,577.0,292.0,358.0,9.0,23.0
100,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2019,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,,,,,,,,,,,89.0,362.0,,,,,,,,,,,,,,,,,,,,,,
101,SOUTH PENINSULA HOSPITAL (021313),2019,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,35.0,17.0,,,,,,,,,,,69.0,492.0,,,,,,,1.0,5078.0,10.0,22.0,,,260.0,12.0,,,162.0,305.0,,,,
102,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2019,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,36.0,101.0,100.0,174.0,99.0,148.0,100.0,14.0,,,,,97.0,5869.0,0.0,39.0,98.0,493.0,,,4.0,63466.0,,,,,288.0,14.0,105.0,350.0,252.0,377.0,350.0,356.0,0.0,102.0
103,TUCSON MEDICAL CENTER (030006),2019,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,25.0,133.0,93.0,56.0,68.0,37.0,,,,,,,93.0,6436.0,0.0,22.0,86.0,512.0,,,2.0,101911.0,,,,,414.0,41.0,122.0,388.0,202.0,1045.0,394.0,389.0,3.0,415.0
104,VERDE VALLEY MEDICAL CENTER (030007),2019,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,43.0,97.0,89.0,125.0,99.0,327.0,,,,,52.0,27.0,94.0,1657.0,0.0,18.0,99.0,449.0,,,1.0,29609.0,8.0,19.0,,,358.0,14.0,110.0,693.0,153.0,379.0,286.0,702.0,4.0,54.0
105,ST. MARY'S HOSPITAL (030010),2019,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,59.0,145.0,,,,,,,,,,,98.0,2347.0,0.0,22.0,97.0,634.0,,,2.0,12208.0,,,,,349.0,27.0,109.0,1016.0,227.0,371.0,340.0,1035.0,,
106,ST JOSEPH'S HOSPITAL (030011),2019,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,39.0,155.0,95.0,20.0,,,,,,,,,96.0,2679.0,0.0,26.0,95.0,551.0,,,3.0,10704.0,,,,,418.0,27.0,153.0,630.0,263.0,365.0,390.0,630.0,1.0,363.0
107,YAVAPAI REGIONAL MEDICAL CENTER (030012),2019,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,42.0,177.0,96.0,96.0,100.0,96.0,,,,,69.0,32.0,52.0,2754.0,7.0,30.0,93.0,597.0,,,3.0,71979.0,9.0,234.0,50.0,25.0,444.0,21.0,137.0,865.0,165.0,405.0,254.0,867.0,1.0,95.0
108,YUMA REGIONAL MEDICAL CENTER (030013),2019,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,28.0,127.0,97.0,38.0,100.0,63.0,,,,,81.0,42.0,95.0,3740.0,4.0,28.0,95.0,490.0,,,3.0,76775.0,,,,,243.0,19.0,76.0,461.0,238.0,336.0,323.0,462.0,0.0,38.0
109,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2019,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,56.0,160.0,57.0,53.0,100.0,72.0,,,,,62.0,21.0,79.0,3538.0,2.0,45.0,96.0,598.0,,,3.0,54926.0,,,,,,,90.0,773.0,200.0,344.0,278.0,774.0,,
110,BANNER CASA GRANDE MEDICAL CENTER (030016),2019,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,37.0,123.0,100.0,26.0,100.0,24.0,,,,,86.0,21.0,96.0,1058.0,,,95.0,513.0,,,1.0,47887.0,4.0,44.0,,,455.0,17.0,119.0,797.0,178.0,378.0,322.0,797.0,0.0,47.0
111,MARICOPA MEDICAL CENTER (030022),2019,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,56.0,97.0,99.0,72.0,100.0,70.0,,,,,,,98.0,4440.0,0.0,25.0,100.0,499.0,,,2.0,47092.0,,,,,,,67.0,849.0,176.0,379.0,262.0,859.0,5.0,20.0
112,FLAGSTAFF MEDICAL CENTER (030023),2019,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,48.0,65.0,,,93.0,14.0,97.0,37.0,,,,,97.0,3663.0,0.0,17.0,98.0,537.0,,,1.0,50151.0,,,,,190.0,84.0,148.0,504.0,170.0,696.0,309.0,505.0,3.0,37.0
113,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2019,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,51.0,185.0,60.0,70.0,91.0,67.0,90.0,21.0,,,47.0,17.0,93.0,9877.0,0.0,98.0,93.0,523.0,,,0.0,123033.0,8.0,59.0,,,318.0,16.0,220.0,521.0,166.0,385.0,424.0,522.0,3.0,99.0
114,ABRAZO CENTRAL CAMPUS (030030),2019,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,42.0,170.0,98.0,56.0,100.0,41.0,,,,,,,86.0,1211.0,,,99.0,535.0,,,1.0,55434.0,,,,,170.0,21.0,233.0,788.0,135.0,368.0,362.0,788.0,0.0,76.0
115,CHANDLER REGIONAL MEDICAL CENTER (030036),2019,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,52.0,108.0,86.0,21.0,92.0,49.0,,,,,97.0,35.0,98.0,3245.0,0.0,55.0,99.0,553.0,,,1.0,87192.0,8.0,48.0,,,202.0,11.0,203.0,855.0,119.0,385.0,312.0,859.0,2.0,58.0
116,ST LUKE'S MEDICAL CENTER (030037),2019,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,67.0,246.0,92.0,170.0,97.0,135.0,,,,,,,68.0,2746.0,,,79.0,674.0,,,2.0,49604.0,7.0,64.0,,,277.0,82.0,114.0,664.0,155.0,735.0,312.0,666.0,4.0,28.0
117,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2019,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,64.0,157.0,97.0,72.0,97.0,62.0,,,,,81.0,16.0,83.0,5747.0,0.0,26.0,81.0,574.0,,,1.0,56333.0,,,,,202.0,20.0,85.0,795.0,171.0,357.0,222.0,795.0,0.0,38.0
118,CANYON VISTA MEDICAL CENTER (030043),2019,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,79.0,71.0,,,100.0,120.0,,,,,44.0,18.0,95.0,1176.0,0.0,12.0,96.0,2022.0,,,4.0,31110.0,10.0,58.0,,,444.0,85.0,132.0,3059.0,194.0,1032.0,375.0,3059.0,0.0,124.0
119,KINGMAN REGIONAL MEDICAL CENTER (030055),2019,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,35.0,172.0,74.0,250.0,94.0,230.0,61.0,18.0,,,79.0,14.0,98.0,2277.0,14.0,21.0,91.0,559.0,,,2.0,54650.0,,,,,130.0,13.0,76.0,985.0,164.0,400.0,311.0,989.0,0.0,45.0
120,BANNER BOSWELL MEDICAL CENTER (030061),2019,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,51.0,100.0,99.0,98.0,100.0,291.0,100.0,32.0,,,71.0,41.0,97.0,2865.0,6.0,18.0,99.0,606.0,,,1.0,49077.0,,,,,228.0,16.0,80.0,1013.0,197.0,376.0,270.0,1017.0,,
121,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2019,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,64.0,81.0,90.0,437.0,89.0,344.0,67.0,12.0,80.0,15.0,95.0,19.0,66.0,1547.0,,,88.0,442.0,90.0,20.0,2.0,32788.0,4.0,73.0,,,396.0,21.0,64.0,585.0,184.0,542.0,287.0,585.0,2.0,89.0
122,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2019,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,34.0,118.0,100.0,90.0,100.0,115.0,95.0,73.0,,,,,97.0,4321.0,2.0,45.0,83.0,534.0,,,1.0,82880.0,,,,,493.0,18.0,142.0,633.0,230.0,382.0,440.0,642.0,0.0,38.0
123,BANNER DESERT MEDICAL CENTER (030065),2019,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,23.0,146.0,100.0,25.0,100.0,82.0,96.0,26.0,,,92.0,13.0,97.0,5033.0,0.0,30.0,97.0,516.0,,,3.0,144207.0,,,,,255.0,19.0,142.0,752.0,205.0,379.0,333.0,759.0,0.0,88.0
124,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2019,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,57.0,37.0,73.0,143.0,42.0,43.0,,,,,,,78.0,827.0,,,83.0,195.0,,,0.0,18681.0,10.0,180.0,71.0,11.0,185.0,12.0,71.0,209.0,108.0,462.0,232.0,210.0,6.0,67.0
125,HAVASU REGIONAL MEDICAL CENTER (030069),2019,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,58.0,92.0,83.0,105.0,100.0,106.0,90.0,40.0,,,92.0,26.0,95.0,1212.0,,,99.0,617.0,,,2.0,30460.0,,,,,189.0,19.0,75.0,859.0,144.0,414.0,245.0,860.0,0.0,36.0
126,FORT DEFIANCE INDIAN HOSPITAL (030071),2019,Acute Care,Government - Federal,54.0,,,AZ,35.0,31.0,,,,,,,,,,,73.0,1001.0,,,38.0,359.0,,,,,,,,,,,56.0,590.0,,,282.0,618.0,2.0,59.0
127,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2019,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,28.0,103.0,,,,,,,,,,,97.0,1250.0,,,40.0,234.0,,,,,,,,,,,86.0,264.0,,,286.0,268.0,0.0,25.0
128,SAN CARLOS APACHE HEALTHCARE (030077),2019,Acute Care,Government - Federal,9.0,,,AZ,,,,,,,,,,,,,84.0,708.0,,,23.0,175.0,,,,,,,,,,,102.0,338.0,,,265.0,340.0,,
129,PHOENIX INDIAN MEDICAL CENTER (030078),2019,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,32.0,41.0,,,,,,,,,,,97.0,1475.0,,,93.0,297.0,,,,,,,,,,,161.0,311.0,,,352.0,323.0,0.0,88.0
130,ABRAZO SCOTTSDALE CAMPUS (030083),2019,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,42.0,137.0,100.0,46.0,100.0,11.0,,,,,88.0,16.0,80.0,900.0,,,97.0,545.0,,,1.0,32745.0,4.0,16.0,,,162.0,14.0,210.0,811.0,135.0,383.0,306.0,811.0,0.0,37.0
131,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2019,Acute Care,Government - Federal,60.0,,,AZ,20.0,49.0,,,,,,,,,,,98.0,1160.0,,,50.0,312.0,,,,,,,,,,,81.0,477.0,,,312.0,510.0,9.0,129.0
132,NORTHWEST MEDICAL CENTER (030085),2019,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,72.0,326.0,100.0,63.0,100.0,63.0,,,,,64.0,28.0,73.0,2827.0,0.0,23.0,97.0,560.0,,,1.0,51117.0,4.0,91.0,,,374.0,23.0,108.0,599.0,156.0,390.0,281.0,599.0,1.0,68.0
133,SCOTTSDALE SHEA MEDICAL CENTER (030087),2019,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,63.0,144.0,97.0,72.0,94.0,70.0,,,,,38.0,16.0,75.0,4709.0,4.0,26.0,74.0,488.0,,,1.0,47506.0,,,,,192.0,11.0,72.0,409.0,172.0,354.0,214.0,410.0,4.0,136.0
134,BANNER BAYWOOD MEDICAL CENTER (030088),2019,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,40.0,129.0,94.0,35.0,98.0,194.0,,,,,90.0,29.0,96.0,2643.0,0.0,22.0,98.0,590.0,,,3.0,60432.0,6.0,739.0,51.0,87.0,258.0,19.0,80.0,985.0,238.0,358.0,314.0,987.0,,
135,BANNER THUNDERBIRD MEDICAL CENTER (030089),2019,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,41.0,120.0,99.0,110.0,99.0,169.0,95.0,20.0,,,57.0,30.0,96.0,4399.0,0.0,26.0,97.0,477.0,,,3.0,107466.0,,,,,408.0,21.0,129.0,638.0,235.0,377.0,360.0,643.0,0.0,144.0
136,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2019,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,64.0,156.0,100.0,409.0,96.0,297.0,,,,,71.0,17.0,86.0,4144.0,0.0,28.0,82.0,613.0,,,2.0,87745.0,10.0,152.0,,,,,106.0,834.0,149.0,353.0,316.0,841.0,,
137,BANNER DEL E. WEBB MEDICAL CENTER (030093),2019,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,41.0,98.0,99.0,132.0,99.0,510.0,,,,,84.0,38.0,95.0,2825.0,0.0,19.0,98.0,529.0,,,3.0,62571.0,4.0,20.0,,,335.0,22.0,89.0,791.0,204.0,375.0,305.0,793.0,3.0,35.0
