,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
92,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2020,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,,0.0,0.68,1385.0,0.388,2.0,5.149,10914.0,,1056.0,0.0,0.612,,0.0,0.329,11631.0,,14.0,1.0,0.116,31.0,1.0,0.794,
93,ALASKA NATIVE MEDICAL CENTER (020026),2020,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.376,4.0,2.908,2947.0,0.986,28.0,28.391,49180.0,0.664,3437.0,2.0,3.011,0.998,4.0,4.008,55721.0,,63.0,1.0,0.641,141.0,5.0,4.109,1.217
94,673rd Medical Group (Joint Base Elmendorf-Richardson) (02013F),2020,Acute Care (DOD),Department of Defense,,,,,,0.0,0.43,837.0,,,,,,680.0,0.0,0.479,,,,,,,,,,,,
95,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2020,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,,,,0.0,0.352,1598.0,,,,,,,,,,,,,,,,
96,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2020,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,0.0,0.62,254.0,0.0,0.0,1.248,3704.0,,138.0,0.0,0.038,,0.0,0.094,4533.0,,11.0,0.0,0.093,9.0,0.0,0.233,
97,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2020,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,0.0,0.015,23.0,,,,,,,,,,,,,,,,,,,,
98,SOUTH PENINSULA HOSPITAL (021313),2020,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.057,
99,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2020,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,0.156,6.0,38.379,22265.0,0.546,70.0,128.258,198792.0,0.591,25360.0,17.0,28.773,0.726,15.0,20.647,205938.0,1.402,484.0,6.0,4.28,492.0,16.0,13.184,1.214
100,TUCSON MEDICAL CENTER (030006),2020,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,0.776,11.0,14.171,11431.0,0.609,54.0,88.659,146405.0,0.704,14792.0,11.0,15.623,1.01,12.0,11.876,169616.0,0.696,532.0,3.0,4.311,297.0,3.0,7.647,0.392
101,VERDE VALLEY MEDICAL CENTER (030007),2020,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.0,0.0,1.714,1880.0,0.574,9.0,15.672,17603.0,,1010.0,1.0,0.876,,1.0,0.842,18296.0,,1.0,0.0,0.007,67.0,1.0,1.626,0.615
102,ST. MARY'S HOSPITAL (030010),2020,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,0.943,3.0,3.18,3640.0,0.205,4.0,19.482,44260.0,0.0,3921.0,0.0,2.822,0.468,1.0,2.139,44260.0,,53.0,1.0,0.45,88.0,1.0,2.264,0.442
103,ST JOSEPH'S HOSPITAL (030011),2020,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.315,4.0,12.702,8019.0,0.253,7.0,27.695,55560.0,0.221,4326.0,1.0,4.522,0.529,2.0,3.784,61825.0,0.394,352.0,1.0,2.539,248.0,5.0,5.931,0.843
104,YAVAPAI REGIONAL MEDICAL CENTER (030012),2020,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,0.683,3.0,4.391,6698.0,0.749,21.0,28.023,43495.0,0.0,5810.0,0.0,3.95,1.35,2.0,1.481,44174.0,,115.0,0.0,0.857,111.0,0.0,2.605,0.0
105,YUMA REGIONAL MEDICAL CENTER (030013),2020,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,0.709,7.0,9.871,10171.0,0.545,33.0,60.57,82502.0,0.622,10582.0,6.0,9.639,0.392,2.0,5.105,90069.0,0.0,116.0,0.0,1.033,187.0,4.0,4.869,0.822
106,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2020,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.419,4.0,9.538,7757.0,0.354,10.0,28.282,62723.0,0.476,10134.0,5.0,10.514,1.079,5.0,4.634,62723.0,,31.0,0.0,0.292,172.0,5.0,4.722,1.059
107,BANNER CASA GRANDE MEDICAL CENTER (030016),2020,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,0.573,2.0,3.49,5025.0,0.353,6.0,16.974,30014.0,0.494,2888.0,1.0,2.023,0.0,0.0,1.607,31449.0,,90.0,0.0,0.778,102.0,0.0,2.602,0.0
108,VALLEYWISE HEALTH MEDICAL CENTER (030022),2020,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,0.691,12.0,17.367,8233.0,0.676,24.0,35.498,63867.0,1.245,7734.0,19.0,15.255,1.511,5.0,3.308,66426.0,0.949,122.0,1.0,1.054,90.0,4.0,3.15,1.27
109,FLAGSTAFF MEDICAL CENTER (030023),2020,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.317,2.0,6.317,7178.0,0.703,30.0,42.701,55202.0,0.582,8470.0,4.0,6.869,0.449,1.0,2.225,60304.0,,41.0,2.0,0.306,122.0,3.0,3.426,0.876
110,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2020,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,0.572,20.0,34.971,19084.0,0.611,74.0,121.155,134357.0,0.596,23211.0,16.0,26.85,0.512,8.0,15.629,158844.0,0.422,234.0,1.0,2.37,459.0,9.0,14.489,0.621
111,ABRAZO CENTRAL CAMPUS (030030),2020,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.381,2.0,5.248,5425.0,0.532,8.0,15.031,31650.0,0.62,5697.0,3.0,4.835,0.54,1.0,1.851,31650.0,,55.0,0.0,0.529,97.0,0.0,2.614,0.0
112,CHANDLER REGIONAL MEDICAL CENTER (030036),2020,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,0.691,8.0,11.57,11445.0,0.773,62.0,80.227,99025.0,0.538,10996.0,5.0,9.299,0.611,4.0,6.545,111224.0,1.089,440.0,4.0,3.672,338.0,9.0,9.103,0.989
113,ST LUKE'S MEDICAL CENTER (030037),2020,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.808,2.0,2.475,3476.0,0.496,5.0,10.09,21174.0,1.315,3133.0,3.0,2.282,,1.0,0.882,21174.0,,1.0,0.0,0.007,23.0,0.0,0.637,
114,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2020,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.653,8.0,12.247,9952.0,0.411,15.0,36.506,79742.0,0.526,7388.0,4.0,7.608,0.907,4.0,4.411,81629.0,,60.0,0.0,0.453,86.0,2.0,2.39,0.837
115,CANYON VISTA MEDICAL CENTER (030043),2020,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,0.0,0.0,1.769,1775.0,0.957,5.0,5.222,15044.0,,685.0,0.0,0.563,,0.0,0.717,16228.0,,25.0,0.0,0.178,43.0,1.0,0.945,
116,KINGMAN REGIONAL MEDICAL CENTER (030055),2020,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,0.369,2.0,5.414,4429.0,0.26,9.0,34.557,35566.0,0.2,5575.0,1.0,4.99,0.0,0.0,2.076,36032.0,,17.0,0.0,0.162,60.0,0.0,1.523,0.0
117,BANNER BOSWELL MEDICAL CENTER (030061),2020,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,0.466,6.0,12.882,14744.0,0.606,30.0,49.474,87070.0,0.253,15029.0,3.0,11.859,0.497,2.0,4.024,87070.0,,62.0,2.0,0.507,231.0,2.0,5.564,0.359
118,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2020,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,0.9,2.0,2.221,2818.0,1.146,15.0,13.084,15094.0,0.0,1439.0,0.0,1.051,,0.0,0.67,16923.0,,49.0,0.0,0.394,59.0,0.0,1.548,0.0
119,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2020,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,0.28,5.0,17.833,12340.0,0.642,59.0,91.863,147998.0,0.293,18803.0,6.0,20.49,0.79,12.0,15.19,151099.0,0.366,334.0,1.0,2.733,238.0,2.0,6.37,0.314
120,BANNER DESERT MEDICAL CENTER (030065),2020,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,0.3,11.0,36.719,20491.0,0.853,107.0,125.503,193682.0,0.173,25876.0,5.0,28.983,0.214,3.0,14.02,200669.0,0.375,317.0,1.0,2.667,556.0,11.0,14.623,0.752
121,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2020,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,1.0,0.329,642.0,,1.0,0.948,2643.0,,312.0,0.0,0.192,,0.0,0.068,3302.0,,,,,18.0,1.0,0.426,
122,HAVASU REGIONAL MEDICAL CENTER (030069),2020,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,0.0,0.0,1.842,2519.0,0.154,2.0,12.965,30595.0,0.0,2125.0,0.0,1.601,0.0,0.0,1.536,30595.0,,1.0,0.0,0.005,36.0,0.0,0.871,
123,FORT DEFIANCE INDIAN HOSPITAL (030071),2020,Acute Care,Government - Federal,54.0,,,AZ,,0.0,0.25,425.0,1.062,4.0,3.767,9198.0,,167.0,0.0,0.118,,0.0,0.243,10005.0,,5.0,0.0,0.031,6.0,0.0,0.142,
124,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2020,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,0.0,0.982,1309.0,1.778,9.0,5.062,16254.0,,1109.0,0.0,0.866,,0.0,0.393,16254.0,,1.0,0.0,0.005,8.0,1.0,0.246,
125,SELLS HOSPITAL (030074),2020,Acute Care,Government - Federal,13.0,,,AZ,,0.0,0.011,20.0,,0.0,0.133,736.0,,15.0,0.0,0.009,,0.0,0.015,736.0,,,,,,,,
126,SAN CARLOS APACHE HEALTHCARE CORP (030077),2020,Acute Care,Government - Federal,9.0,,,AZ,,0.0,0.072,133.0,,0.0,0.413,1627.0,,80.0,0.0,0.046,,0.0,0.054,1627.0,,,,,,,,
127,PHOENIX INDIAN MEDICAL CENTER (030078),2020,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,2.0,0.559,651.0,1.357,3.0,2.21,8656.0,,430.0,0.0,0.347,,0.0,0.185,8656.0,,32.0,2.0,0.289,16.0,1.0,0.504,
128,ABRAZO SCOTTSDALE CAMPUS (030083),2020,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,0.0,0.0,2.76,4020.0,0.414,3.0,7.246,19260.0,0.0,3949.0,0.0,2.745,,0.0,0.755,19260.0,,22.0,0.0,0.188,51.0,0.0,1.288,0.0
129,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2020,Acute Care,Government - Federal,60.0,,,AZ,,0.0,0.237,562.0,,1.0,0.835,5815.0,,114.0,0.0,0.061,,0.0,0.143,5815.0,,1.0,0.0,0.0,2.0,0.0,0.074,
130,NORTHWEST MEDICAL CENTER (030085),2020,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,0.453,3.0,6.616,7583.0,0.392,13.0,33.181,51510.0,0.191,6265.0,1.0,5.233,0.404,1.0,2.477,54405.0,2.301,174.0,3.0,1.304,205.0,1.0,5.082,0.197
131,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2020,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.879,11.0,12.514,10035.0,0.411,20.0,48.646,103375.0,0.723,13363.0,10.0,13.832,0.515,3.0,5.825,121368.0,0.437,954.0,3.0,6.858,319.0,8.0,7.466,1.072
132,BANNER BAYWOOD MEDICAL CENTER (030088),2020,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,0.0,0.0,5.84,6805.0,0.506,29.0,57.326,76805.0,0.4,6104.0,2.0,4.994,0.604,3.0,4.965,76805.0,1.416,264.0,3.0,2.119,216.0,3.0,5.431,0.552
133,BANNER THUNDERBIRD MEDICAL CENTER (030089),2020,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,1.076,11.0,10.222,11796.0,0.537,49.0,91.277,155591.0,0.855,14507.0,11.0,12.872,0.251,3.0,11.941,164590.0,2.091,788.0,13.0,6.218,193.0,9.0,5.017,1.794
134,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2020,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,0.561,4.0,7.127,6894.0,0.293,8.0,27.342,61711.0,0.731,5854.0,4.0,5.47,1.155,4.0,3.463,61711.0,1.741,137.0,2.0,1.149,227.0,7.0,6.162,1.136
135,BANNER DEL E. WEBB MEDICAL CENTER (030093),2020,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,0.308,2.0,6.503,7688.0,0.602,35.0,58.134,98178.0,0.4,6205.0,2.0,5.006,0.756,4.0,5.294,101397.0,0.0,200.0,0.0,1.74,104.0,0.0,2.539,0.0
136,ARROWHEAD HOSPITAL (030094),2020,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,0.273,2.0,7.326,9403.0,0.408,14.0,34.312,59123.0,0.0,7843.0,0.0,5.719,1.574,4.0,2.541,62928.0,,110.0,0.0,0.956,224.0,2.0,5.849,0.342
137,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2020,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,0.826,3.0,3.633,4986.0,0.807,7.0,8.679,20182.0,0.598,2344.0,1.0,1.672,0.0,0.0,1.078,20182.0,,20.0,0.0,0.183,51.0,0.0,1.321,0.0
138,MAYO CLINIC HOSPITAL (030103),2020,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,0.369,7.0,18.963,15695.0,0.658,46.0,69.869,83939.0,0.641,21384.0,14.0,21.836,0.416,3.0,7.217,83985.0,,123.0,0.0,0.852,353.0,14.0,8.55,1.637
139,BANNER HEART HOSPITAL (030105),2020,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,0.0,0.0,2.447,3347.0,0.479,6.0,12.537,24732.0,0.428,3102.0,1.0,2.338,,1.0,0.999,24732.0,,,,,,,,
140,ARIZONA SPINE AND JOINT HOSPITAL (030107),2020,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,0.0,0.233,2084.0,,,,,,0.0,0.023,2084.0,,,,,,,,
141,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2020,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,0.0,0.026,80.0,,0.0,0.467,2683.0,,2.0,0.0,0.001,,0.0,0.031,2683.0,,,,,,,,
142,ABRAZO WEST CAMPUS (030110),2020,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,0.0,0.0,9.774,11542.0,0.135,6.0,44.563,56582.0,0.131,9736.0,1.0,7.659,0.0,0.0,2.812,59868.0,0.0,133.0,0.0,1.14,134.0,0.0,4.123,0.0
143,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2020,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,0.0,0.0,3.098,2554.0,0.362,8.0,22.078,45744.0,0.674,2906.0,2.0,2.969,0.299,1.0,3.339,45744.0,,28.0,0.0,0.211,31.0,0.0,0.736,
144,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2020,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,0.0,0.124,376.0,,0.0,0.236,1578.0,,21.0,0.0,0.012,,0.0,0.018,1578.0,,,,,,,,
145,WHITERIVER PHS INDIAN HOSPITAL (030113),2020,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,0.0,0.035,64.0,,1.0,0.692,3688.0,,74.0,0.0,0.043,,0.0,0.093,3688.0,,,,,,,,
146,ORO VALLEY HOSPITAL (030114),2020,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,,0.0,0.646,1350.0,0.0,0.0,4.061,16711.0,,761.0,0.0,0.553,,0.0,0.269,16711.0,,,,,,,,
147,BANNER ESTRELLA MEDICAL CENTER (030115),2020,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,0.77,3.0,3.896,4620.0,0.306,14.0,45.716,86828.0,0.58,6481.0,3.0,5.168,0.472,2.0,4.241,94413.0,0.981,261.0,2.0,2.038,90.0,3.0,2.363,1.27
148,VALLEY VIEW MEDICAL CENTER (030117),2020,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,,0.0,0.862,1658.0,1.168,2.0,1.713,6534.0,,657.0,0.0,0.411,,0.0,0.153,7022.0,,7.0,0.0,0.058,1.0,0.0,0.027,
149,MERCY GILBERT MEDICAL CENTER (030119),2020,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.767,4.0,5.217,7575.0,0.723,29.0,40.12,53637.0,0.511,8549.0,3.0,5.869,0.39,1.0,2.564,62261.0,0.424,295.0,1.0,2.356,183.0,3.0,4.516,0.664
150,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2020,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,0.545,3.0,5.502,5429.0,0.081,1.0,12.303,24655.0,0.245,4340.0,1.0,4.075,1.2,2.0,1.667,26749.0,,90.0,0.0,0.769,51.0,0.0,1.287,0.0
151,BANNER GATEWAY MEDICAL CENTER (030122),2020,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,1.091,2.0,1.834,2648.0,1.438,48.0,33.386,60958.0,0.781,3931.0,2.0,2.56,0.287,1.0,3.485,68571.0,0.427,353.0,2.0,4.684,139.0,9.0,5.887,1.529
152,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2020,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.265,1.0,3.777,3787.0,0.477,5.0,10.482,32622.0,0.316,3597.0,1.0,3.167,0.621,1.0,1.61,32622.0,1.105,238.0,2.0,1.81,77.0,1.0,1.853,0.54
153,BANNER IRONWOOD MEDICAL CENTER (030130),2020,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,,,0.773,3.0,3.882,14213.0,,,,,,0.0,0.37,16461.0,,93.0,1.0,0.816,38.0,1.0,1.023,0.978
154,O.A.S.I.S. HOSPITAL (030131),2020,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,0.0,0.207,522.0,,0.0,0.808,6895.0,,268.0,0.0,0.185,,0.0,0.093,6895.0,,,,,,,,
155,BANNER GOLDFIELD MEDICAL CENTER (030134),2020,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,,0.0,0.099,201.0,,0.0,0.648,2524.0,,75.0,0.0,0.043,,0.0,0.058,2524.0,,,,,2.0,0.0,0.071,
156,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2020,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,,0.0,0.043,88.0,,0.0,0.66,1701.0,,117.0,0.0,0.068,,0.0,0.031,1701.0,,,,,,,,
157,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2020,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,,0.0,0.157,305.0,,0.0,0.561,2484.0,,148.0,0.0,0.092,,0.0,0.047,2484.0,,,,,,,,
158,WESTERN REGIONAL MEDICAL CENTER (030138),2020,Acute Care,Proprietary,38.0,33.452804,-112.362571,AZ,,,,,,2.0,0.904,1904.0,,,,,,0.0,0.084,1904.0,,,,,,,,
159,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2020,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,,0.0,0.19,368.0,,1.0,0.843,2763.0,,259.0,0.0,0.159,,0.0,0.049,2763.0,,,,,,,,
160,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2020,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,0.0,0.032,49.0,,,,,,23.0,0.0,0.006,,0.0,0.007,337.0,,,,,,,,
161,PAGE HOSPITAL (031304),2020,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,,0.0,0.039,62.0,,1.0,0.299,1355.0,,22.0,0.0,0.006,,0.0,0.034,1611.0,,,,,,,,
162,HOLY CROSS HOSPITAL (031313),2020,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,,,,,,0.0,0.549,2488.0,,,,,,0.0,0.075,3608.0,,,,,,,,
163,LA PAZ REGIONAL HOSPITAL (031317),2020,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,,2.0,0.35,537.0,,1.0,0.659,2981.0,,381.0,0.0,0.104,,0.0,0.061,2981.0,,,,,19.0,0.0,0.496,
164,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2020,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,0.0,0.231,452.0,0.582,1.0,1.717,4211.0,,209.0,0.0,0.129,,0.0,0.089,5033.0,,48.0,0.0,0.409,30.0,1.0,0.832,
165,JOHNSON REGIONAL MEDICAL CENTER (040002),2020,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,0.0,0.693,1019.0,0.647,1.0,1.546,4572.0,,200.0,0.0,0.12,,1.0,0.193,5053.0,,2.0,0.0,0.014,4.0,0.0,0.098,
166,WASHINGTON REGIONAL MEDICAL CENTER (040004),2020,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,1.439,21.0,14.595,12558.0,0.787,37.0,47.01,65690.0,1.349,9687.0,12.0,8.895,1.08,5.0,4.631,74383.0,0.628,641.0,3.0,4.774,229.0,5.0,5.987,0.835
167,CHI-ST VINCENT INFIRMARY (040007),2020,Acute Care,Voluntary non-profit - Private,414.0,,,AR,0.667,11.0,16.48,11959.0,0.48,16.0,33.311,68153.0,0.328,11349.0,4.0,12.195,0.823,4.0,4.861,56630.0,,34.0,0.0,0.276,299.0,3.0,7.715,0.389
168,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2020,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,0.783,5.0,6.386,6600.0,0.411,14.0,34.093,44410.0,1.723,5305.0,8.0,4.644,1.226,3.0,2.446,49358.0,0.521,224.0,1.0,1.918,193.0,3.0,4.964,0.604
169,CHAMBERS MEMORIAL HOSPITAL (040011),2020,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,,0.0,0.497,914.0,,0.0,0.8,4371.0,,130.0,0.0,0.075,,0.0,0.078,4371.0,,,,,,,,
170,WHITE COUNTY MEDICAL CENTER (040014),2020,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,0.0,0.0,3.681,4624.0,0.499,13.0,26.037,43679.0,0.0,3408.0,0.0,2.772,1.599,3.0,1.876,45950.0,0.648,185.0,1.0,1.543,93.0,0.0,2.336,0.0
171,MENA REGIONAL HEALTH SYSTEM (040015),2020,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,0.0,0.527,962.0,0.587,1.0,1.705,5970.0,,63.0,0.0,0.04,,0.0,0.148,6359.0,,11.0,0.0,0.089,3.0,0.0,0.066,
172,UAMS MEDICAL CENTER (040016),2020,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,1.171,32.0,27.338,21727.0,1.167,119.0,102.004,129868.0,0.649,23856.0,17.0,26.204,1.246,18.0,14.45,156396.0,1.656,202.0,3.0,1.812,319.0,13.0,9.338,1.392
173,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2020,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,,0.0,0.369,637.0,0.0,0.0,2.83,8221.0,,403.0,0.0,0.25,,0.0,0.252,9902.0,,4.0,0.0,0.031,37.0,1.0,0.911,
174,BAPTIST HEALTH - VAN BUREN (040018),2020,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,0.0,0.095,191.0,,0.0,0.66,2573.0,,19.0,0.0,0.012,,0.0,0.047,2573.0,,,,,,,,
175,FORREST CITY MEDICAL CENTER (040019),2020,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,0.0,0.337,616.0,0.0,0.0,1.652,5305.0,,179.0,0.0,0.109,,0.0,0.158,6830.0,,64.0,0.0,0.533,7.0,0.0,0.187,
176,ST BERNARDS MEDICAL CENTER (040020),2020,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,0.505,7.0,13.854,10419.0,0.549,31.0,56.506,87932.0,0.356,8001.0,3.0,8.419,0.913,7.0,7.663,91370.0,,76.0,0.0,0.624,163.0,5.0,4.493,1.113
177,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2020,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,0.646,3.0,4.642,5483.0,0.728,18.0,24.723,54606.0,1.254,4289.0,5.0,3.987,0.61,2.0,3.281,62792.0,0.693,333.0,2.0,2.886,123.0,7.0,3.408,2.054
178,ST VINCENT HOT SPRINGS (040026),2020,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,0.547,5.0,9.147,9663.0,0.25,8.0,31.943,58052.0,0.185,6653.0,1.0,5.406,0.353,1.0,2.834,59984.0,,77.0,0.0,0.621,150.0,1.0,3.877,0.258
179,BAXTER REGIONAL MEDICAL CENTER (040027),2020,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,1.917,7.0,3.652,5282.0,0.51,7.0,13.715,33160.0,0.0,3005.0,0.0,2.162,0.0,0.0,1.331,34304.0,,6.0,0.0,0.048,137.0,2.0,3.428,0.583
180,CONWAY REGIONAL HEALTH SYSTEM (040029),2020,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,0.508,2.0,3.94,5533.0,0.606,13.0,21.453,35626.0,1.436,4890.0,5.0,3.482,1.336,2.0,1.497,38672.0,0.344,376.0,1.0,2.909,93.0,1.0,2.422,0.413
181,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2020,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,1.35,8.0,5.924,8564.0,0.289,9.0,31.173,56326.0,0.672,6442.0,3.0,4.464,1.328,5.0,3.765,58528.0,,107.0,1.0,0.901,157.0,7.0,4.307,1.625
182,ARKANSAS METHODIST MEDICAL CENTER (040039),2020,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,0.843,2.0,2.372,3479.0,0.711,5.0,7.032,12624.0,,1132.0,2.0,0.79,,1.0,0.446,13590.0,,56.0,0.0,0.511,25.0,1.0,0.686,
