,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
108,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2016,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,1.002,113.0,112.736,122118.0,0.935,31451.0,32.0,34.222,0.742,11.0,14.817,145803.0,1.922,3.0,1.561,4.0,3.579,1.118
109,ABRAZO CENTRAL CAMPUS (030030),2016,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,1.139,25.0,21.951,39262.0,0.972,4755.0,4.0,4.117,1.192,3.0,2.517,43576.0,,0.0,0.389,1.0,1.609,0.622
110,BANNER PAYSON MEDICAL CENTER (030033),2016,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,1.439,4.0,2.78,4859.0,,399.0,0.0,0.269,,0.0,0.182,4859.0,,0.0,0.016,0.0,0.304,
111,CHANDLER REGIONAL MEDICAL CENTER (030036),2016,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,1.039,74.0,71.203,94298.0,0.735,7536.0,5.0,6.803,1.649,8.0,4.85,107932.0,1.117,3.0,2.686,9.0,6.29,1.431
112,ST LUKE'S MEDICAL CENTER (030037),2016,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.878,14.0,15.945,27816.0,1.262,4503.0,4.0,3.169,1.762,2.0,1.135,30304.0,,0.0,0.03,0.0,1.45,0.0
113,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2016,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.963,72.0,74.756,79869.0,0.517,13060.0,6.0,11.614,0.865,4.0,4.625,82614.0,,0.0,0.298,1.0,3.062,0.327
114,CANYON VISTA MEDICAL CENTER (030043),2016,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,1.443,14.0,9.7,14863.0,,1069.0,0.0,0.913,,0.0,0.741,16737.0,,0.0,0.25,0.0,1.247,0.0
115,KINGMAN REGIONAL MEDICAL CENTER (030055),2016,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,1.031,22.0,21.343,42727.0,2.072,8123.0,14.0,6.756,3.452,6.0,1.738,43026.0,,2.0,0.158,1.0,1.428,0.7
116,BANNER BOSWELL MEDICAL CENTER (030061),2016,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,0.578,47.0,81.283,95432.0,0.473,14388.0,5.0,10.56,0.501,3.0,5.987,95432.0,,2.0,0.762,3.0,8.605,0.349
117,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2016,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,0.233,2.0,8.567,12055.0,0.0,1360.0,0.0,1.121,,0.0,0.572,13894.0,,1.0,0.448,0.0,1.253,0.0
118,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2016,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,1.866,181.0,96.976,122828.0,1.694,22229.0,41.0,24.2,1.18,11.0,9.323,134578.0,1.717,2.0,1.165,21.0,8.747,2.401
119,BANNER DESERT MEDICAL CENTER (030065),2016,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,0.6,78.0,129.95,162700.0,0.758,21815.0,16.0,21.107,0.225,2.0,8.897,171368.0,1.353,5.0,3.696,16.0,12.846,1.246
120,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2016,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,0.5,2.0,3.997,4215.0,,427.0,0.0,0.356,,0.0,0.136,5240.0,,0.0,0.008,0.0,0.169,
121,HAVASU REGIONAL MEDICAL CENTER (030069),2016,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,1.464,27.0,18.447,28868.0,0.0,2235.0,0.0,1.6,0.979,1.0,1.021,28868.0,,0.0,0.023,0.0,1.477,0.0
122,FORT DEFIANCE INDIAN HOSPITAL (030071),2016,Acute Care,Government - Federal,54.0,,,AZ,1.307,3.0,2.296,7561.0,,71.0,0.0,0.052,,0.0,0.142,7561.0,,0.0,0.015,0.0,0.16,
123,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2016,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,0.702,3.0,4.271,11836.0,,781.0,0.0,0.63,,0.0,0.38,11836.0,,0.0,0.088,0.0,0.329,
124,SAN CARLOS APACHE HEALTHCARE (030077),2016,Acute Care,Government - Federal,9.0,,,AZ,,0.0,0.034,208.0,,,,,,0.0,0.004,208.0,,,,,,
125,PHOENIX INDIAN MEDICAL CENTER (030078),2016,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,3.964,7.0,1.766,8322.0,,413.0,0.0,0.326,,0.0,0.179,8322.0,,2.0,0.401,1.0,0.611,
126,ABRAZO SCOTTSDALE CAMPUS (030083),2016,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,1.611,20.0,12.418,20037.0,0.461,3205.0,1.0,2.167,,4.0,0.707,21840.0,,2.0,0.766,0.0,1.081,0.0
127,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2016,Acute Care,Government - Federal,60.0,,,AZ,1.37,4.0,2.92,6611.0,,248.0,0.0,0.168,,0.0,0.138,6611.0,,0.0,0.006,0.0,0.107,
128,NORTHWEST MEDICAL CENTER (030085),2016,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,1.052,49.0,46.581,55725.0,0.935,7822.0,6.0,6.419,1.233,3.0,2.433,57213.0,1.289,2.0,1.551,2.0,4.523,0.442
129,SCOTTSDALE SHEA MEDICAL CENTER (030087),2016,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,1.243,94.0,75.646,88680.0,1.522,14978.0,19.0,12.484,1.261,5.0,3.965,102517.0,0.645,2.0,3.102,6.0,7.816,0.768
130,BANNER BAYWOOD MEDICAL CENTER (030088),2016,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,0.707,58.0,82.037,87007.0,0.54,11548.0,5.0,9.259,0.617,3.0,4.859,88787.0,0.566,1.0,1.766,6.0,6.888,0.871
131,BANNER THUNDERBIRD MEDICAL CENTER (030089),2016,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,0.681,73.0,107.13,145236.0,0.737,16218.0,11.0,14.922,0.66,6.0,9.096,154292.0,1.292,6.0,4.644,10.0,6.808,1.469
132,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2016,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,1.21,56.0,46.277,53586.0,2.676,4174.0,8.0,2.989,1.632,4.0,2.451,53586.0,,1.0,0.938,14.0,4.809,2.911
133,BANNER DEL E. WEBB MEDICAL CENTER (030093),2016,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,0.652,42.0,64.381,80704.0,0.531,9464.0,4.0,7.533,1.291,5.0,3.874,83402.0,0.0,0.0,1.073,2.0,3.299,0.606
134,ABRAZO ARROWHEAD CAMPUS (030094),2016,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,0.966,29.0,30.01,43212.0,1.327,6355.0,6.0,4.52,1.251,3.0,2.398,52475.0,1.232,3.0,2.435,6.0,5.197,1.155
135,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2016,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,0.688,6.0,8.726,16985.0,0.0,3104.0,0.0,2.164,,0.0,0.71,23999.0,,0.0,0.025,3.0,1.127,2.662
136,MAYO CLINIC HOSPITAL (030103),2016,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,0.778,74.0,95.082,79840.0,0.967,17648.0,14.0,14.482,1.159,6.0,5.177,79840.0,0.882,1.0,1.134,10.0,7.72,1.295
137,BANNER HEART HOSPITAL (030105),2016,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,0.537,8.0,14.9,22047.0,0.367,3371.0,1.0,2.723,,7.0,0.837,22047.0,,,,,,
138,ARIZONA SPINE AND JOINT HOSPITAL (030107),2016,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,0.0,0.208,1821.0,,,,,,0.0,0.023,1821.0,,,,,,
139,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2016,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,0.0,0.243,1154.0,,2.0,0.0,0.002,,0.0,0.014,1154.0,,,,,,
140,ABRAZO WEST CAMPUS (030110),2016,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,1.213,37.0,30.511,42490.0,0.411,7107.0,2.0,4.861,0.588,1.0,1.702,46134.0,0.0,0.0,1.275,0.0,2.162,0.0
141,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2016,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,0.975,21.0,21.538,36921.0,0.264,4592.0,1.0,3.787,0.917,2.0,2.181,36921.0,,0.0,0.16,6.0,1.794,3.344
142,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP (030112),2016,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,0.0,0.233,1566.0,,,,,,0.0,0.018,1566.0,,,,,,
143,WHITERIVER PHS INDIAN HOSPITAL (030113),2016,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,0.0,0.64,3510.0,,379.0,0.0,0.246,,0.0,0.082,3510.0,,,,,,
144,ORO VALLEY HOSPITAL (030114),2016,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,1.82,11.0,6.045,17719.0,0.0,1629.0,0.0,1.145,,1.0,0.384,17719.0,,0.0,0.005,1.0,1.486,0.673
145,BANNER ESTRELLA MEDICAL CENTER (030115),2016,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,0.41,20.0,48.73,72883.0,1.112,3180.0,3.0,2.697,0.288,1.0,3.467,80394.0,0.0,0.0,1.222,3.0,2.426,1.237
146,VALLEY VIEW MEDICAL CENTER (030117),2016,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,0.0,0.0,2.895,8088.0,,941.0,0.0,0.624,,0.0,0.268,8638.0,,0.0,0.053,1.0,0.037,
147,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2016,Acute Care,Proprietary,61.0,,,AZ,1.46,4.0,2.739,10214.0,,99.0,0.0,0.064,,1.0,0.203,10214.0,,0.0,0.183,0.0,0.062,
148,MERCY GILBERT MEDICAL CENTER (030119),2016,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.809,31.0,38.306,49504.0,0.174,8538.0,1.0,5.757,1.649,4.0,2.425,58419.0,0.848,1.0,1.179,8.0,3.798,2.106
149,GILBERT HOSPITAL (030120),2016,Acute Care,Proprietary,19.0,,,AZ,,0.0,0.418,2568.0,,243.0,0.0,0.167,,0.0,0.046,2568.0,,0.0,0.007,0.0,0.026,
150,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2016,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,1.07,23.0,21.49,37091.0,0.0,6584.0,0.0,5.552,0.0,0.0,2.139,37032.0,,0.0,0.26,5.0,2.173,2.301
151,BANNER GATEWAY MEDICAL CENTER (030122),2016,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,1.698,32.0,18.844,36327.0,0.454,3231.0,1.0,2.203,2.597,4.0,1.54,43111.0,0.328,1.0,3.047,3.0,2.814,1.066
152,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2016,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.971,14.0,14.412,21938.0,0.675,2181.0,1.0,1.481,,0.0,0.831,21938.0,0.0,0.0,1.968,4.0,1.365,2.93
153,BANNER IRONWOOD MEDICAL CENTER (030130),2016,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,1.022,3.0,2.936,9158.0,,241.0,0.0,0.157,,0.0,0.199,10909.0,,0.0,0.229,2.0,0.899,
154,O.A.S.I.S. HOSPITAL (030131),2016,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,1.0,0.504,4456.0,,580.0,0.0,0.377,,0.0,0.051,4463.0,,,,,,
155,"FLORENCE HOSPITAL AT ANTHEM, LLC (030132)",2016,Acute Care,Proprietary,36.0,,,AZ,,0.0,0.276,1694.0,,112.0,0.0,0.078,,0.0,0.029,1694.0,,,,,,
156,BANNER GOLDFIELD MEDICAL CENTER (030134),2016,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,0.357,1.0,2.802,3091.0,,253.0,0.0,0.17,,0.0,0.113,3091.0,,,,0.0,0.142,
157,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2016,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,,0.0,0.114,339.0,,20.0,0.0,0.013,,0.0,0.006,339.0,,,,,,
158,PAGE HOSPITAL (031304),2016,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,,0.0,0.378,1384.0,,32.0,0.0,0.01,,0.0,0.034,1627.0,,,,,,
159,HOLY CROSS HOSPITAL (031313),2016,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,,0.0,0.558,1585.0,,,,,,0.0,0.058,2767.0,,0.0,0.1,,,
160,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2016,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,0.0,0.0,1.67,4777.0,,124.0,0.0,0.087,,0.0,0.126,5407.0,,0.0,0.252,1.0,0.551,
161,JOHNSON REGIONAL MEDICAL CENTER (040002),2016,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,0.913,2.0,2.19,5974.0,,533.0,0.0,0.357,,0.0,0.203,6506.0,,0.0,0.014,2.0,0.423,
162,WASHINGTON REGIONAL MEDICAL CENTER (040004),2016,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,0.586,25.0,42.629,59539.0,1.766,10254.0,15.0,8.496,1.419,4.0,2.818,63744.0,0.0,0.0,1.091,1.0,3.892,0.257
163,CHI-ST VINCENT INFIRMARY (040007),2016,Acute Care,Voluntary non-profit - Private,414.0,,,AR,0.506,22.0,43.459,94750.0,2.838,23905.0,58.0,20.44,1.292,8.0,6.192,97275.0,,0.0,0.565,10.0,10.199,0.98
164,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2016,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,0.8,21.0,26.246,39716.0,0.985,5935.0,4.0,4.06,0.0,0.0,1.627,44301.0,0.0,0.0,1.998,1.0,3.343,0.299
165,CHAMBERS MEMORIAL HOSPITAL (040011),2016,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,0.0,0.0,1.017,5101.0,,150.0,0.0,0.097,,0.0,0.109,5101.0,,,,,,
166,WHITE COUNTY MEDICAL CENTER (040014),2016,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,0.558,17.0,30.44,45869.0,0.882,3019.0,2.0,2.267,0.885,2.0,2.261,47946.0,0.0,0.0,1.689,0.0,1.653,0.0
167,MENA REGIONAL HEALTH SYSTEM (040015),2016,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,0.0,0.0,2.214,6176.0,,58.0,0.0,0.04,,0.0,0.203,6711.0,,0.0,0.201,0.0,0.181,
168,UAMS MEDICAL CENTER (040016),2016,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,1.328,121.0,91.142,128702.0,0.532,25151.0,15.0,28.199,0.418,5.0,11.962,153352.0,0.318,1.0,3.14,5.0,7.396,0.676
169,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2016,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,0.849,2.0,2.357,11077.0,,,,,,0.0,0.334,12143.0,,0.0,0.123,0.0,0.597,
170,SPARKS MEDICAL CENTER - VAN BUREN (040018),2016,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,2.0,0.615,2627.0,,53.0,0.0,0.034,,0.0,0.056,2627.0,,,,1.0,0.272,
171,FORREST CITY MEDICAL CENTER (040019),2016,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,0.0,0.0,1.951,6264.0,,167.0,0.0,0.116,,0.0,0.175,8148.0,,0.0,0.844,1.0,0.479,
172,ST BERNARDS MEDICAL CENTER (040020),2016,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,0.585,20.0,34.205,70855.0,1.773,8619.0,15.0,8.459,1.799,9.0,5.003,75884.0,,1.0,0.426,4.0,5.599,0.714
173,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2016,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,0.625,14.0,22.4,52411.0,1.206,6979.0,8.0,6.633,0.0,0.0,2.972,62270.0,0.251,1.0,3.987,9.0,5.541,1.624
174,CHI ST. VINCENT HOSPITAL HOT SPRINGS (040026),2016,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,1.19,43.0,36.122,58301.0,1.184,9709.0,8.0,6.756,1.529,4.0,2.616,59937.0,,0.0,0.634,3.0,3.304,0.908
175,BAXTER REGIONAL MEDICAL CENTER (040027),2016,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,0.97,25.0,25.777,35157.0,2.437,4808.0,8.0,3.283,1.509,2.0,1.325,36534.0,,0.0,0.647,1.0,2.666,0.375
176,CONWAY REGIONAL MEDICAL CENTER (040029),2016,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,1.145,18.0,15.721,30404.0,1.619,4146.0,5.0,3.088,2.264,3.0,1.325,33633.0,0.0,0.0,1.01,0.0,1.704,0.0
177,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2016,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,0.575,33.0,57.395,49745.0,0.877,8374.0,5.0,5.703,0.735,3.0,4.082,53956.0,,0.0,0.713,4.0,3.56,1.124
178,ARKANSAS METHODIST MEDICAL CENTER (040039),2016,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,0.297,3.0,10.116,14587.0,,704.0,0.0,0.478,,1.0,0.708,15682.0,,0.0,0.613,0.0,0.507,
179,ST MARYS REGIONAL MEDICAL CENTER (040041),2016,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,0.409,5.0,12.226,23193.0,1.652,1777.0,2.0,1.211,,3.0,0.984,25331.0,,0.0,0.291,1.0,1.175,0.851
180,FIVE RIVERS MEDICAL CENTER (040047),2016,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,,1.0,0.386,2104.0,,9.0,0.0,0.007,,0.0,0.052,2104.0,,,,,,
181,OUACHITA COUNTY MEDICAL CENTER (040050),2016,Acute Care,Voluntary non-profit - Private,97.0,,,AR,1.264,2.0,1.582,5475.0,,165.0,0.0,0.113,,0.0,0.216,5849.0,,1.0,0.259,0.0,0.51,
182,DREW MEMORIAL HOSPITAL (040051),2016,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,0.791,3.0,3.795,8453.0,,85.0,0.0,0.055,,0.0,0.457,9245.0,,0.0,0.155,0.0,0.231,
183,SPARKS REGIONAL MEDICAL CENTER (040055),2016,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,0.629,22.0,34.973,72605.0,1.454,6138.0,9.0,6.19,1.566,8.0,5.108,73790.0,,0.0,0.115,3.0,3.674,0.817
184,MERCY HOSPITAL FORT SMITH (040062),2016,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,0.756,43.0,56.876,67113.0,0.136,8943.0,1.0,7.376,0.242,1.0,4.135,74659.0,,1.0,0.548,5.0,4.679,1.069
185,MAGNOLIA HOSPITAL (040067),2016,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,0.538,1.0,1.859,4854.0,,297.0,0.0,0.244,,0.0,0.153,5379.0,,0.0,0.054,0.0,0.206,
186,GREAT RIVER MEDICAL CENTER (040069),2016,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,2.412,3.0,1.244,4365.0,,129.0,0.0,0.088,,1.0,0.099,5146.0,,0.0,0.137,0.0,0.052,
187,JEFFERSON REGIONAL MEDICAL CENTER (040071),2016,Acute Care,Voluntary non-profit - Private,322.0,34.189066,-92.018453,AR,0.85,29.0,34.1,47107.0,0.703,5747.0,4.0,5.69,0.0,0.0,2.035,48820.0,0.0,0.0,1.415,0.0,2.568,0.0
188,BAPTIST HEALTH MEDICAL CENTER-STUTTGART (040072),2016,Acute Care,Voluntary non-profit - Private,49.0,34.517773,-91.557572,AR,0.0,0.0,3.372,5769.0,,257.0,0.0,0.166,,0.0,0.126,6180.0,,0.0,0.204,,,
189,NORTH METRO MEDICAL CENTER (040074),2016,Acute Care,Proprietary,70.0,34.872381,-92.124697,AR,1.48,2.0,1.351,4571.0,,542.0,1.0,0.418,,0.0,0.096,4671.0,,,,,,
190,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY (040076),2016,Acute Care,Voluntary non-profit - Private,69.0,34.358913,-92.786418,AR,0.26,3.0,11.535,10763.0,,582.0,0.0,0.393,,0.0,0.384,10763.0,,,,,,
191,NATIONAL PARK MEDICAL CENTER (040078),2016,Acute Care,Proprietary,162.0,34.486239,-93.033554,AR,1.185,12.0,10.123,24158.0,1.702,6036.0,7.0,4.113,1.596,2.0,1.253,25179.0,,2.0,0.395,4.0,1.355,2.952
192,SALINE MEMORIAL HOSPITAL (040084),2016,Acute Care,Voluntary non-profit - Private,165.0,34.573552,-92.584405,AR,0.507,5.0,9.864,17900.0,0.0,2325.0,0.0,1.646,,1.0,0.697,18824.0,,0.0,0.425,0.0,0.794,
193,HELENA REGIONAL MEDICAL CENTER (040085),2016,Acute Care,Proprietary,133.0,34.508357,-90.62733,AR,0.0,0.0,2.873,6930.0,,161.0,0.0,0.108,,0.0,0.165,7249.0,,0.0,0.146,0.0,0.066,
194,MEDICAL CENTER SOUTH ARKANSAS (040088),2016,Acute Care,Proprietary,124.0,33.218378,-92.67103,AR,0.771,6.0,7.778,11839.0,,684.0,0.0,0.485,,0.0,0.501,12913.0,,2.0,0.886,0.0,0.908,
195,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK (040114),2016,Acute Care,Voluntary non-profit - Private,773.0,,,AR,0.544,96.0,176.602,153278.0,1.487,38161.0,53.0,35.643,1.731,22.0,12.711,176853.0,1.113,5.0,4.492,8.0,8.406,0.952
196,NEA BAPTIST MEMORIAL HOSPITAL (040118),2016,Acute Care,Voluntary non-profit - Private,168.0,35.864204,-90.639107,AR,0.776,25.0,32.21,47548.0,0.301,4838.0,1.0,3.323,2.311,4.0,1.731,48619.0,,1.0,0.785,1.0,2.397,0.417
197,WHITE RIVER MEDICAL CENTER (040119),2016,Acute Care,Voluntary non-profit - Private,202.0,35.769572,-91.634721,AR,0.447,6.0,13.43,32915.0,0.946,6038.0,4.0,4.229,2.234,3.0,1.343,34237.0,,0.0,0.83,4.0,1.672,2.392
198,"ARKANSAS HEART HOSPITAL, LLC (040134)",2016,Acute Care,Proprietary,112.0,34.739159,-92.394421,AR,0.791,6.0,7.586,20740.0,1.135,7762.0,6.0,5.285,,2.0,0.632,20740.0,,,,0.0,0.292,
199,ST VINCENT MEDICAL CENTER/NORTH (040137),2016,Acute Care,Voluntary non-profit - Private,59.0,34.814378,-92.207514,AR,0.0,0.0,1.492,4984.0,,397.0,0.0,0.269,,0.0,0.143,4984.0,,0.0,0.278,0.0,0.141,
200,ARKANSAS SURGICAL HOSPITAL (040147),2016,Acute Care,Physician,49.0,34.801458,-92.347687,AR,0.0,0.0,1.307,8180.0,,215.0,0.0,0.14,,0.0,0.093,8180.0,,,,,,
201,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL (040152),2016,Acute Care,Proprietary,20.0,36.12133,-94.13373,AR,,0.0,0.319,1909.0,,8.0,0.0,0.005,,0.0,0.022,1909.0,,,,0.0,0.019,
202,WADLEY REGIONAL MEDICAL CENTER AT HOPE (040153),2016,Acute Care,Proprietary,70.0,33.648008,-93.587052,AR,0.631,1.0,1.585,3911.0,,111.0,0.0,0.076,,0.0,0.162,3911.0,,,,,,
203,LAWRENCE MEMORIAL HOSPITAL (041309),2016,Critical Access,Government - Local,25.0,36.074701,-90.966982,AR,,,,,,610.0,0.0,0.18,,,,,,,,,,
204,HOWARD MEMORIAL HOSPITAL (041311),2016,Critical Access,Voluntary non-profit - Private,24.0,33.950926,-93.880772,AR,,0.0,0.142,645.0,,92.0,0.0,0.027,,,,,,,,0.0,0.0,
205,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS (041312),2016,Critical Access,Voluntary non-profit - Private,25.0,35.506578,-92.001319,AR,0.0,0.0,1.425,4171.0,,362.0,1.0,0.107,,0.0,0.086,4171.0,,,,,,
206,OZARK HEALTH (041313),2016,Critical Access,Voluntary non-profit - Private,143.0,35.559375,-92.449913,AR,,,,,,28.0,0.0,0.009,,,,,,,,,,
207,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA (041321),2016,Critical Access,Voluntary non-profit - Private,25.0,34.122802,-93.08797,AR,0.45,1.0,2.221,6394.0,,591.0,0.0,0.175,,0.0,0.147,7027.0,,,,,,
208,CHI ST VINCENT MORRILTON (041324),2016,Critical Access,Voluntary non-profit - Church,24.0,35.16997,-92.721702,AR,,0.0,0.784,2822.0,,73.0,1.0,0.022,,0.0,0.059,2822.0,,,,0.0,0.176,
209,CHICOT MEMORIAL MEDICAL CENTER (041328),2016,Critical Access,Voluntary non-profit - Private,25.0,33.305642,-91.290353,AR,,0.0,0.401,1817.0,,383.0,0.0,0.113,,,,,,0.0,0.122,0.0,0.164,
210,OZARKS COMMUNITY HOSPITAL OF GRAVETTE (041331),2016,Critical Access,Proprietary,26.0,36.408563,-94.45987,AR,,,,,,1257.0,0.0,0.372,,,,,,,,0.0,0.029,
211,ST ROSE HOSPITAL (050002),2016,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,1.457,33.0,22.65,27867.0,1.44,3033.0,3.0,2.083,0.654,1.0,1.53,29533.0,,0.0,0.287,0.0,0.805,
212,ST JOSEPH HOSPITAL (050006),2016,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,1.4,28.0,19.997,28249.0,0.812,3646.0,2.0,2.463,3.374,5.0,1.482,29641.0,,0.0,0.293,6.0,2.019,2.972
213,MILLS-PENINSULA MEDICAL CENTER (050007),2016,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,1.255,39.0,31.072,45229.0,0.233,5698.0,1.0,4.288,2.284,5.0,2.189,50539.0,,2.0,0.977,0.0,2.978,0.0
214,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2016,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,1.853,15.0,8.096,17604.0,0.737,3275.0,2.0,2.713,,2.0,0.893,17604.0,,,,0.0,0.174,
