,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
191,CHICOT MEMORIAL MEDICAL CENTER (041328),2021,Critical Access,Voluntary non-profit - Private,25.0,33.305642,-91.290353,AR,0.0,,
192,MERCY HOSPITAL BERRYVILLE (041329),2021,Critical Access,Voluntary non-profit - Private,25.0,36.358225,-93.551993,AR,0.0,,
193,ST ROSE HOSPITAL (050002),2021,Acute Care,Voluntary non-profit - Church,188.0,37.63291,-122.089742,CA,1.7,,
194,PROVIDENCE ST JOSEPH HOSPITAL (050006),2021,Acute Care,Voluntary non-profit - Private,154.0,40.783103,-124.142039,CA,4.0,39.7,0.0
195,PENINSULA MEDICAL CENTER (050007),2021,Acute Care,Voluntary non-profit - Private,321.0,37.594398,-122.383356,CA,1.6,,2.3
196,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP (050008),2021,Acute Care,Voluntary non-profit - Other,203.0,37.769114,-122.434696,CA,2.7,,
197,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER (050009),2021,Acute Care,Voluntary non-profit - Church,172.0,38.323554,-122.295968,CA,2.9,,
198,ADVENTIST HEALTH ST HELENA (050013),2021,Acute Care,Voluntary non-profit - Private,153.0,38.54196,-122.475344,CA,2.8,,3.4
199,SUTTER AMADOR HOSPITAL (050014),2021,Acute Care,Voluntary non-profit - Private,50.0,38.349561,-120.765905,CA,1.1,,0.9
200,MERCY GENERAL HOSPITAL (050017),2021,Acute Care,Voluntary non-profit - Church,379.0,38.569385,-121.452482,CA,0.0,,
201,RIVERSIDE COMMUNITY HOSPITAL (050022),2021,Acute Care,Government - State,415.0,33.975677,-117.380374,CA,0.8,,
202,PARADISE VALLEY HOSPITAL (050024),2021,Acute Care,Proprietary,289.0,32.686336,-117.083243,CA,2.2,,
203,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR (050025),2021,Acute Care,Voluntary non-profit - Other,630.0,32.753717,-117.165914,CA,2.7,34.7,4.4
204,GROSSMONT HOSPITAL (050026),2021,Acute Care,Government - Hospital District or Authority,545.0,32.779435,-117.009178,CA,1.3,,
205,MAD RIVER COMMUNITY HOSPITAL (050028),2021,Acute Care,Proprietary,66.0,40.903309,-124.090847,CA,2.1,,
206,OROVILLE HOSPITAL (050030),2021,Acute Care,Voluntary non-profit - Private,166.0,39.504535,-121.542106,CA,8.4,,5.8
207,BAKERSFIELD MEMORIAL HOSPITAL (050036),2021,Acute Care,Voluntary non-profit - Private,396.0,35.390474,-119.006836,CA,0.4,,
208,SANTA CLARA VALLEY MEDICAL CENTER (050038),2021,Acute Care,Government - Local,684.0,37.313702,-121.931888,CA,2.6,,2.8
209,ENLOE MEDICAL CENTER (050039),2021,Acute Care,Voluntary non-profit - Private,315.0,39.742284,-121.849128,CA,0.1,,3.3
210,LAC/OLIVE VIEW-UCLA MEDICAL CENTER (050040),2021,Acute Care,Voluntary non-profit - Other,286.0,34.325912,-118.445513,CA,2.1,,
211,ST ELIZABETH COMMUNITY HOSPITAL (050042),2021,Acute Care,Voluntary non-profit - Church,65.0,40.148834,-122.218303,CA,1.2,,
212,ALTA BATES SUMMIT MEDICAL CENTER (050043),2021,Acute Care,Voluntary non-profit - Private,389.0,37.820784,-122.26328,CA,1.9,,1.8
213,EL CENTRO REGIONAL MEDICAL CENTER (050045),2021,Acute Care,Voluntary non-profit - Other,162.0,32.781498,-115.56862,CA,2.7,,
214,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS (050047),2021,Acute Care,Voluntary non-profit - Private,456.0,37.786152,-122.421544,CA,2.2,,4.1
215,SAN GORGONIO MEMORIAL HOSPITAL (050054),2021,Acute Care,Government - Hospital District or Authority,72.0,,,CA,0.6,,
216,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL (050055),2021,Acute Care,Voluntary non-profit - Church,186.0,37.74805,-122.420987,CA,0.0,,
217,ANTELOPE VALLEY HOSPITAL (050056),2021,Acute Care,Government - Hospital District or Authority,396.0,34.689371,-118.158476,CA,1.2,,
218,KAWEAH HEALTH MEDICAL CENTER (050057),2021,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,1.8,23.9,2.3
219,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2021,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,1.1,,
220,COMMUNITY REGIONAL MEDICAL CENTER (050060),2021,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,1.6,,5.0
221,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2021,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,0.5,,
222,OAK VALLEY HOSPITAL DISTRICT (050067),2021,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,0.0,,
223,PROVIDENCE ST. JOSEPH HOSPITAL (050069),2021,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,1.9,,0.0
224,SCRIPPS MERCY HOSPITAL (050077),2021,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,1.9,,4.3
225,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2021,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,1.7,,
226,ST JOHNS REGIONAL MEDICAL CENTER (050082),2021,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,0.0,,
227,ST JOSEPH'S MEDICAL CENTER OF STOCKTON (050084),2021,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,1.4,,
228,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2021,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,1.3,,
229,SONOMA VALLEY HOSPITAL (050090),2021,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,0.7,,
230,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2021,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,0.0,,
231,SAINT AGNES MEDICAL CENTER (050093),2021,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,0.9,,
232,SAN ANTONIO REGIONAL HOSPITAL (050099),2021,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,1.6,,
233,SHARP MEMORIAL HOSPITAL (050100),2021,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,0.3,,
234,SUTTER SOLANO MEDICAL CENTER (050101),2021,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,1.5,,3.3
235,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2021,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,0.0,,
236,WHITE MEMORIAL MEDICAL CENTER (050103),2021,Acute Care,Voluntary non-profit - Church,352.0,,,CA,5.0,,
237,SAINT FRANCIS MEDICAL CENTER (050104),2021,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,1.4,,
238,MARIAN REGIONAL MEDICAL CENTER (050107),2021,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,3.0,42.9,
239,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2021,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,0.2,,
240,LOMPOC VALLEY MEDICAL CENTER (050110),2021,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,3.2,,
241,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2021,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,1.3,,
242,SAN MATEO MEDICAL CENTER (050113),2021,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,4.5,,
243,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2021,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,0.2,,
244,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2021,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,0.4,,
245,DOCTORS HOSPITAL OF MANTECA (050118),2021,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,1.8,,2.1
246,ADVENTIST HEALTH HANFORD (050121),2021,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,1.5,,
247,DAMERON HOSPITAL (050122),2021,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,0.6,,
248,USC VERDUGO HILLS HOSPITAL (050124),2021,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,1.4,,
249,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2021,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,0.3,,
250,VALLEY PRESBYTERIAN HOSPITAL (050126),2021,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,0.5,,
251,WOODLAND MEMORIAL HOSPITAL (050127),2021,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,1.9,,
252,TRI-CITY MEDICAL CENTER (050128),2021,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,1.1,,4.5
253,ST BERNARDINE MEDICAL CENTER (050129),2021,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,1.4,,
254,NOVATO COMMUNITY HOSPITAL (050131),2021,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,1.2,,
255,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2021,Acute Care,Physician,272.0,34.102461,-118.105572,CA,0.7,,
256,ADVENTIST HEALTH AND RIDEOUT (050133),2021,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,0.9,,0.7
257,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2021,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,0.0,,
258,PETALUMA VALLEY HOSPITAL (050136),2021,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,1.7,,
259,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2021,Acute Care,Voluntary non-profit - Private,278.0,,,CA,1.3,51.5,2.5
260,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2021,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,0.0,,
261,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2021,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,4.5,28.1,3.6
262,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2021,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,0.0,,
263,VENTURA COUNTY MEDICAL CENTER (050159),2021,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,1.0,,
264,SAN JOAQUIN GENERAL HOSPITAL (050167),2021,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,1.5,,
265,PROVIDENCE ST. JUDE MEDICAL CENTER (050168),2021,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,2.2,,
266,PIH HEALTH HOSPITAL-WHITTIER (050169),2021,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,1.9,,2.8
267,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL (050174),2021,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,1.8,44.4,2.9
268,EMANUEL MEDICAL CENTER (050179),2021,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,0.3,,
269,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2021,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,1.0,,2.4
270,ST MARY MEDICAL CENTER (050191),2021,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,2.0,,
271,ADVENTIST HEALTH REEDLEY (050192),2021,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,0.7,,
272,WATSONVILLE COMMUNITY HOSPITAL (050194),2021,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,1.0,,
273,WASHINGTON HOSPITAL (050195),2021,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,0.6,,10.4
274,SEQUOIA HOSPITAL (050197),2021,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,0.4,,6.6
275,PALMDALE REGIONAL MEDICAL CENTER (050204),2021,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,0.0,,
276,ALAMEDA HOSPITAL (050211),2021,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,0.9,,
277,SHARP CHULA VISTA MEDICAL CENTER (050222),2021,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,0.0,,
278,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2021,Acute Care,Voluntary non-profit - Private,468.0,,,CA,3.9,41.6,4.1
279,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2021,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,6.0,,
280,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR (050228),2021,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,0.5,,
281,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2021,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,0.0,,
282,POMONA VALLEY HOSPITAL MEDICAL CENTER (050231),2021,Acute Care,Voluntary non-profit - Private,399.0,34.077639,-117.752329,CA,2.7,,
283,FRENCH HOSPITAL MEDICAL CENTER (050232),2021,Acute Care,Voluntary non-profit - Other,103.0,35.278663,-120.650212,CA,4.0,,5.4
284,SHARP CORONADO HOSPITAL AND HLTHCR CTR (050234),2021,Acute Care,Voluntary non-profit - Other,185.0,32.694257,-117.167947,CA,0.0,,
285,PROVIDENCE SAINT JOSEPH MEDICAL CTR (050235),2021,Acute Care,Voluntary non-profit - Church,361.0,34.157643,-118.327841,CA,1.6,,
286,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES (050236),2021,Acute Care,Voluntary non-profit - Church,144.0,34.288837,-118.74396,CA,0.7,,
287,METHODIST HOSPITAL OF SOUTHERN CA (050238),2021,Acute Care,Voluntary non-profit - Private,404.0,34.134862,-118.042446,CA,0.0,,
288,GLENDALE ADVENTIST MEDICAL CENTER (050239),2021,Acute Care,Voluntary non-profit - Private,460.0,34.149161,-118.230354,CA,2.2,,2.9
289,DOMINICAN HOSPITAL (050242),2021,Acute Care,Voluntary non-profit - Church,234.0,36.988341,-121.983818,CA,0.2,,
290,DESERT REGIONAL MEDICAL CENTER (050243),2021,Acute Care,Proprietary,364.0,33.838861,-116.545598,CA,1.0,,
291,ARROWHEAD REGIONAL MEDICAL CENTER (050245),2021,Acute Care,Government - Local,454.0,34.072884,-117.352833,CA,1.5,,
292,NATIVIDAD MEDICAL CENTER (050248),2021,Acute Care,Government - Hospital District or Authority,172.0,36.695472,-121.63124,CA,0.0,,3.8
293,MARSHALL MEDICAL CENTER (050254),2021,Acute Care,Voluntary non-profit - Other,114.0,38.724483,-120.790643,CA,1.2,32.1,2.2
294,SIERRA VIEW MEDICAL CENTER (050261),2021,Acute Care,Voluntary non-profit - Private,163.0,36.069573,-119.027274,CA,3.2,,
295,RONALD REAGAN UCLA MEDICAL CENTER (050262),2021,Acute Care,Government - State,454.0,34.063939,-118.445411,CA,3.4,,5.1
296,REDLANDS COMMUNITY HOSPITAL (050272),2021,Acute Care,Government - Federal,227.0,34.038404,-117.206414,CA,1.5,,
297,CONTRA COSTA REGIONAL MEDICAL CENTER (050276),2021,Acute Care,Government - Local,150.0,38.006467,-122.130891,CA,2.4,,1.2
298,PROVIDENCE HOLY CROSS MEDICAL CENTER (050278),2021,Acute Care,Voluntary non-profit - Church,374.0,34.279013,-118.459485,CA,1.0,,
299,HI-DESERT MEDICAL CENTER (050279),2021,Acute Care,Government - Hospital District or Authority,178.0,34.132676,-116.276709,CA,0.6,,
300,MERCY MEDICAL CENTER REDDING (050280),2021,Acute Care,Voluntary non-profit - Private,266.0,,,CA,1.1,,
301,ALHAMBRA HOSPITAL MEDICAL CENTER (050281),2021,Acute Care,Proprietary,144.0,34.090156,-118.145017,CA,1.1,,
302,STANFORD HEALTH CARE - VALLEYCARE (050283),2021,Acute Care,Voluntary non-profit - Private,211.0,37.692133,-121.880027,CA,1.2,,3.2
303,AHMC SETON MEDICAL CENTER (050289),2021,Acute Care,Voluntary non-profit - Church,443.0,37.680315,-122.47291,CA,3.3,,
304,PROVIDENCE SAINT JOHN'S HEALTH CENTER (050290),2021,Acute Care,Voluntary non-profit - Private,260.0,34.03007,-118.478305,CA,1.5,,
305,SUTTER SANTA ROSA REGIONAL HOSPITAL (050291),2021,Acute Care,Voluntary non-profit - Other,92.0,38.496306,-122.750707,CA,0.9,,4.6
306,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER (050292),2021,Acute Care,Government - Local,400.0,33.910054,-117.195824,CA,2.9,,
307,MERCY HOSPITAL (050295),2021,Acute Care,Voluntary non-profit - Other,226.0,35.373323,-119.027386,CA,0.5,,
308,BARSTOW COMMUNITY HOSPITAL (050298),2021,Acute Care,Proprietary,33.0,34.893696,-117.0166,CA,2.1,,
309,ST MARY MEDICAL CENTER (050300),2021,Acute Care,Voluntary non-profit - Private,210.0,34.542046,-117.265602,CA,0.3,,
310,ADVENTIST HEALTH UKIAH VALLEY (050301),2021,Acute Care,Voluntary non-profit - Church,50.0,39.153019,-123.2038,CA,1.4,,0.7
311,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP (050305),2021,Acute Care,Voluntary non-profit - Private,423.0,37.856488,-122.257329,CA,0.6,,5.3
312,EL CAMINO HOSPITAL (050308),2021,Acute Care,Government - Hospital District or Authority,448.0,37.369341,-122.077933,CA,1.2,,1.0
313,SUTTER ROSEVILLE MEDICAL CENTER (050309),2021,Acute Care,Voluntary non-profit - Other,330.0,,,CA,0.0,,
314,SUTTER TRACY COMMUNITY HOSPITAL (050313),2021,Acute Care,Voluntary non-profit - Private,80.0,37.744232,-121.43494,CA,1.5,,
315,KERN MEDICAL CENTER (050315),2021,Acute Care,Voluntary non-profit - Other,221.0,35.380964,-118.967546,CA,1.5,,
316,HIGHLAND HOSPITAL (050320),2021,Acute Care,Government - Hospital District or Authority,416.0,37.799234,-122.231199,CA,3.7,,4.9
317,SCRIPPS MEMORIAL HOSPITAL LA JOLLA (050324),2021,Acute Care,Voluntary non-profit - Other,361.0,32.8855,-117.223022,CA,1.0,,
318,LOMA LINDA UNIVERSITY MEDICAL CENTER (050327),2021,Acute Care,Voluntary non-profit - Private,571.0,34.049482,-117.261122,CA,3.5,,6.6
319,CORONA REGIONAL MEDICAL CENTER (050329),2021,Acute Care,Proprietary,238.0,33.873327,-117.566768,CA,1.1,,
320,SALINAS VALLEY MEMORIAL HOSPITAL (050334),2021,Acute Care,Voluntary non-profit - Other,247.0,36.659979,-121.646327,CA,0.0,,2.2
321,ADVENTIST HEALTH SONORA (050335),2021,Acute Care,Voluntary non-profit - Church,152.0,37.976728,-120.369442,CA,1.6,30.4,2.1
322,ADVENTIST HEALTH LODI MEMORIAL (050336),2021,Acute Care,Voluntary non-profit - Other,200.0,38.121634,-121.285787,CA,2.6,,2.1
323,PIONEERS MEMORIAL HEALTHCARE DISTRICT (050342),2021,Acute Care,Government - Hospital District or Authority,107.0,32.959947,-115.552723,CA,2.1,,
324,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER (050348),2021,Acute Care,Government - Local,415.0,33.780111,-117.894303,CA,3.9,,5.2
325,BEVERLY HOSPITAL (050350),2021,Acute Care,Voluntary non-profit - Private,211.0,34.016032,-118.100526,CA,0.6,,
326,TORRANCE MEMORIAL MEDICAL CENTER (050351),2021,Acute Care,Voluntary non-profit - Other,505.0,33.812644,-118.34375,CA,1.7,31.7,3.7
327,BARTON MEMORIAL HOSPITAL (050352),2021,Acute Care,Voluntary non-profit - Private,112.0,38.912337,-119.997711,CA,2.3,,3.1
328,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE (050353),2021,Acute Care,Voluntary non-profit - Church,442.0,33.837577,-118.35708,CA,0.7,,7.5
329,GOLETA VALLEY COTTAGE HOSPITAL (050357),2021,Acute Care,Voluntary non-profit - Other,55.0,34.433699,-119.809322,CA,0.5,,
330,MARIN GENERAL HOSPITAL (050360),2021,Acute Care,Government - Local,258.0,37.948884,-122.535897,CA,2.7,,3.7
331,NORTHBAY MEDICAL CENTER (050367),2021,Acute Care,Voluntary non-profit - Other,183.0,38.261108,-122.048104,CA,0.0,,
332,LAC+USC MEDICAL CENTER (050373),2021,Acute Care,Government - Local,669.0,34.059872,-118.210308,CA,,,1.5
333,GOOD SAMARITAN HOSPITAL (050380),2021,Acute Care,Proprietary,357.0,37.251104,-121.946563,CA,0.0,,3.4
334,EMANATE HEALTH INTER-COMMUNITY HOSPITAL (050382),2021,Acute Care,Proprietary,491.0,34.089947,-117.893666,CA,3.2,,
335,HEMET GLOBAL MEDICAL CENTER (050390),2021,Acute Care,Government - State,359.0,33.75122,-116.959859,CA,0.0,,
336,PIH HOSPITAL - DOWNEY (050393),2021,Acute Care,Voluntary non-profit - Private,192.0,33.935563,-118.131703,CA,2.0,,
337,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA (050394),2021,Acute Care,Voluntary non-profit - Private,216.0,34.274184,-119.257238,CA,0.7,,4.5
338,SANTA BARBARA COTTAGE HOSPITAL (050396),2021,Acute Care,Voluntary non-profit - Private,377.0,34.429483,-119.723077,CA,2.0,,2.3
339,CHINESE HOSPITAL (050407),2021,Acute Care,Voluntary non-profit - Private,64.0,37.795695,-122.40925,CA,0.7,,4.8
340,MERCY HOSPITAL OF FOLSOM (050414),2021,Acute Care,Voluntary non-profit - Private,106.0,38.671125,-121.145833,CA,0.0,,
341,SUTTER COAST HOSPITAL (050417),2021,Acute Care,Government - Hospital District or Authority,49.0,41.772698,-124.194144,CA,3.0,,
342,PALO VERDE HOSPITAL (050423),2021,Acute Care,Government - Federal,46.0,33.61245,-114.595479,CA,1.4,,
343,SCRIPPS GREEN HOSPITAL (050424),2021,Acute Care,Voluntary non-profit - Private,161.0,32.897124,-117.241854,CA,2.4,,
344,WEST ANAHEIM MEDICAL CENTER (050426),2021,Acute Care,Proprietary,215.0,33.824735,-117.995115,CA,0.0,,
345,HUNTINGTON MEMORIAL HOSPITAL (050438),2021,Acute Care,Voluntary non-profit - Private,558.0,34.135761,-118.151803,CA,0.9,,
346,STANFORD HEALTH CARE (050441),2021,Acute Care,Voluntary non-profit - Private,500.0,37.433138,-122.176664,CA,0.6,37.8,4.4
347,MERCY MEDICAL CENTER (050444),2021,Acute Care,Voluntary non-profit - Private,186.0,37.340122,-120.465214,CA,1.2,,
348,UCSF MEDICAL CENTER (050454),2021,Acute Care,Voluntary non-profit - Other,739.0,37.763553,-122.457654,CA,3.9,32.1,4.0
349,ADVENTIST HEALTH BAKERSFIELD (050455),2021,Acute Care,Voluntary non-profit - Private,256.0,35.383056,-119.018857,CA,4.8,39.0,5.3
350,ST MARY'S MEDICAL CENTER (050457),2021,Acute Care,Voluntary non-profit - Private,182.0,37.77384,-122.454495,CA,1.7,,
351,DOCTORS MEDICAL CENTER (050464),2021,Acute Care,Proprietary,445.0,37.665666,-120.99625,CA,0.4,,2.0
352,MEMORIAL HOSPITAL OF GARDENA (050468),2021,Acute Care,Proprietary,172.0,33.892375,-118.295106,CA,0.0,,
353,GOOD SAMARITAN HOSPITAL (050471),2021,Acute Care,Proprietary,327.0,34.053209,-118.265292,CA,1.7,,
354,WEST HILLS HOSPITAL & MEDICAL CENTER (050481),2021,Acute Care,Proprietary,225.0,34.202931,-118.628598,CA,0.0,,
355,LONG BEACH MEMORIAL MEDICAL CENTER (050485),2021,Acute Care,Voluntary non-profit - Other,457.0,33.807107,-118.185098,CA,3.3,,
356,EDEN MEDICAL CENTER (050488),2021,Acute Care,Voluntary non-profit - Other,152.0,,,CA,0.6,,
357,CLOVIS COMMUNITY MEDICAL CENTER (050492),2021,Acute Care,Voluntary non-profit - Private,189.0,36.837421,-119.661626,CA,1.2,,
358,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS (050496),2021,Acute Care,Voluntary non-profit - Private,256.0,37.98296,-122.034236,CA,1.0,,3.5
359,SUTTER AUBURN FAITH HOSPITAL (050498),2021,Acute Care,Voluntary non-profit - Other,67.0,38.944317,-121.099423,CA,1.7,,5.8
360,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS (050503),2021,Acute Care,Voluntary non-profit - Private,178.0,33.036272,-117.284237,CA,1.7,,
361,SIERRA VISTA REGIONAL MEDICAL CENTER (050506),2021,Acute Care,Proprietary,161.0,35.290966,-120.666174,CA,0.0,,
