,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
88,ALASKA NATIVE MEDICAL CENTER (020026),2015,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,1.0318,15.2,,,15.7,0.9679,18.4,125.0,20.0,17.9,1.0975,20.8,86.0,25.0,22.8,1.0565,4.5,,,4.8,1.0532,15.4,197.0,35.0,16.2
89,MT EDGECUMBE HOSPITAL (020027),2015,Acute Care,Voluntary non-profit - Private,26.0,,,AK,,,,,,,,,,,,,,,,,,,,,0.9604,14.9,,,14.4
90,MARYVALE HOSPITAL (030001),2015,Acute Care,Proprietary,231.0,,,AZ,,,,,,1.0321,22.5,67.0,18.0,23.2,0.9862,22.0,,,21.7,,,,,,0.9693,17.4,,,16.8
91,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS (030002),2015,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,1.0885,16.8,226.0,46.0,18.3,0.9373,20.5,233.0,40.0,19.2,0.8394,22.5,398.0,65.0,18.9,0.9363,5.1,338.0,15.0,4.8,1.0577,18.2,180.0,38.0,19.2
92,TUCSON MEDICAL CENTER (030006),2015,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,0.9609,16.6,427.0,66.0,16.0,1.0278,19.8,300.0,63.0,20.3,0.9181,21.8,544.0,104.0,20.0,0.8103,4.5,1557.0,53.0,3.6,1.0534,16.6,497.0,90.0,17.5
93,VERDE VALLEY MEDICAL CENTER (030007),2015,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,0.9668,15.0,129.0,17.0,14.5,0.8626,19.1,204.0,23.0,16.4,0.9284,20.7,173.0,29.0,19.2,0.8427,4.8,,,4.1,0.9926,15.8,220.0,34.0,15.7
94,CARONDELET ST  MARYS HOSPITAL (030010),2015,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,0.9822,14.5,161.0,22.0,14.2,0.9335,19.7,190.0,30.0,18.4,0.821,20.6,219.0,26.0,16.9,0.9217,5.1,,,4.7,0.9884,16.3,203.0,32.0,16.1
95,CARONDELET ST JOSEPH'S HOSPITAL (030011),2015,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,0.9655,15.8,169.0,24.0,15.3,0.9549,19.0,310.0,53.0,18.2,0.8833,21.4,313.0,52.0,18.9,0.981,5.1,405.0,20.0,5.0,1.0837,16.0,359.0,67.0,17.3
96,YAVAPAI REGIONAL MEDICAL CENTER (030012),2015,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,0.9304,15.2,381.0,50.0,14.1,1.0327,20.2,320.0,69.0,20.8,0.9731,21.3,230.0,46.0,20.7,0.7998,5.0,527.0,17.0,4.0,0.9941,15.9,408.0,64.0,15.8
97,YUMA REGIONAL MEDICAL CENTER (030013),2015,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,1.0139,17.0,483.0,84.0,17.2,1.059,20.3,835.0,184.0,21.5,0.8834,22.1,631.0,116.0,19.5,0.9514,5.5,633.0,32.0,5.2,1.076,17.2,1007.0,191.0,18.5
98,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2015,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,0.9982,15.8,96.0,15.0,15.7,1.016,19.1,257.0,51.0,19.4,0.9283,21.9,302.0,57.0,20.3,1.1223,5.0,285.0,18.0,5.6,1.0521,16.2,182.0,34.0,17.0
99,BANNER CASA GRANDE MEDICAL CENTER (030016),2015,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,1.0219,14.9,65.0,11.0,15.2,1.1172,18.9,368.0,86.0,21.1,1.1321,21.9,148.0,44.0,24.7,1.0926,4.8,238.0,14.0,5.2,1.102,16.7,310.0,63.0,18.4
100,FLAGSTAFF MEDICAL CENTER (030023),2015,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,0.9291,15.7,198.0,25.0,14.6,0.9707,20.2,154.0,28.0,19.6,0.9421,21.9,245.0,47.0,20.6,0.937,4.6,624.0,26.0,4.4,0.9123,16.2,239.0,30.0,14.8
101,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2015,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,0.9871,15.7,166.0,25.0,15.5,1.03,20.9,171.0,39.0,21.5,0.9555,21.8,200.0,39.0,20.8,,,,,,1.0075,17.1,154.0,27.0,17.2
102,PHOENIX BAPTIST HOSPITAL (030030),2015,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,0.9492,16.2,187.0,26.0,15.4,0.9422,19.5,116.0,17.0,18.4,0.9936,23.0,238.0,54.0,22.8,1.0686,4.8,,,5.2,1.0308,16.6,106.0,20.0,17.2
103,PAYSON REGIONAL MEDICAL CENTER (030033),2015,Acute Care,Voluntary non-profit - Other,36.0,,,AZ,,,,,,0.9964,19.2,153.0,29.0,19.1,0.9422,22.7,105.0,19.0,21.4,1.3968,4.9,118.0,14.0,6.8,1.0029,16.2,91.0,15.0,16.3
104,CHANDLER REGIONAL MEDICAL CENTER (030036),2015,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,1.0597,16.0,271.0,49.0,16.9,0.922,19.3,309.0,49.0,17.8,0.9313,22.2,402.0,79.0,20.7,0.944,5.2,,,4.9,0.9596,17.0,402.0,63.0,16.3
105,ST LUKE'S MEDICAL CENTER (030037),2015,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,0.9982,16.9,,,16.8,1.0118,18.8,69.0,14.0,19.0,0.9713,22.8,80.0,16.0,22.1,0.9549,4.6,582.0,25.0,4.4,0.9499,15.3,,,14.5
106,SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER (030038),2015,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,0.8963,16.4,188.0,22.0,14.7,0.9274,19.3,243.0,38.0,17.9,0.9473,21.2,469.0,91.0,20.1,0.9964,4.9,662.0,32.0,4.8,0.9675,16.1,418.0,63.0,15.5
107,SIERRA VISTA REGIONAL HEALTH CENTER (030043),2015,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,0.9412,18.6,121.0,18.0,17.6,0.9667,19.7,254.0,46.0,19.1,1.1112,22.8,212.0,60.0,25.3,1.1772,4.9,,,5.8,0.9892,17.1,264.0,44.0,16.9
108,KINGMAN REGIONAL MEDICAL CENTER (030055),2015,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,0.8926,16.6,176.0,20.0,14.8,0.9232,19.2,591.0,99.0,17.7,0.9817,23.3,368.0,83.0,22.9,0.9819,5.7,,,5.6,1.0692,17.7,555.0,109.0,18.9
109,BANNER BOSWELL MEDICAL CENTER (030061),2015,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,1.0364,16.5,469.0,82.0,17.1,1.0419,20.2,766.0,164.0,21.0,0.9092,21.9,769.0,148.0,20.0,0.8085,5.3,1141.0,45.0,4.3,0.9275,16.8,644.0,96.0,15.6
110,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2015,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,0.9362,16.4,,,15.3,0.9637,18.2,106.0,16.0,17.6,0.9125,20.4,103.0,14.0,18.6,1.0219,4.7,220.0,11.0,4.8,0.8486,15.7,,,13.3
111,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2015,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,1.0935,16.9,239.0,49.0,18.5,1.0114,21.1,118.0,26.0,21.3,1.0112,22.2,300.0,68.0,22.4,1.145,5.1,181.0,13.0,5.8,0.9657,17.6,360.0,59.0,17.0
112,BANNER DESERT MEDICAL CENTER (030065),2015,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,0.976,14.6,184.0,25.0,14.3,1.149,20.7,338.0,91.0,23.8,1.0653,20.7,409.0,94.0,22.1,0.9498,4.8,262.0,11.0,4.5,1.133,16.3,361.0,74.0,18.4
113,MT GRAHAM REGIONAL MEDICAL CENTER (030068),2015,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,,,,1.0654,18.7,72.0,19.0,19.9,1.0265,19.3,48.0,11.0,19.8,1.0802,4.3,,,4.7,1.0157,14.0,148.0,22.0,14.3
114,HAVASU REGIONAL MEDICAL CENTER (030069),2015,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,0.9207,15.6,274.0,35.0,14.3,1.005,18.6,324.0,61.0,18.7,1.0073,20.7,377.0,79.0,20.8,0.9369,4.7,590.0,25.0,4.4,0.9332,15.8,332.0,45.0,14.8
115,FORT DEFIANCE INDIAN HOSPITAL (030071),2015,Acute Care,Government - Federal,54.0,,,AZ,,,,,,,,,,,1.0593,19.7,37.0,11.0,20.9,,,,,,0.9639,12.3,202.0,22.0,11.9
116,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2015,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,,,,,,,,,1.0895,18.4,51.0,15.0,20.0,1.0882,4.1,,,4.5,1.0457,13.3,154.0,24.0,13.9
117,SELLS INDIAN HEALTH SERVICE HOSPITAL (030074),2015,Acute Care,Government - Federal,13.0,,,AZ,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,
118,SAN CARLOS INDIAN HOSPITAL (030077),2015,Acute Care,Government - Federal,9.0,,,AZ,,,,,,,,,,,,,,,,,,,,,,,0.0,,
119,PHOENIX INDIAN MEDICAL CENTER (030078),2015,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,,,,,,,,,,,,,,,,,,,1.0066,15.1,,,15.2
120,PARADISE VALLEY HOSPITAL (030083),2015,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,0.9745,16.9,,,16.4,0.9545,19.8,108.0,17.0,18.9,1.0456,21.7,90.0,23.0,22.6,1.0253,4.0,,,4.1,1.0101,16.6,134.0,23.0,16.7
121,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2015,Acute Care,Government - Federal,60.0,,,AZ,,,,,,,,,,,1.042,18.9,,,19.7,,,,,,0.9614,12.6,183.0,20.0,12.1
122,NORTHWEST MEDICAL CENTER (030085),2015,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,1.0067,15.5,177.0,28.0,15.6,1.0333,18.4,383.0,75.0,19.0,0.9111,21.0,346.0,61.0,19.2,0.9309,4.8,950.0,41.0,4.4,1.008,15.9,541.0,87.0,16.0
123,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER (030087),2015,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,0.9578,15.4,280.0,39.0,14.7,0.9365,21.1,313.0,57.0,19.8,0.9878,22.2,579.0,126.0,21.9,0.8017,4.6,1287.0,44.0,3.7,0.963,17.0,607.0,97.0,16.4
124,BANNER BAYWOOD MEDICAL CENTER (030088),2015,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,0.9844,18.0,,,17.7,1.0222,19.3,871.0,173.0,19.7,1.1385,22.1,426.0,115.0,25.2,0.9993,5.5,694.0,38.0,5.5,1.0359,16.9,792.0,141.0,17.5
125,BANNER THUNDERBIRD MEDICAL CENTER (030089),2015,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,1.1335,17.7,210.0,49.0,20.1,1.0325,20.5,456.0,99.0,21.2,1.0575,23.3,505.0,128.0,24.7,1.1889,4.7,143.0,11.0,5.5,1.0574,17.9,420.0,83.0,18.9
126,JOHN C LINCOLN DEER VALLEY HOSPITAL (030092),2015,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,0.9746,14.2,125.0,16.0,13.8,1.0311,18.9,214.0,44.0,19.5,1.0679,22.1,238.0,60.0,23.6,0.9669,4.6,,,4.5,0.8951,15.9,228.0,26.0,14.2
127,BANNER DEL E WEBB MEDICAL CENTER (030093),2015,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,0.925,15.4,372.0,49.0,14.3,1.0135,19.4,533.0,106.0,19.7,0.9844,20.5,590.0,118.0,20.2,1.1114,5.0,777.0,45.0,5.5,0.9655,15.9,595.0,89.0,15.3
128,ARROWHEAD HOSPITAL (030094),2015,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,0.9286,16.9,,,15.7,0.9857,19.1,176.0,32.0,18.8,0.9637,23.1,158.0,33.0,22.3,0.9751,4.8,416.0,19.0,4.7,1.0505,16.8,233.0,44.0,17.6
129,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2015,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,0.9795,17.2,173.0,28.0,16.8,1.0501,21.3,498.0,115.0,22.3,1.0502,23.5,365.0,93.0,24.7,1.0692,5.2,336.0,20.0,5.6,1.0659,18.0,225.0,47.0,19.1
130,MAYO CLINIC HOSPITAL (030103),2015,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,0.9143,16.6,228.0,30.0,15.2,0.9148,20.5,189.0,29.0,18.8,0.9068,22.7,504.0,98.0,20.6,0.8397,5.1,1056.0,42.0,4.3,1.0386,17.5,423.0,79.0,18.1
131,BANNER HEART HOSPITAL (030105),2015,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,0.9481,15.7,524.0,75.0,14.8,0.9387,21.1,,,19.8,0.9059,20.8,893.0,163.0,18.9,,,,,,1.0565,16.4,,,17.4
132,ARIZONA SPINE AND JOINT HOSPITAL (030107),2015,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,,,,,,,,,,,,,,1.1173,4.0,718.0,34.0,4.5,,,,,
133,"SURGICAL HOSPITAL OF PHOENIX, THE (030108)",2015,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,,,,,,,,,,,,,,1.1476,5.1,,,5.9,,,,,
134,WEST VALLEY HOSPITAL (030110),2015,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,1.0724,15.9,142.0,28.0,17.1,1.0639,21.4,194.0,49.0,22.8,0.9691,23.1,151.0,32.0,22.4,,,,,,0.9968,17.6,212.0,37.0,17.5
135,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2015,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,0.9684,15.6,84.0,11.0,15.1,0.9535,20.0,,,19.1,0.9764,21.6,73.0,14.0,21.1,,,,,,1.006,16.8,63.0,11.0,16.9
136,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP (030112),2015,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,,,,,,,,,,,,,,1.2848,4.3,443.0,29.0,5.5,,,,,
137,WHITERIVER PHS INDIAN HOSPITAL (030113),2015,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,,,,,,,,,,,,,,,,,,,0.9064,13.1,,,11.9
138,ORO VALLEY HOSPITAL (030114),2015,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,0.9675,14.8,117.0,15.0,14.3,1.0652,17.6,179.0,38.0,18.7,1.0185,20.6,181.0,39.0,21.0,0.8186,4.5,722.0,23.0,3.7,1.0572,15.2,222.0,39.0,16.1
139,BANNER ESTRELLA MEDICAL CENTER (030115),2015,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,1.066,15.1,122.0,23.0,16.1,0.9955,21.6,183.0,39.0,21.5,1.0348,23.7,220.0,56.0,24.5,1.3177,4.8,111.0,12.0,6.4,1.0461,18.2,253.0,51.0,19.1
140,VALLEY VIEW MEDICAL CENTER (030117),2015,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,0.9727,16.8,,,16.4,1.0067,19.6,231.0,46.0,19.7,1.0096,22.2,140.0,32.0,22.5,1.4486,4.9,117.0,15.0,7.2,1.0805,17.3,109.0,25.0,18.6
141,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS (030118),2015,Acute Care,Proprietary,61.0,,,AZ,,,,,,0.9668,19.5,193.0,34.0,18.9,1.0204,20.3,91.0,20.0,20.7,0.8652,4.5,,,3.9,1.0533,15.0,208.0,36.0,15.8
142,MERCY GILBERT MEDICAL CENTER (030119),2015,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,0.9489,17.5,101.0,14.0,16.6,0.9656,20.2,311.0,58.0,19.5,0.9407,22.7,270.0,54.0,21.3,1.0742,4.6,281.0,15.0,4.9,0.9294,17.0,326.0,47.0,15.8
143,GILBERT HOSPITAL (030120),2015,Acute Care,Proprietary,19.0,,,AZ,,,,,,0.9982,17.6,,,17.6,1.0427,20.2,41.0,11.0,21.0,,,,,,0.9667,14.9,104.0,13.0,14.4
144,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2015,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,0.9415,15.9,181.0,24.0,15.0,1.0348,19.5,250.0,53.0,20.2,1.0358,22.4,245.0,59.0,23.2,1.2385,4.6,282.0,20.0,5.7,1.0429,15.7,309.0,53.0,16.3
145,BANNER GATEWAY MEDICAL CENTER (030122),2015,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,,,,,,1.0393,19.4,194.0,42.0,20.2,0.9891,21.0,167.0,34.0,20.7,1.0083,5.1,,,5.2,0.9793,16.5,162.0,25.0,16.2
146,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL (030123),2015,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,0.9807,14.9,,,14.6,0.9982,20.0,101.0,20.0,19.9,0.9525,20.8,140.0,25.0,19.8,0.8502,4.5,411.0,13.0,3.9,0.9788,15.3,195.0,28.0,15.0
147,BANNER IRONWOOD MEDICAL CENTER (030130),2015,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,,,,,,0.9958,17.7,64.0,11.0,17.6,0.9889,22.0,,,21.7,,,,,,0.9976,15.1,,,15.1
148,OASIS HOSPITAL (030131),2015,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,,,,,,,,,,,,,,0.747,4.2,954.0,25.0,3.2,,,,,
149,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2015,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,,,,,,0.9723,18.2,130.0,21.0,17.7,1.0956,20.0,95.0,26.0,21.9,,,,,,1.0068,15.0,196.0,30.0,15.1
150,JOHNSON REGIONAL MEDICAL CENTER (040002),2015,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,,,,,,1.0042,16.5,113.0,19.0,16.6,0.9792,19.4,80.0,14.0,19.0,0.9647,4.6,,,4.4,1.08,13.3,186.0,31.0,14.3
151,WASHINGTON REGIONAL MED CTR AT NORTH HILLS (040004),2015,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,0.9467,14.6,345.0,45.0,13.9,0.9369,19.1,351.0,58.0,17.9,0.9195,21.0,620.0,115.0,19.3,0.7418,5.0,598.0,17.0,3.7,0.9113,15.6,397.0,51.0,14.2
152,ST VINCENT INFIRMARY MEDICAL CENTER (040007),2015,Acute Care,Voluntary non-profit - Private,414.0,,,AR,0.9207,15.9,180.0,22.0,14.6,1.0296,19.3,307.0,63.0,19.8,1.0233,21.5,726.0,161.0,22.0,1.1255,5.2,1061.0,64.0,5.8,0.9266,15.4,444.0,59.0,14.3
153,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2015,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,0.9783,16.2,234.0,36.0,15.9,0.9613,20.3,215.0,39.0,19.5,0.8749,21.7,398.0,68.0,19.0,0.9955,5.0,304.0,15.0,5.0,0.9469,17.1,329.0,50.0,16.2
154,CHAMBERS MEMORIAL HOSPITAL (040011),2015,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,1.0602,22.5,49.0,15.0,23.8,1.1426,20.5,213.0,60.0,23.5,1.1004,22.2,108.0,32.0,24.4,,,,,,1.1479,16.8,128.0,33.0,19.3
155,WHITE COUNTY MEDICAL CENTER (040014),2015,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,0.987,15.7,224.0,34.0,15.5,1.0057,19.6,611.0,121.0,19.7,1.0422,21.4,654.0,148.0,22.3,1.3524,5.3,201.0,20.0,7.2,1.143,16.5,854.0,169.0,18.9
156,MENA REGIONAL HEALTH SYSTEM (040015),2015,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,,,,,,0.8962,19.3,259.0,37.0,17.3,0.9769,20.8,100.0,19.0,20.3,,,,,,0.9752,16.8,125.0,19.0,16.4
157,UAMS MEDICAL CENTER (040016),2015,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,1.1741,18.5,120.0,35.0,21.7,0.9958,20.8,137.0,28.0,20.7,1.0689,24.3,265.0,73.0,26.0,0.8905,5.6,,,5.0,1.0281,19.2,397.0,80.0,19.7
158,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2015,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,1.0026,21.8,,,21.8,0.9098,18.1,235.0,32.0,16.4,0.9757,20.9,193.0,38.0,20.4,1.1263,5.0,212.0,14.0,5.6,0.9591,15.8,624.0,92.0,15.1
159,SUMMIT MEDICAL CENTER (040018),2015,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,,,,,1.1475,20.3,119.0,38.0,23.2,1.0419,22.2,76.0,20.0,23.1,0.9645,4.4,,,4.2,1.0892,16.1,131.0,28.0,17.5
160,FORREST CITY MEDICAL CENTER (040019),2015,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,,,,,,0.9681,16.1,98.0,13.0,15.5,1.0542,21.9,73.0,20.0,23.1,,,,,,1.0419,13.9,94.0,16.0,14.5
161,ST BERNARDS MEDICAL CENTER (040020),2015,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,1.0783,15.5,426.0,75.0,16.7,0.9496,19.4,688.0,123.0,18.4,0.9,21.7,651.0,121.0,19.5,1.1115,5.1,482.0,29.0,5.6,0.9407,16.7,577.0,87.0,15.7
162,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2015,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,1.1326,16.4,394.0,80.0,18.6,1.0172,19.7,487.0,99.0,20.1,0.9864,22.2,594.0,129.0,21.9,1.1189,5.0,162.0,11.0,5.6,1.0262,16.7,453.0,79.0,17.1
163,MERCY HOSPITAL HOT SPRINGS (040026),2015,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,0.9775,14.5,241.0,33.0,14.2,0.9722,18.7,396.0,70.0,18.2,0.9549,21.1,689.0,136.0,20.1,0.9697,5.0,667.0,32.0,4.9,0.9559,16.7,868.0,136.0,16.0
164,BAXTER REGIONAL MEDICAL CENTER (040027),2015,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,1.0958,15.2,367.0,66.0,16.7,1.0232,17.8,547.0,101.0,18.2,1.0056,20.8,610.0,128.0,20.9,1.1069,4.8,512.0,29.0,5.3,1.1656,15.8,790.0,155.0,18.5
165,CONWAY REGIONAL MEDICAL CENTER (040029),2015,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,0.9027,14.1,198.0,20.0,12.7,1.0949,18.1,301.0,66.0,19.8,0.9289,20.7,209.0,36.0,19.2,1.051,4.9,311.0,17.0,5.2,0.991,15.7,499.0,77.0,15.5
166,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2015,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,0.9981,15.6,329.0,51.0,15.5,0.9912,18.9,468.0,87.0,18.7,1.2166,22.1,589.0,170.0,26.9,0.966,5.6,326.0,17.0,5.4,1.1032,16.6,627.0,121.0,18.4
167,ARKANSAS METHODIST MEDICAL CENTER (040039),2015,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,1.1434,16.9,123.0,31.0,19.3,1.0152,18.1,304.0,57.0,18.4,1.1433,20.5,248.0,66.0,23.5,1.0766,5.2,,,5.6,1.0905,15.5,391.0,71.0,16.9
168,ST MARYS REGIONAL MEDICAL CENTER (040041),2015,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,1.0675,16.6,127.0,26.0,17.7,0.9864,19.8,241.0,46.0,19.5,1.019,20.9,272.0,59.0,21.3,0.9797,5.0,,,4.9,0.927,14.8,323.0,40.0,13.7
169,FIVE RIVERS MEDICAL CENTER (040047),2015,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,,,,,,0.9821,17.5,,,17.2,1.0606,21.0,88.0,23.0,22.3,,,,,,1.0408,16.2,223.0,40.0,16.9
170,OUACHITA COUNTY MEDICAL CENTER (040050),2015,Acute Care,Voluntary non-profit - Private,97.0,,,AR,,,,,,0.9336,17.9,131.0,17.0,16.7,0.9597,20.2,120.0,21.0,19.4,,,,,,0.9747,14.4,110.0,14.0,14.1
171,DREW MEMORIAL HOSPITAL (040051),2015,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,,,,,,1.0823,18.5,131.0,32.0,20.1,1.0198,22.9,115.0,28.0,23.3,,,,,,1.0321,15.9,360.0,61.0,16.4
172,SPARKS REGIONAL MEDICAL CENTER (040055),2015,Acute Care,Proprietary,288.0,35.374527,-94.421311,AR,1.0548,17.6,529.0,101.0,18.5,1.0064,21.2,809.0,173.0,21.3,1.0651,22.9,728.0,181.0,24.3,0.8146,5.5,347.0,12.0,4.5,0.8676,17.5,557.0,76.0,15.2
173,ST EDWARD MERCY MEDICAL CENTER (040062),2015,Acute Care,Voluntary non-profit - Private,367.0,35.353647,-94.352964,AR,0.8995,14.7,306.0,35.0,13.2,0.8627,20.3,392.0,58.0,17.5,0.9985,22.3,522.0,116.0,22.2,0.8682,5.0,632.0,25.0,4.4,0.8503,16.2,474.0,56.0,13.8
174,MAGNOLIA HOSPITAL (040067),2015,Acute Care,Government - Local,38.0,33.275123,-93.240071,AR,,,,,,1.0643,18.2,147.0,33.0,19.4,1.0115,21.7,138.0,31.0,22.0,,,,,,0.9411,14.8,126.0,14.0,13.9
175,GREAT RIVER MEDICAL CENTER (040069),2015,Acute Care,Voluntary non-profit - Other,106.0,35.943011,-89.918929,AR,,,,,,1.0527,19.9,82.0,21.0,21.0,1.0483,20.0,78.0,19.0,20.9,,,,,,1.1441,16.4,138.0,34.0,18.7
