,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
71,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL (010150),2021,Acute Care,Proprietary,56.0,31.82945,-86.64586,AL,40.0,22.9,88.0,15.2,42.0,17.3,58.0,19.8,,,,,,,,,,,,,40.0,15.3,36.0,12.0,42.0,-0.1,40.0,11.0,,272.0,17.9,42.0,1.0
72,SHOALS HOSPITAL (010157),2021,Acute Care,Government - Hospital District or Authority,184.0,34.744941,-87.676511,AL,29.0,22.0,42.0,15.3,65.0,16.4,43.0,20.2,,,,,,,,,,,,,29.0,19.7,26.0,9.0,65.0,-18.6,62.0,18.0,,343.0,17.1,51.0,1.1
73,RUSSELLVILLE HOSPITAL (010158),2021,Acute Care,Proprietary,74.0,34.511165,-87.717585,AL,56.0,21.1,163.0,15.5,128.0,17.6,129.0,21.9,36.0,3.7,,,,,,,,,,,56.0,6.7,49.0,12.0,128.0,6.5,117.0,30.0,,155.0,17.6,69.0,1.1
74,COOSA VALLEY MEDICAL CENTER (010164),2021,Acute Care,Voluntary non-profit - Other,201.0,33.164666,-86.254598,AL,107.0,23.2,209.0,15.3,138.0,17.1,75.0,20.2,35.0,3.9,,,,,56.0,8.9,,,,,107.0,22.6,88.0,36.0,138.0,16.7,131.0,36.0,11.9,465.0,17.9,94.0,1.0
75,JACK HUGHSTON MEMORIAL HOSPITAL (010168),2021,Acute Care,Government - State,52.0,32.509045,-85.005696,AL,26.0,20.5,429.0,15.2,26.0,16.6,28.0,19.4,1016.0,3.3,,,,,,,,,,,26.0,-35.3,20.0,7.0,26.0,49.8,25.0,3.0,,175.0,16.8,264.0,1.0
76,ATMORE COMMUNITY HOSPITAL (010169),2021,Acute Care,Government - Hospital District or Authority,48.0,31.01657,-87.479735,AL,63.0,21.8,79.0,15.5,83.0,17.8,41.0,19.7,,,,,,,,,,,,,63.0,-27.8,57.0,25.0,83.0,6.0,75.0,28.0,,164.0,16.9,,
77,ST VINCENT'S CHILTON (010173),2021,Acute Care,Voluntary non-profit - Church,26.0,32.876585,-86.623511,AL,,,44.0,15.5,32.0,17.1,,,,,,,,,,,,,,,,,,,32.0,12.6,30.0,8.0,,208.0,16.3,,
78,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2021,Acute Care (VA),Government - Federal,,,,,92.0,21.2,101.0,15.5,57.0,15.5,81.0,18.8,,,,,,,,,,,,,92.0,25.0,77.0,24.0,57.0,-43.6,52.0,8.0,,,,,
79,RED BAY HOSPITAL (011302),2021,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,,,25.0,16.3,,,,,,,,,,,,,,,,,,,25.0,-22.4,24.0,6.0,,,,,
80,CHOCTAW GENERAL HOSPITAL (011304),2021,Critical Access,Voluntary non-profit - Private,25.0,,,AL,,,,,25.0,17.1,,,,,,,,,,,,,,,,,,,25.0,-1.5,25.0,11.0,,,,,
81,ST VINCENTS BLOUNT (011305),2021,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,,,45.0,15.3,63.0,16.5,36.0,19.1,,,,,,,,,,,,,,,,,63.0,-6.5,57.0,13.0,,170.0,19.0,,
82,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2021,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,,,26.0,15.6,31.0,16.9,,,,,,,,,,,,,,,,,,,31.0,14.8,29.0,10.0,,30.0,16.2,,
83,PROVIDENCE ALASKA MEDICAL CENTER (020001),2021,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,416.0,21.5,1335.0,14.5,292.0,16.6,216.0,19.6,277.0,4.4,393.0,14.9,86.0,11.8,114.0,6.0,393.0,0.0,378.0,107.0,416.0,41.9,357.0,112.0,292.0,28.1,279.0,70.0,12.2,485.0,21.8,478.0,1.1
84,MAT-SU REGIONAL MEDICAL CENTER (020006),2021,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,117.0,21.3,529.0,15.1,297.0,15.8,96.0,19.4,125.0,4.4,80.0,15.7,,,39.0,6.2,80.0,-18.8,75.0,26.0,117.0,-31.8,96.0,37.0,297.0,4.7,264.0,73.0,10.9,842.0,16.4,329.0,0.9
85,BARTLETT REGIONAL HOSPITAL (020008),2021,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,55.0,21.3,187.0,15.3,57.0,17.1,40.0,18.9,111.0,4.5,,,,,40.0,5.5,,,,,55.0,-18.9,47.0,15.0,57.0,97.0,53.0,13.0,11.3,611.0,16.7,97.0,1.1
86,FAIRBANKS MEMORIAL HOSPITAL (020012),2021,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,113.0,20.4,305.0,15.4,104.0,16.3,82.0,20.1,185.0,3.6,65.0,15.0,,,37.0,5.7,65.0,-32.9,65.0,13.0,113.0,-37.7,86.0,32.0,104.0,-0.7,100.0,23.0,10.8,1177.0,17.8,195.0,0.8
87,ALASKA REGIONAL HOSPITAL (020017),2021,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,154.0,21.9,911.0,14.2,190.0,14.9,70.0,21.0,678.0,4.3,141.0,14.6,68.0,10.2,,,141.0,-15.8,139.0,46.0,154.0,33.2,127.0,49.0,190.0,-12.6,180.0,41.0,,528.0,17.1,187.0,1.6
88,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2021,Acute Care,Tribal,34.0,,,AK,29.0,21.9,66.0,15.0,86.0,15.1,,,,,,,,,,,,,,,29.0,10.7,20.0,5.0,86.0,32.7,75.0,5.0,,,,,
89,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2021,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,113.0,23.6,314.0,15.9,119.0,16.9,111.0,19.4,162.0,4.9,,,,,80.0,7.3,,,,,113.0,19.9,85.0,32.0,119.0,9.3,113.0,34.0,12.6,487.0,14.9,287.0,1.1
90,ALASKA NATIVE MEDICAL CENTER (020026),2021,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,121.0,23.3,520.0,15.5,174.0,16.3,134.0,19.4,100.0,4.2,46.0,14.7,,,68.0,4.7,46.0,-25.2,43.0,3.0,121.0,58.1,95.0,33.0,174.0,41.6,156.0,30.0,12.3,,,,
91,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2021,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,33.0,15.5,,,35.0,19.6,,,,,,,,,,,,,,,,,,,,,,,,,
92,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2021,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,110.0,15.3,72.0,17.6,42.0,19.0,60.0,4.2,,,,,31.0,6.2,,,,,,,,,72.0,3.0,61.0,18.0,11.3,,,,
93,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2021,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,44.0,15.8,,,27.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
94,SOUTH PENINSULA HOSPITAL (021313),2021,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,92.0,15.6,52.0,16.5,43.0,18.9,38.0,4.0,,,,,32.0,6.7,,,,,,,,,52.0,-22.9,46.0,10.0,12.7,166.0,16.5,,
95,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2021,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,294.0,22.4,1288.0,15.2,206.0,16.0,106.0,19.4,54.0,4.3,184.0,16.4,67.0,11.0,103.0,5.5,184.0,12.0,178.0,51.0,294.0,20.0,259.0,104.0,206.0,-2.8,194.0,54.0,10.3,391.0,17.6,336.0,1.2
96,TUCSON MEDICAL CENTER (030006),2021,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,664.0,22.4,2415.0,14.7,498.0,16.9,283.0,19.3,929.0,3.1,316.0,16.8,122.0,11.9,42.0,5.3,316.0,9.7,311.0,87.0,664.0,5.5,573.0,189.0,498.0,12.1,468.0,115.0,10.8,95.0,17.4,1050.0,1.0
97,VERDE VALLEY MEDICAL CENTER (030007),2021,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,206.0,19.0,508.0,14.4,395.0,14.5,100.0,20.0,90.0,4.2,123.0,14.0,,,61.0,6.8,123.0,-35.1,122.0,28.0,206.0,-49.3,175.0,60.0,395.0,-29.4,363.0,87.0,10.6,1176.0,17.3,417.0,0.8
98,ST. MARY'S HOSPITAL (030010),2021,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,151.0,21.3,658.0,15.1,252.0,17.0,102.0,19.5,67.0,3.7,132.0,16.1,62.0,13.2,,,132.0,12.6,127.0,34.0,151.0,-12.8,133.0,42.0,252.0,16.8,227.0,64.0,,44.0,16.0,288.0,1.4
99,ST JOSEPH'S HOSPITAL (030011),2021,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,250.0,21.3,1076.0,15.1,336.0,16.2,269.0,20.0,419.0,3.2,148.0,15.5,,,,,148.0,-7.1,145.0,38.0,250.0,-3.4,217.0,66.0,336.0,11.3,319.0,70.0,,314.0,15.1,569.0,0.8
100,YAVAPAI REGIONAL MEDICAL CENTER (030012),2021,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,374.0,21.7,1411.0,15.6,708.0,15.5,240.0,20.7,464.0,3.5,327.0,16.3,124.0,17.2,,,327.0,7.8,316.0,103.0,374.0,-4.7,314.0,119.0,708.0,-13.3,642.0,159.0,,2897.0,14.0,739.0,1.1
101,YUMA REGIONAL MEDICAL CENTER (030013),2021,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,580.0,20.3,1337.0,13.6,844.0,16.4,359.0,17.9,551.0,3.2,428.0,13.2,137.0,13.4,315.0,8.3,428.0,-2.3,415.0,102.0,580.0,24.5,483.0,168.0,844.0,21.8,781.0,212.0,10.0,521.0,17.2,958.0,1.1
102,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2021,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,238.0,21.8,942.0,15.6,421.0,16.4,155.0,18.8,207.0,3.8,111.0,16.4,35.0,13.4,825.0,4.5,111.0,22.9,109.0,29.0,238.0,6.4,205.0,57.0,421.0,4.2,371.0,95.0,12.2,189.0,16.8,294.0,0.8
103,BANNER CASA GRANDE MEDICAL CENTER (030016),2021,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,192.0,19.3,421.0,14.6,368.0,18.5,106.0,21.1,115.0,4.1,108.0,16.1,,,,,108.0,11.6,106.0,26.0,192.0,4.7,161.0,52.0,368.0,53.1,312.0,109.0,,94.0,17.9,330.0,1.0
104,VALLEYWISE HEALTH MEDICAL CENTER (030022),2021,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,31.0,21.8,147.0,16.0,31.0,16.5,,,,,,,,,,,,,,,31.0,28.5,22.0,9.0,31.0,-2.4,29.0,11.0,,108.0,15.9,,
105,FLAGSTAFF MEDICAL CENTER (030023),2021,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,257.0,19.8,1213.0,14.4,343.0,15.2,82.0,19.5,472.0,4.0,179.0,14.6,75.0,13.3,,,179.0,6.8,178.0,41.0,257.0,-27.4,230.0,60.0,343.0,2.7,322.0,70.0,,56.0,17.3,448.0,0.9
106,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2021,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,179.0,21.8,1730.0,15.2,359.0,17.1,131.0,19.1,28.0,3.8,114.0,16.8,54.0,13.4,196.0,5.7,114.0,4.6,112.0,40.0,179.0,-2.0,154.0,57.0,359.0,15.0,334.0,98.0,9.8,380.0,15.6,811.0,1.1
107,ABRAZO CENTRAL CAMPUS (030030),2021,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,68.0,21.4,306.0,15.7,114.0,16.0,60.0,20.9,,,37.0,15.2,,,,,37.0,-13.9,34.0,8.0,68.0,6.6,51.0,15.0,114.0,32.6,111.0,23.0,,152.0,17.4,186.0,1.1
108,CHANDLER REGIONAL MEDICAL CENTER (030036),2021,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,529.0,20.4,2208.0,15.6,986.0,15.4,337.0,21.0,189.0,3.9,332.0,16.7,132.0,12.7,32.0,5.5,332.0,4.2,320.0,105.0,529.0,-13.8,447.0,148.0,986.0,-3.5,904.0,228.0,12.2,164.0,16.5,959.0,1.2
109,ST LUKE'S MEDICAL CENTER (030037),2021,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,43.0,20.2,189.0,15.6,42.0,17.0,,,610.0,3.6,37.0,15.5,,,,,37.0,0.5,34.0,11.0,43.0,-5.3,36.0,6.0,42.0,0.8,42.0,14.0,,82.0,16.8,157.0,1.1
110,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2021,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,300.0,21.7,1600.0,16.3,450.0,15.8,177.0,20.1,394.0,3.8,114.0,15.8,,,,,114.0,31.5,111.0,32.0,300.0,13.9,261.0,67.0,450.0,1.7,397.0,101.0,,847.0,19.0,842.0,0.9
111,CANYON VISTA MEDICAL CENTER (030043),2021,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,185.0,22.7,549.0,14.7,279.0,14.7,153.0,19.7,219.0,3.9,125.0,15.8,,,,,125.0,12.4,120.0,33.0,185.0,-10.2,159.0,64.0,279.0,-11.0,255.0,55.0,,614.0,16.8,231.0,0.8
112,KINGMAN REGIONAL MEDICAL CENTER (030055),2021,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,337.0,20.9,640.0,14.4,462.0,17.1,184.0,20.1,107.0,4.4,182.0,14.3,53.0,13.3,142.0,10.5,182.0,-24.2,172.0,49.0,337.0,4.6,273.0,98.0,462.0,27.0,397.0,129.0,10.0,780.0,14.5,252.0,1.0
113,BANNER BOSWELL MEDICAL CENTER (030061),2021,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,600.0,20.8,1519.0,15.6,939.0,16.2,277.0,19.0,388.0,3.6,305.0,14.7,181.0,13.1,149.0,6.5,305.0,2.6,292.0,76.0,600.0,17.5,501.0,180.0,939.0,7.8,836.0,238.0,13.1,659.0,22.9,982.0,1.2
114,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2021,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,137.0,20.3,470.0,15.5,204.0,15.4,134.0,18.4,209.0,3.9,64.0,15.5,,,138.0,5.7,64.0,19.9,62.0,15.0,137.0,-28.6,124.0,38.0,204.0,-3.7,193.0,44.0,10.2,682.0,16.2,283.0,1.2
115,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2021,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,261.0,20.6,1166.0,15.9,313.0,16.3,83.0,19.5,37.0,3.7,132.0,15.1,48.0,11.4,589.0,6.4,132.0,0.9,126.0,31.0,261.0,-8.1,220.0,78.0,313.0,30.2,300.0,86.0,11.9,627.0,18.3,548.0,1.3
116,BANNER DESERT MEDICAL CENTER (030065),2021,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,383.0,20.5,1713.0,16.2,640.0,17.1,284.0,20.6,78.0,3.9,178.0,15.6,63.0,13.6,31.0,5.3,178.0,-10.0,172.0,46.0,383.0,-1.5,312.0,101.0,640.0,24.6,579.0,148.0,11.7,260.0,16.5,693.0,1.1
117,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2021,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,66.0,15.2,58.0,16.5,27.0,20.2,73.0,3.9,,,,,,,,,,,,,,,58.0,-2.6,50.0,17.0,,208.0,17.1,72.0,1.1
118,HAVASU REGIONAL MEDICAL CENTER (030069),2021,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,379.0,21.9,880.0,16.1,322.0,17.9,252.0,17.9,333.0,4.2,275.0,16.3,97.0,16.6,150.0,6.0,275.0,33.6,269.0,76.0,379.0,-6.0,328.0,112.0,322.0,30.4,305.0,86.0,9.6,2067.0,16.3,662.0,0.9
119,FORT DEFIANCE INDIAN HOSPITAL (030071),2021,Acute Care,Government - Federal,54.0,,,AZ,45.0,21.6,191.0,15.6,135.0,15.9,27.0,19.1,,,,,,,,,,,,,45.0,17.2,34.0,10.0,135.0,-7.4,106.0,19.0,,,,,
120,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2021,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,196.0,15.3,160.0,16.8,,,60.0,4.0,,,,,,,,,,,,,,,160.0,7.9,135.0,29.0,,,,,
121,PHOENIX INDIAN MEDICAL CENTER (030078),2021,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,42.0,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,ABRAZO SCOTTSDALE CAMPUS (030083),2021,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,81.0,22.7,416.0,17.3,156.0,17.6,56.0,18.9,316.0,4.9,46.0,16.0,,,,,46.0,15.9,46.0,12.0,81.0,30.8,72.0,26.0,156.0,42.4,149.0,43.0,,32.0,16.6,188.0,0.8
123,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2021,Acute Care,Government - Federal,60.0,,,AZ,36.0,21.4,118.0,15.3,93.0,17.0,,,,,,,,,,,,,,,36.0,-21.8,29.0,7.0,93.0,8.4,79.0,16.0,,,,,
124,NORTHWEST MEDICAL CENTER (030085),2021,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,323.0,19.9,1378.0,14.6,420.0,16.8,240.0,21.2,499.0,4.3,183.0,16.3,63.0,14.1,53.0,6.0,183.0,-14.5,179.0,53.0,323.0,-7.0,275.0,75.0,420.0,-11.0,386.0,93.0,10.6,1630.0,14.7,1144.0,0.9
125,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2021,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,632.0,22.0,2430.0,15.7,825.0,17.4,204.0,19.7,1065.0,4.0,235.0,16.3,111.0,15.5,164.0,4.9,235.0,16.2,232.0,65.0,632.0,11.1,521.0,169.0,825.0,4.6,753.0,191.0,15.7,1615.0,16.1,1652.0,1.0
126,BANNER BAYWOOD MEDICAL CENTER (030088),2021,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,405.0,20.1,1414.0,15.0,919.0,16.1,308.0,16.2,352.0,3.2,31.0,15.0,,,36.0,5.7,31.0,-43.8,31.0,9.0,405.0,-13.0,374.0,115.0,919.0,15.0,848.0,226.0,11.0,427.0,21.2,639.0,1.1
127,BANNER THUNDERBIRD MEDICAL CENTER (030089),2021,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,387.0,19.4,1066.0,15.0,575.0,16.7,145.0,19.1,75.0,4.0,169.0,14.3,68.0,12.9,,,169.0,0.5,162.0,45.0,387.0,8.0,308.0,104.0,575.0,31.8,522.0,154.0,,301.0,16.5,374.0,1.1
128,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2021,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,241.0,21.0,1109.0,15.3,408.0,17.6,185.0,19.6,323.0,4.0,123.0,15.9,31.0,11.9,,,123.0,28.4,121.0,27.0,241.0,6.4,200.0,62.0,408.0,6.9,369.0,96.0,,1596.0,15.1,736.0,0.8
129,BANNER DEL E. WEBB MEDICAL CENTER (030093),2021,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,581.0,21.2,1736.0,13.6,1038.0,14.9,380.0,19.6,476.0,3.8,287.0,15.1,,,27.0,6.4,287.0,-2.2,277.0,70.0,581.0,7.8,477.0,162.0,1038.0,3.1,951.0,225.0,11.2,1495.0,18.7,949.0,1.0
130,ABRAZO ARROWHEAD HOSPITAL (030094),2021,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,390.0,21.0,1271.0,15.4,350.0,16.6,153.0,21.1,292.0,4.3,257.0,16.5,113.0,14.6,,,257.0,13.5,248.0,66.0,390.0,-9.0,327.0,110.0,350.0,4.3,324.0,86.0,,903.0,15.0,754.0,1.2
131,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2021,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,275.0,22.6,459.0,16.2,201.0,17.8,225.0,19.5,32.0,4.3,144.0,16.5,,,,,144.0,21.4,141.0,41.0,275.0,7.1,224.0,96.0,201.0,49.5,196.0,57.0,,1193.0,15.5,204.0,1.3
132,MAYO CLINIC HOSPITAL (030103),2021,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,762.0,21.4,2705.0,15.0,844.0,17.0,167.0,17.6,980.0,3.5,185.0,15.4,49.0,12.6,327.0,5.7,185.0,-10.5,179.0,54.0,762.0,-3.3,623.0,222.0,844.0,0.0,773.0,229.0,13.4,1471.0,18.8,2271.0,0.8
133,BANNER HEART HOSPITAL (030105),2021,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,462.0,19.1,594.0,14.6,33.0,16.4,,,,,532.0,15.1,217.0,11.6,,,532.0,-8.3,521.0,142.0,462.0,-22.2,412.0,126.0,33.0,-19.2,33.0,8.0,,,,186.0,0.9
134,ARIZONA SPINE AND JOINT HOSPITAL (030107),2021,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,244.0,14.2,,,,,892.0,3.3,,,,,,,,,,,,,,,,,,,,,,616.0,1.0
135,THE CORE INSTITUTE SPECIALTY HOSP (030108),2021,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,252.0,15.4,,,,,868.0,3.7,,,,,,,,,,,,,,,,,,,,,,264.0,0.9
136,ABRAZO WEST CAMPUS (030110),2021,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,186.0,22.3,695.0,16.1,285.0,19.1,186.0,19.6,49.0,4.9,138.0,15.2,32.0,11.9,,,138.0,2.9,135.0,40.0,186.0,23.3,152.0,51.0,285.0,41.9,267.0,87.0,,499.0,14.3,174.0,0.9
137,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2021,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,68.0,21.1,224.0,15.2,121.0,16.3,30.0,19.3,,,68.0,15.3,,,,,68.0,-23.4,67.0,19.0,68.0,-3.4,62.0,15.0,121.0,-19.8,116.0,29.0,,349.0,15.3,292.0,0.9
138,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2021,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,130.0,15.8,,,,,538.0,4.3,,,,,,,,,,,,,,,,,,,,,,375.0,1.0
139,WHITERIVER PHS INDIAN HOSPITAL (030113),2021,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,49.0,15.7,38.0,15.6,,,,,,,,,,,,,,,,,,,38.0,-27.3,31.0,2.0,,,,,
140,ORO VALLEY HOSPITAL (030114),2021,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,291.0,22.5,793.0,15.4,294.0,17.5,168.0,20.5,736.0,4.2,109.0,14.7,,,,,109.0,-25.1,107.0,29.0,291.0,7.8,250.0,93.0,294.0,-6.5,278.0,73.0,,1171.0,15.6,323.0,0.9
141,BANNER ESTRELLA MEDICAL CENTER (030115),2021,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,257.0,20.6,577.0,15.2,328.0,16.3,110.0,19.0,71.0,4.6,98.0,15.8,30.0,13.2,,,98.0,28.3,95.0,26.0,257.0,-16.5,204.0,84.0,328.0,12.6,296.0,77.0,,423.0,15.6,326.0,1.1
142,VALLEY VIEW MEDICAL CENTER (030117),2021,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,106.0,23.6,171.0,15.5,119.0,16.4,102.0,19.7,126.0,4.2,43.0,16.1,,,,,43.0,4.1,41.0,14.0,106.0,28.2,92.0,40.0,119.0,-11.1,110.0,30.0,,119.0,16.0,132.0,1.3
143,MERCY GILBERT MEDICAL CENTER (030119),2021,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,326.0,20.9,1197.0,15.2,648.0,15.8,198.0,19.5,281.0,4.1,155.0,16.4,,,,,155.0,7.3,152.0,51.0,326.0,-3.3,280.0,90.0,648.0,2.0,587.0,147.0,,131.0,17.0,606.0,1.0
144,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2021,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,154.0,22.3,450.0,15.8,199.0,16.3,63.0,18.6,198.0,4.2,192.0,15.3,53.0,14.8,,,192.0,-6.2,188.0,51.0,154.0,12.0,140.0,50.0,199.0,4.1,194.0,52.0,,250.0,17.6,322.0,1.2
145,BANNER GATEWAY MEDICAL CENTER (030122),2021,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,112.0,20.0,573.0,15.4,367.0,16.2,76.0,19.4,,,,,,,699.0,5.3,,,,,112.0,-28.0,100.0,26.0,367.0,9.8,346.0,95.0,10.8,530.0,16.4,550.0,1.0
