,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
95,SEARHC WRANGELL MEDICAL CENTER-CAH (021305),2019,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,28.0,15.2,,,,,,,,,,,,,,,,,,
96,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2019,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,100.0,15.2,30.0,17.1,38.0,19.3,,,,,,,,,,,30.0,10.9,,
97,KETCHIKAN MEDICAL CENTER (021311),2019,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,32.0,22.2,282.0,15.5,92.0,16.3,46.0,19.4,50.0,4.1,,,,,,,32.0,-9.5,92.0,-0.9,,
98,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2019,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,43.0,15.4,25.0,16.0,25.0,19.7,,,,,,,,,,,25.0,-36.2,,
99,SOUTH PENINSULA HOSPITAL (021313),2019,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,201.0,15.1,54.0,16.0,60.0,18.6,25.0,4.5,,,,,,,,,54.0,-8.1,44.0,14.5
100,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2019,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,370.0,18.9,3330.0,14.6,271.0,15.8,136.0,18.9,144.0,4.8,281.0,14.2,104.0,11.6,281.0,-11.4,370.0,-7.9,271.0,-5.4,106.0,15.0
101,TUCSON MEDICAL CENTER (030006),2019,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,737.0,21.4,5786.0,15.6,613.0,16.8,354.0,19.3,1545.0,3.5,382.0,14.8,195.0,13.0,382.0,-5.7,737.0,-2.0,613.0,11.9,,
102,VERDE VALLEY MEDICAL CENTER (030007),2019,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,215.0,18.8,1492.0,13.4,423.0,14.3,161.0,18.8,180.0,3.9,135.0,13.6,,,135.0,-36.4,215.0,-37.8,423.0,-26.6,363.0,15.6
103,ST. MARY'S HOSPITAL (030010),2019,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,168.0,19.3,1771.0,15.2,242.0,16.8,143.0,17.7,57.0,4.3,188.0,15.3,68.0,14.1,188.0,-7.5,168.0,-30.8,242.0,6.7,,
104,ST JOSEPH'S HOSPITAL (030011),2019,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,285.0,17.2,2995.0,15.1,489.0,15.4,365.0,20.1,566.0,3.5,187.0,13.6,,,187.0,-29.6,286.0,-26.9,489.0,3.0,65.0,14.7
105,YAVAPAI REGIONAL MEDICAL CENTER (030012),2019,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,372.0,20.0,3671.0,14.6,760.0,16.0,338.0,19.8,543.0,4.2,430.0,14.8,135.0,16.0,430.0,-15.5,372.0,-12.3,762.0,-5.6,1007.0,13.2
106,YUMA REGIONAL MEDICAL CENTER (030013),2019,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,778.0,20.5,4367.0,14.4,1298.0,17.0,632.0,19.6,711.0,3.2,592.0,13.6,127.0,12.0,592.0,14.2,778.0,30.5,1298.0,28.8,118.0,14.4
107,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2019,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,320.0,21.0,2733.0,15.4,614.0,18.0,227.0,20.3,254.0,3.7,157.0,16.6,40.0,12.5,157.0,20.3,320.0,-21.4,614.0,24.3,74.0,14.5
108,BANNER CASA GRANDE MEDICAL CENTER (030016),2019,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,213.0,22.2,1167.0,14.5,416.0,17.7,182.0,20.2,240.0,4.1,139.0,15.3,,,139.0,13.5,213.0,48.1,416.0,19.9,,
109,MARICOPA MEDICAL CENTER (030022),2019,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,33.0,22.0,307.0,15.6,39.0,15.5,,,,,,,,,,,33.0,20.0,39.0,-36.6,34.0,14.5
110,FLAGSTAFF MEDICAL CENTER (030023),2019,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,268.0,18.8,3090.0,13.2,451.0,14.0,133.0,17.1,780.0,3.8,213.0,14.7,94.0,11.8,213.0,17.4,268.0,-32.0,451.0,-15.4,,
111,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2019,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,197.0,22.3,3945.0,15.1,385.0,17.1,165.0,19.2,29.0,4.0,120.0,16.8,71.0,13.3,121.0,5.6,197.0,7.6,385.0,4.9,143.0,13.8
112,ABRAZO CENTRAL CAMPUS (030030),2019,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,81.0,20.7,743.0,16.1,143.0,16.7,67.0,19.8,42.0,3.7,48.0,15.1,,,48.0,-1.4,81.0,13.2,143.0,21.5,34.0,15.1
113,CHANDLER REGIONAL MEDICAL CENTER (030036),2019,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,547.0,19.9,5352.0,14.7,1024.0,15.9,528.0,19.2,304.0,4.4,365.0,15.1,160.0,11.3,365.0,-3.1,547.0,-7.1,1024.0,0.9,68.0,15.7
114,ST LUKE'S MEDICAL CENTER (030037),2019,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,69.0,20.5,1018.0,13.1,66.0,17.0,36.0,20.0,1166.0,3.3,71.0,17.0,25.0,13.7,71.0,16.2,71.0,23.3,66.0,16.6,32.0,14.5
115,SCOTTSDALE OSBORN MEDICAL CENTER (030038),2019,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,387.0,21.3,3890.0,15.8,607.0,15.7,291.0,19.2,504.0,3.5,152.0,15.7,27.0,11.9,152.0,-1.7,387.0,-6.8,608.0,5.2,333.0,14.2
116,CANYON VISTA MEDICAL CENTER (030043),2019,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,215.0,22.6,1303.0,14.8,308.0,16.9,228.0,18.5,255.0,5.9,148.0,15.3,,,148.0,-5.5,216.0,18.5,309.0,18.3,265.0,15.1
117,KINGMAN REGIONAL MEDICAL CENTER (030055),2019,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,430.0,20.0,2049.0,15.1,567.0,18.9,449.0,20.7,159.0,5.6,212.0,16.4,71.0,14.0,212.0,31.8,430.0,27.8,567.0,52.5,267.0,13.1
118,BANNER BOSWELL MEDICAL CENTER (030061),2019,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,704.0,18.9,4332.0,14.2,1088.0,15.0,497.0,17.7,728.0,3.3,399.0,13.6,191.0,12.5,399.0,2.8,704.0,-4.6,1088.0,2.4,272.0,16.9
119,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2019,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,140.0,19.4,1139.0,14.7,230.0,15.4,200.0,17.7,315.0,4.2,100.0,15.6,,,100.0,1.7,140.0,-22.1,230.0,17.1,179.0,14.5
120,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2019,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,321.0,21.0,2464.0,15.1,392.0,16.4,130.0,18.1,140.0,3.8,225.0,16.3,48.0,11.7,225.0,16.7,321.0,5.6,392.0,11.7,196.0,15.7
121,BANNER DESERT MEDICAL CENTER (030065),2019,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,400.0,21.0,3751.0,15.2,744.0,15.3,432.0,20.8,166.0,4.1,259.0,15.7,83.0,14.4,259.0,25.5,401.0,9.8,744.0,10.8,68.0,14.7
122,MT. GRAHAM REGIONAL MEDICAL CENTER (030068),2019,Acute Care,Government - Hospital District or Authority,45.0,32.821883,-109.732994,AZ,,,211.0,15.0,73.0,15.7,44.0,19.5,89.0,4.2,,,,,,,,,73.0,-6.0,42.0,15.0
123,HAVASU REGIONAL MEDICAL CENTER (030069),2019,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,427.0,20.8,2308.0,15.4,459.0,17.6,336.0,19.3,561.0,3.8,346.0,16.3,117.0,15.9,346.0,12.0,427.0,5.3,459.0,27.9,668.0,16.5
124,FORT DEFIANCE INDIAN HOSPITAL (030071),2019,Acute Care,Government - Federal,54.0,,,AZ,54.0,22.7,537.0,15.7,178.0,16.9,41.0,19.3,,,,,,,,,54.0,48.7,178.0,9.3,,
125,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2019,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,45.0,22.0,383.0,14.6,162.0,16.1,,,118.0,4.6,,,,,,,45.0,4.7,162.0,21.1,,
126,SAN CARLOS APACHE HEALTHCARE (030077),2019,Acute Care,Government - Federal,9.0,,,AZ,,,68.0,15.1,27.0,16.8,,,,,,,,,,,,,27.0,29.1,,
127,PHOENIX INDIAN MEDICAL CENTER (030078),2019,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,123.0,15.2,34.0,15.3,,,,,,,,,,,,,34.0,-33.1,,
128,ABRAZO SCOTTSDALE CAMPUS (030083),2019,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,98.0,21.2,714.0,15.1,178.0,15.0,104.0,19.5,,,58.0,16.4,,,58.0,7.0,98.0,-11.1,178.0,-15.9,,
129,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2019,Acute Care,Government - Federal,60.0,,,AZ,36.0,21.5,226.0,14.8,117.0,17.2,,,,,,,,,,,36.0,-19.6,117.0,26.1,,
130,NORTHWEST MEDICAL CENTER (030085),2019,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,309.0,20.1,3386.0,14.7,503.0,17.9,368.0,20.7,1059.0,4.9,161.0,16.4,87.0,13.5,161.0,0.0,310.0,-0.9,504.0,17.3,475.0,13.7
131,SCOTTSDALE SHEA MEDICAL CENTER (030087),2019,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,728.0,21.4,5728.0,15.4,1051.0,15.6,348.0,19.1,1022.0,4.1,295.0,14.6,108.0,13.1,295.0,-3.5,728.0,5.7,1051.0,-3.7,667.0,14.4
132,BANNER BAYWOOD MEDICAL CENTER (030088),2019,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,529.0,18.9,4528.0,13.3,1298.0,16.2,629.0,18.2,598.0,3.9,54.0,15.5,,,54.0,-1.7,529.0,-27.4,1299.0,1.2,126.0,16.3
133,BANNER THUNDERBIRD MEDICAL CENTER (030089),2019,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,387.0,17.7,2508.0,14.2,723.0,15.3,241.0,19.7,140.0,4.0,232.0,14.4,69.0,12.2,232.0,18.2,387.0,-11.1,723.0,10.4,101.0,14.5
134,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2019,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,268.0,21.4,2624.0,14.7,624.0,18.3,266.0,19.5,373.0,3.5,178.0,14.2,39.0,13.0,178.0,18.5,268.0,13.9,624.0,10.0,394.0,14.2
135,BANNER DEL E. WEBB MEDICAL CENTER (030093),2019,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,597.0,20.2,4369.0,14.2,1144.0,14.5,538.0,19.0,814.0,3.3,389.0,13.8,,,389.0,2.3,597.0,10.3,1144.0,-0.7,464.0,15.3
136,ABRAZO ARROWHEAD CAMPUS (030094),2019,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,408.0,19.6,3097.0,15.8,382.0,14.7,239.0,19.5,495.0,3.5,324.0,16.4,150.0,14.5,324.0,19.1,408.0,-21.5,382.0,-13.1,284.0,15.2
137,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2019,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,355.0,22.7,1299.0,15.6,262.0,15.5,341.0,19.7,157.0,3.6,187.0,15.4,,,187.0,20.5,355.0,13.8,262.0,3.4,384.0,14.8
138,MAYO CLINIC HOSPITAL (030103),2019,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,785.0,20.6,6467.0,15.1,1046.0,17.4,205.0,18.7,1230.0,3.8,256.0,15.7,68.0,12.7,256.0,-1.3,786.0,-8.6,1046.0,-1.5,535.0,15.8
139,BANNER HEART HOSPITAL (030105),2019,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,583.0,18.8,1552.0,14.3,60.0,17.0,30.0,19.1,,,807.0,14.5,275.0,13.8,807.0,-6.2,582.0,-15.5,60.0,39.4,,
140,ARIZONA SPINE AND JOINT HOSPITAL (030107),2019,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,518.0,13.9,,,,,828.0,3.5,,,,,,,,,,,,
141,"CORE INSTITUTE SPECIALTY HOSPITAL, THE (030108)",2019,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,540.0,13.7,,,,,769.0,3.2,,,,,,,,,,,,
142,ABRAZO WEST CAMPUS (030110),2019,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,173.0,19.6,1833.0,15.7,327.0,17.7,210.0,20.8,,,170.0,15.1,35.0,13.3,170.0,4.2,173.0,-22.0,327.0,17.2,157.0,14.2
143,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2019,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,82.0,20.8,557.0,15.5,143.0,15.2,47.0,19.9,,,109.0,15.7,,,109.0,14.2,82.0,-9.4,143.0,-45.5,101.0,14.1
144,ARIZONA SPECIALTY HOSPITAL (030112),2019,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,391.0,14.7,,,,,624.0,4.2,,,,,,,,,,,,
145,WHITERIVER PHS INDIAN HOSPITAL (030113),2019,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,89.0,14.9,55.0,15.8,,,,,,,,,,,,,55.0,-7.2,,
146,ORO VALLEY HOSPITAL (030114),2019,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,323.0,22.4,2040.0,15.7,398.0,15.8,228.0,20.2,950.0,4.0,132.0,14.3,,,132.0,-24.3,323.0,12.3,398.0,-14.2,322.0,13.1
147,BANNER ESTRELLA MEDICAL CENTER (030115),2019,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,277.0,18.8,1536.0,14.6,369.0,15.4,154.0,20.0,101.0,4.5,153.0,14.6,28.0,13.8,153.0,-3.5,277.0,-20.5,369.0,2.5,135.0,14.2
148,VALLEY VIEW MEDICAL CENTER (030117),2019,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,167.0,21.9,641.0,15.9,178.0,15.9,139.0,18.9,204.0,3.8,44.0,16.1,,,44.0,-3.8,167.0,10.3,178.0,8.7,72.0,14.3
149,MERCY GILBERT MEDICAL CENTER (030119),2019,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,375.0,22.0,2732.0,14.9,712.0,14.7,300.0,19.4,372.0,3.8,167.0,15.1,,,167.0,3.8,375.0,13.4,712.0,5.2,,
150,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2019,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,215.0,21.4,1504.0,14.8,332.0,16.7,126.0,18.4,270.0,4.3,219.0,14.3,47.0,13.1,219.0,-14.4,215.0,-3.1,332.0,1.5,66.0,14.4
151,BANNER GATEWAY MEDICAL CENTER (030122),2019,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,133.0,19.8,1403.0,14.4,480.0,16.3,134.0,19.1,54.0,4.2,,,,,,,133.0,-24.5,480.0,20.8,165.0,14.9
152,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER (030123),2019,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,259.0,20.7,2815.0,15.4,440.0,16.2,166.0,21.3,1359.0,3.9,120.0,14.6,,,120.0,-22.0,259.0,-2.1,440.0,11.2,502.0,15.7
153,PHOENIX VA MEDICAL CENTER (03012F),2019,Acute Care (VA),Government - Federal,,,,,557.0,24.1,,,408.0,14.2,,,,,101.0,15.8,,,,,,,,,,
154,BANNER IRONWOOD MEDICAL CENTER (030130),2019,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,75.0,20.7,462.0,15.0,147.0,15.6,78.0,19.5,60.0,4.0,,,,,,,75.0,-2.6,147.0,0.1,170.0,15.7
155,O.A.S.I.S. HOSPITAL (030131),2019,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,1604.0,14.2,,,,,2649.0,3.7,,,,,,,,,,,,
156,BANNER GOLDFIELD MEDICAL CENTER (030134),2019,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,43.0,21.1,189.0,15.4,98.0,15.3,65.0,19.2,,,,,,,,,43.0,-22.5,98.0,-20.0,,
157,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL (030136),2019,Acute Care,Proprietary,14.0,33.380677,-112.168233,AZ,,,42.0,15.1,,,,,,,,,,,,,,,,,,
158,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2019,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,109.0,21.0,610.0,15.1,202.0,15.9,122.0,20.0,,,34.0,15.3,,,34.0,-23.8,109.0,-0.5,202.0,-20.0,154.0,14.8
159,VA S. ARIZONA HEALTHCARE SYSTEM (03013F),2019,Acute Care (VA),Government - Federal,,,,,711.0,24.6,,,654.0,18.6,,,,,285.0,21.9,,,,,,,,,,
160,VA NORTHERN ARIZONA HEALTHCARE SYSTEM (03033F),2019,Acute Care (VA),Government - Federal,,,,,116.0,22.1,,,246.0,14.7,,,,,,,,,,,,,,,,
161,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2019,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,100.0,15.9,73.0,16.4,39.0,19.9,,,,,,,,,,,73.0,-12.1,58.0,14.4
162,PAGE HOSPITAL (031304),2019,Critical Access,Government - Hospital District or Authority,25.0,36.91696,-111.463186,AZ,,,38.0,15.5,,,,,,,,,,,,,,,,,,
163,HOPI HEALTH CARE CENTER (031305),2019,Critical Access,Tribal,6.0,,,AZ,,,60.0,15.4,34.0,17.0,,,,,,,,,,,,,34.0,2.7,,
164,SAGE MEMORIAL HOSPITAL (031309),2019,Critical Access,Voluntary non-profit - Private,25.0,,,AZ,,,81.0,14.8,68.0,17.2,,,,,,,,,,,,,68.0,-21.4,,
165,HOLY CROSS HOSPITAL (031313),2019,Critical Access,Proprietary,30.0,31.341118,-110.958734,AZ,,,32.0,15.1,,,,,,,,,,,,,,,,,,
166,WHITE MOUNTAIN REGIONAL MEDICAL CENTER (031315),2019,Critical Access,Voluntary non-profit - Private,21.0,34.132136,-109.286545,AZ,,,75.0,15.3,36.0,16.8,25.0,18.7,,,,,,,,,,,36.0,-5.3,54.0,14.5
167,LA PAZ REGIONAL HOSPITAL (031317),2019,Critical Access,Voluntary non-profit - Private,25.0,34.135137,-114.285597,AZ,62.0,21.6,305.0,15.6,111.0,16.8,82.0,20.8,45.0,4.0,39.0,15.7,,,39.0,-7.5,62.0,1.5,111.0,4.6,,
168,BANNER PAYSON MEDICAL CENTER (031318),2019,Critical Access,Voluntary non-profit - Other,25.0,34.231351,-111.321361,AZ,113.0,19.4,511.0,14.6,164.0,16.4,95.0,18.0,71.0,4.1,,,,,,,113.0,-16.8,164.0,-14.2,,
169,SILOAM SPRINGS REGIONAL HOSPITAL (040001),2019,Acute Care,Proprietary,46.0,36.190377,-94.509658,AR,44.0,20.8,258.0,14.9,101.0,16.9,54.0,19.6,37.0,4.2,,,,,,,44.0,-2.0,102.0,-5.0,109.0,14.5
170,JOHNSON REGIONAL MEDICAL CENTER (040002),2019,Acute Care,Voluntary non-profit - Private,86.0,35.464384,-93.445797,AR,76.0,22.2,449.0,16.9,185.0,18.3,149.0,19.6,74.0,3.9,,,,,,,76.0,-7.9,185.0,26.0,124.0,14.9
171,WASHINGTON REGIONAL MEDICAL CENTER (040004),2019,Acute Care,Voluntary non-profit - Private,314.0,36.110984,-94.157862,AR,751.0,18.8,4393.0,14.8,617.0,14.1,349.0,19.7,822.0,3.9,330.0,14.6,129.0,12.1,330.0,2.6,751.0,-18.6,617.0,-25.7,118.0,15.2
172,CHI-ST VINCENT INFIRMARY (040007),2019,Acute Care,Voluntary non-profit - Private,414.0,,,AR,809.0,24.1,5525.0,16.8,696.0,19.1,279.0,19.8,488.0,3.4,335.0,15.6,384.0,11.2,335.0,-6.7,810.0,40.9,696.0,23.0,69.0,16.2
173,MERCY HOSPITAL NORTHWEST ARKANSAS (040010),2019,Acute Care,Voluntary non-profit - Church,201.0,36.309562,-94.184709,AR,466.0,20.3,2932.0,13.8,726.0,14.7,292.0,18.6,418.0,4.2,264.0,14.5,153.0,11.8,264.0,-3.0,466.0,-7.2,726.0,-16.8,876.0,15.5
174,CHAMBERS MEMORIAL HOSPITAL (040011),2019,Acute Care,Voluntary non-profit - Private,41.0,35.054823,-93.388543,AR,164.0,24.9,504.0,16.7,173.0,18.5,176.0,21.5,,,,,,,,,164.0,-0.3,173.0,3.8,62.0,15.7
175,WHITE COUNTY MEDICAL CENTER (040014),2019,Acute Care,Voluntary non-profit - Private,315.0,35.250446,-91.696758,AR,553.0,20.7,3382.0,16.4,1196.0,15.9,868.0,17.5,255.0,3.5,213.0,14.4,,,213.0,5.9,553.0,6.8,1196.0,9.2,326.0,15.6
176,MENA REGIONAL HEALTH SYSTEM (040015),2019,Acute Care,Government - Local,65.0,34.588386,-94.221383,AR,105.0,22.1,395.0,15.1,123.0,16.9,141.0,19.8,,,,,,,,,105.0,-5.8,123.0,-0.2,85.0,14.7
177,UAMS MEDICAL CENTER (040016),2019,Acute Care,Government - State,480.0,34.751583,-92.320998,AR,237.0,25.5,3906.0,17.6,539.0,18.6,142.0,19.0,554.0,4.1,88.0,16.3,,,88.0,24.9,237.0,62.5,539.0,52.3,402.0,13.3
178,NORTH ARKANSAS REGIONAL MEDICAL CENTER (040017),2019,Acute Care,Voluntary non-profit - Other,133.0,36.236281,-93.107148,AR,131.0,22.2,949.0,15.7,444.0,16.0,190.0,20.6,204.0,3.4,,,,,,,131.0,-7.9,444.0,-17.3,299.0,14.3
179,SPARKS MEDICAL CENTER - VAN BUREN (040018),2019,Acute Care,Proprietary,68.0,35.434175,-94.339451,AR,,,118.0,15.1,41.0,18.0,59.0,19.1,,,,,,,,,,,41.0,29.5,,
180,FORREST CITY MEDICAL CENTER (040019),2019,Acute Care,Proprietary,68.0,35.039275,-90.771894,AR,38.0,22.4,244.0,15.8,130.0,19.3,81.0,19.1,,,,,,,,,38.0,12.9,130.0,48.3,126.0,15.3
181,ST BERNARDS MEDICAL CENTER (040020),2019,Acute Care,Voluntary non-profit - Private,376.0,35.837478,-90.702142,AR,537.0,24.2,3954.0,17.3,934.0,18.3,762.0,23.3,443.0,3.8,325.0,17.2,269.0,14.1,325.0,28.2,537.0,38.5,934.0,24.1,110.0,15.7
182,NORTHWEST MEDICAL CENTER-SPRINGDALE (040022),2019,Acute Care,Proprietary,325.0,36.181394,-94.136464,AR,349.0,21.3,2107.0,14.7,417.0,15.8,324.0,18.9,172.0,4.6,433.0,17.3,80.0,12.2,433.0,7.0,350.0,1.7,417.0,-12.9,258.0,15.8
183,CHI ST. VINCENT HOSPITAL HOT SPRINGS (040026),2019,Acute Care,Voluntary non-profit - Church,235.0,34.466035,-93.066396,AR,869.0,21.6,3983.0,15.5,842.0,17.8,440.0,19.3,617.0,5.0,288.0,15.2,70.0,12.9,288.0,-3.4,870.0,13.1,842.0,20.8,385.0,14.9
184,BAXTER REGIONAL MEDICAL CENTER (040027),2019,Acute Care,Voluntary non-profit - Private,214.0,36.343067,-92.395905,AR,651.0,22.2,3084.0,15.4,741.0,16.9,554.0,22.4,664.0,4.3,378.0,14.4,123.0,13.9,378.0,-14.8,651.0,-15.2,741.0,-9.1,769.0,13.9
185,CONWAY REGIONAL HEALTH SYSTEM (040029),2019,Acute Care,Voluntary non-profit - Private,151.0,35.084826,-92.457103,AR,254.0,24.2,2289.0,16.8,874.0,16.3,292.0,18.3,376.0,4.4,205.0,16.3,62.0,14.3,205.0,10.2,254.0,20.1,874.0,16.1,286.0,13.9
186,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK (040036),2019,Acute Care,Voluntary non-profit - Private,212.0,34.784075,-92.218633,AR,559.0,23.2,3350.0,14.8,908.0,17.1,410.0,19.1,252.0,4.3,296.0,16.8,105.0,11.5,296.0,6.4,560.0,39.1,909.0,18.5,153.0,14.8
187,ARKANSAS METHODIST MEDICAL CENTER (040039),2019,Acute Care,Voluntary non-profit - Private,129.0,36.052593,-90.499051,AR,212.0,23.7,936.0,16.2,333.0,18.6,234.0,20.1,,,58.0,16.6,,,58.0,15.5,212.0,19.4,333.0,4.8,144.0,15.8
188,ST MARYS REGIONAL MEDICAL CENTER (040041),2019,Acute Care,Proprietary,155.0,35.28286,-93.149908,AR,341.0,21.0,1195.0,14.7,346.0,17.4,209.0,17.1,85.0,4.6,148.0,15.3,,,148.0,-2.1,342.0,16.8,347.0,19.8,386.0,14.6
189,FIVE RIVERS MEDICAL CENTER (040047),2019,Acute Care,Voluntary non-profit - Private,44.0,36.289911,-90.996334,AR,48.0,21.7,241.0,16.0,99.0,17.6,57.0,19.5,,,,,,,,,48.0,-13.9,99.0,-6.3,102.0,15.0
190,OUACHITA COUNTY MEDICAL CENTER (040050),2019,Acute Care,Voluntary non-profit - Private,97.0,,,AR,63.0,20.7,405.0,14.8,192.0,16.5,88.0,20.5,105.0,4.3,,,,,,,63.0,-13.4,192.0,4.0,38.0,15.0
191,DREW MEMORIAL HOSPITAL (040051),2019,Acute Care,Voluntary non-profit - Private,51.0,33.610628,-91.814978,AR,111.0,22.3,535.0,15.3,316.0,17.9,190.0,18.2,,,,,,,,,111.0,33.5,316.0,21.0,40.0,15.0
