,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
78,EAMC-LANIER (010175),2022,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,50.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY (01019F),2022,Acute Care (VA),Government - Federal,,,,,87.0,19.9,303.0,14.1,64.0,19.1,,,,,,,,,,,,,87.0,-43.9,70.0,19.0,58.0,-44.3,56.0,10.0,,,,,
80,WASHINGTON COUNTY HOSPITAL (011300),2022,Critical Access,Proprietary,103.0,31.460296,-88.235291,AL,,,30.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,RED BAY HOSPITAL (011302),2022,Critical Access,Government - Hospital District or Authority,25.0,34.457425,-88.146934,AL,,,53.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ST VINCENTS BLOUNT (011305),2022,Critical Access,Voluntary non-profit - Private,25.0,33.932537,-86.493059,AL,28.0,20.6,98.0,15.7,,,,,,,,,,,,,,,28.0,-31.5,26.0,9.0,55.0,1.4,52.0,11.0,,143.0,17.7,,
83,TANNER MEDICAL CENTER-EAST ALABAMA (011306),2022,Critical Access,Government - Hospital District or Authority,15.0,33.296666,-85.480028,AL,,,52.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PROVIDENCE ALASKA MEDICAL CENTER (020001),2022,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,AK,421.0,20.0,3085.0,13.2,174.0,19.0,148.0,5.0,415.0,15.0,81.0,11.1,101.0,3.8,415.0,8.3,402.0,102.0,421.0,23.5,374.0,109.0,187.0,36.4,182.0,52.0,8.4,402.0,18.1,286.0,1.4
85,MAT-SU REGIONAL MEDICAL CENTER (020006),2022,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,AK,147.0,22.0,1205.0,15.7,79.0,19.1,92.0,4.9,96.0,15.0,,,,,96.0,-10.5,94.0,29.0,147.0,-0.4,125.0,46.0,254.0,-16.0,233.0,70.0,,623.0,15.2,161.0,1.0
86,BARTLETT REGIONAL HOSPITAL (020008),2022,Acute Care,Government - Local,58.0,58.328696,-134.466829,AK,44.0,20.7,267.0,14.2,30.0,19.5,77.0,4.4,,,,,31.0,3.7,,,,,44.0,-34.0,38.0,11.0,42.0,65.6,38.0,12.0,7.7,524.0,16.3,72.0,1.0
87,FAIRBANKS MEMORIAL HOSPITAL (020012),2022,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,AK,104.0,18.9,726.0,13.4,50.0,19.2,196.0,3.6,66.0,14.7,,,25.0,3.8,66.0,-7.1,66.0,18.0,104.0,-48.6,86.0,27.0,84.0,-5.3,81.0,21.0,7.1,999.0,16.0,118.0,0.9
88,ALASKA REGIONAL HOSPITAL (020017),2022,Acute Care,Proprietary,169.0,61.20979,-149.827379,AK,165.0,21.5,1926.0,13.6,61.0,21.5,640.0,4.1,128.0,13.6,80.0,10.1,,,128.0,-19.1,127.0,40.0,165.0,36.0,148.0,53.0,140.0,-9.8,134.0,36.0,,473.0,17.0,132.0,1.3
89,YUKON KUSKOKWIM DELTA REG HOSPITAL (020018),2022,Acute Care,Tribal,34.0,,,AK,33.0,21.0,96.0,14.2,,,,,,,,,,,,,,,33.0,9.7,24.0,5.0,62.0,13.2,58.0,3.0,,,,,
90,CENTRAL PENINSULA GENERAL HOSPITAL (020024),2022,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,AK,139.0,21.2,681.0,14.1,94.0,19.5,165.0,5.2,,,,,98.0,3.9,,,,,139.0,5.4,108.0,38.0,99.0,7.3,95.0,31.0,8.0,506.0,14.0,132.0,1.0
91,ALASKA NATIVE MEDICAL CENTER (020026),2022,Acute Care,Government - Federal,163.0,61.18189,-149.800578,AK,110.0,21.1,1030.0,13.9,102.0,19.0,115.0,4.3,37.0,13.9,,,41.0,3.5,37.0,-23.7,35.0,3.0,110.0,34.8,95.0,30.0,126.0,63.7,117.0,20.0,7.0,,,,
92,SEARHC WRANGELL MEDICAL CENTER-CAH (021305),2022,Critical Access,Government - Local,22.0,56.471646,-132.376414,AK,,,46.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVIDENCE KODIAK ISLAND MEDICAL CTR (021306),2022,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,AK,,,90.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PEACEHEALTH KETCHIKAN MEDICAL CENTER (021311),2022,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,AK,,,180.0,14.1,28.0,19.8,49.0,4.1,,,,,,,,,,,,,,,52.0,30.2,43.0,10.0,,,,,
95,SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),2022,Critical Access,Government - Federal,16.0,71.298135,-156.72732,AK,,,55.0,15.8,32.0,21.4,,,,,,,,,,,,,,,,,,,,,,,,,
96,SOUTH PENINSULA HOSPITAL (021313),2022,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,AK,,,234.0,15.8,29.0,18.4,43.0,3.8,,,,,,,,,,,,,,,46.0,-2.2,40.0,13.0,,122.0,16.3,,
97,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (030002),2022,Acute Care,Voluntary non-profit - Other,706.0,33.465724,-112.058127,AZ,276.0,21.2,2498.0,14.8,86.0,18.9,,,155.0,14.7,69.0,10.6,92.0,4.5,155.0,7.5,151.0,41.0,276.0,-9.3,252.0,103.0,209.0,13.8,197.0,58.0,7.9,326.0,16.8,166.0,0.9
98,TUCSON MEDICAL CENTER (030006),2022,Acute Care,Voluntary non-profit - Private,520.0,32.250749,-110.880169,AZ,604.0,21.1,4822.0,14.7,205.0,18.7,631.0,3.2,283.0,17.1,104.0,11.7,,,283.0,26.7,280.0,81.0,604.0,8.3,530.0,165.0,481.0,9.3,453.0,117.0,,75.0,17.2,444.0,1.0
99,VERDE VALLEY MEDICAL CENTER (030007),2022,Acute Care,Voluntary non-profit - Private,102.0,34.736201,-112.031784,AZ,191.0,18.3,1063.0,13.0,61.0,19.8,42.0,4.6,106.0,13.5,,,68.0,4.2,106.0,-34.2,106.0,28.0,191.0,-44.1,167.0,51.0,279.0,-17.4,259.0,67.0,6.9,989.0,16.4,195.0,0.9
100,ST. MARY'S HOSPITAL (030010),2022,Acute Care,Voluntary non-profit - Private,398.0,32.228923,-111.000032,AZ,159.0,21.1,1415.0,14.8,66.0,19.7,43.0,3.7,141.0,15.1,55.0,12.7,,,141.0,7.0,138.0,38.0,159.0,-9.4,148.0,49.0,216.0,22.3,197.0,55.0,,31.0,15.6,94.0,1.1
101,ST JOSEPH'S HOSPITAL (030011),2022,Acute Care,Voluntary non-profit - Other,474.0,32.225946,-110.857838,AZ,228.0,23.9,2237.0,14.7,159.0,18.9,310.0,3.8,145.0,15.5,,,,,145.0,-4.1,144.0,40.0,228.0,19.1,198.0,68.0,262.0,15.6,252.0,61.0,,289.0,15.4,269.0,0.9
102,YAVAPAI REGIONAL MEDICAL CENTER (030012),2022,Acute Care,Government - Local,179.0,34.55938,-112.482065,AZ,368.0,21.0,2835.0,14.3,187.0,21.1,263.0,3.3,341.0,14.4,117.0,13.3,,,341.0,8.8,331.0,89.0,368.0,3.2,319.0,114.0,525.0,-6.5,480.0,124.0,,2257.0,14.8,256.0,1.1
103,YUMA REGIONAL MEDICAL CENTER (030013),2022,Acute Care,Voluntary non-profit - Private,397.0,32.683899,-114.633238,AZ,515.0,20.6,3080.0,15.8,219.0,18.2,417.0,3.1,347.0,12.8,134.0,12.1,239.0,3.4,347.0,-3.5,341.0,96.0,515.0,16.2,450.0,160.0,627.0,23.3,577.0,172.0,6.6,450.0,17.3,330.0,0.9
104,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL (030014),2022,Acute Care,Voluntary non-profit - Private,258.0,33.567754,-112.07063,AZ,214.0,20.7,1799.0,15.0,115.0,17.8,135.0,4.0,94.0,15.1,27.0,12.0,646.0,3.2,94.0,17.1,92.0,19.0,214.0,19.2,182.0,47.0,311.0,-7.9,284.0,64.0,7.4,148.0,16.4,180.0,1.0
105,BANNER CASA GRANDE MEDICAL CENTER (030016),2022,Acute Care,Voluntary non-profit - Other,156.0,32.879608,-111.709253,AZ,165.0,19.0,758.0,15.5,71.0,21.7,48.0,3.8,76.0,14.7,,,,,76.0,1.5,75.0,16.0,165.0,-3.5,139.0,46.0,288.0,60.0,259.0,80.0,,116.0,17.3,141.0,0.8
106,VALLEYWISE HEALTH MEDICAL CENTER (030022),2022,Acute Care,Government - Local,570.0,33.458525,-112.02643,AZ,34.0,21.5,245.0,15.5,,,,,,,,,,,,,,,34.0,-14.0,25.0,10.0,,,,,,74.0,15.8,,
107,FLAGSTAFF MEDICAL CENTER (030023),2022,Acute Care,Voluntary non-profit - Private,267.0,35.209534,-111.644835,AZ,259.0,19.4,1952.0,13.8,71.0,20.1,213.0,4.2,175.0,14.0,85.0,13.3,,,175.0,11.7,174.0,38.0,259.0,-21.2,235.0,58.0,201.0,3.4,193.0,44.0,,52.0,16.4,203.0,1.0
108,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER (030024),2022,Acute Care,Voluntary non-profit - Church,560.0,33.480294,-112.079208,AZ,188.0,19.9,3320.0,15.2,100.0,18.8,,,122.0,15.7,42.0,11.5,125.0,3.5,122.0,-10.9,120.0,35.0,188.0,6.6,163.0,54.0,275.0,-0.8,263.0,76.0,8.7,313.0,16.7,354.0,1.2
109,ABRAZO CENTRAL CAMPUS (030030),2022,Acute Care,Proprietary,186.0,33.524116,-112.101934,AZ,62.0,21.7,503.0,15.2,53.0,20.0,,,30.0,14.5,,,,,30.0,-9.1,28.0,4.0,62.0,-11.7,48.0,16.0,99.0,9.9,96.0,21.0,,128.0,16.5,89.0,0.9
110,CHANDLER REGIONAL MEDICAL CENTER (030036),2022,Acute Care,Voluntary non-profit - Other,318.0,33.298691,-111.873508,AZ,470.0,20.4,4126.0,14.7,235.0,19.1,103.0,4.5,295.0,15.0,127.0,12.3,,,295.0,-3.7,287.0,90.0,470.0,-5.5,412.0,148.0,746.0,-10.8,691.0,183.0,,129.0,14.6,387.0,1.2
111,ST LUKE'S MEDICAL CENTER (030037),2022,Acute Care,Proprietary,209.0,33.451436,-112.042767,AZ,28.0,20.3,132.0,15.0,,,185.0,4.4,,,,,,,,,,,28.0,-42.8,24.0,7.0,,,,,,52.0,16.7,,
112,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER (030038),2022,Acute Care,Proprietary,360.0,33.487639,-111.922725,AZ,261.0,22.7,3070.0,15.8,106.0,21.4,259.0,3.8,102.0,14.3,,,,,102.0,43.7,100.0,22.0,261.0,42.5,242.0,78.0,330.0,-14.8,296.0,69.0,,559.0,19.4,316.0,1.0
113,CANYON VISTA MEDICAL CENTER (030043),2022,Acute Care,Voluntary non-profit - Other,92.0,31.554635,-110.230726,AZ,173.0,21.7,1093.0,15.5,107.0,20.5,189.0,4.2,105.0,15.3,,,,,105.0,14.3,100.0,26.0,173.0,-14.4,152.0,56.0,250.0,-23.8,227.0,53.0,,384.0,16.1,115.0,1.1
114,KINGMAN REGIONAL MEDICAL CENTER (030055),2022,Acute Care,Government - Hospital District or Authority,221.0,35.219907,-114.035813,AZ,275.0,21.1,1275.0,14.2,85.0,18.1,74.0,4.6,157.0,13.1,30.0,11.3,86.0,4.0,157.0,-18.9,149.0,42.0,275.0,12.6,225.0,82.0,369.0,17.1,317.0,95.0,8.7,644.0,14.8,151.0,1.1
115,BANNER BOSWELL MEDICAL CENTER (030061),2022,Acute Care,Voluntary non-profit - Other,508.0,33.604798,-112.282538,AZ,562.0,21.6,3401.0,15.2,185.0,19.7,229.0,3.7,236.0,15.4,171.0,12.3,114.0,3.3,236.0,14.6,232.0,59.0,562.0,23.8,484.0,172.0,846.0,11.2,758.0,219.0,9.6,456.0,18.5,411.0,1.1
116,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (030062),2022,Acute Care,Voluntary non-profit - Private,91.0,34.201967,-110.01839,AZ,147.0,20.0,946.0,14.1,73.0,18.7,110.0,3.8,68.0,14.6,,,102.0,4.3,68.0,-0.3,68.0,21.0,147.0,-39.9,131.0,45.0,177.0,-21.0,168.0,35.0,6.7,650.0,16.2,164.0,1.6
117,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS (030064),2022,Acute Care,Voluntary non-profit - Private,511.0,32.242362,-110.944092,AZ,243.0,20.4,2339.0,14.9,58.0,20.3,,,114.0,14.3,48.0,10.9,422.0,3.5,114.0,11.6,112.0,28.0,243.0,1.0,207.0,70.0,273.0,25.4,268.0,65.0,8.2,554.0,18.1,340.0,0.8
118,BANNER DESERT MEDICAL CENTER (030065),2022,Acute Care,Voluntary non-profit - Private,632.0,33.39091,-111.874624,AZ,354.0,20.7,3101.0,14.7,171.0,20.0,46.0,3.6,183.0,15.1,55.0,10.9,,,183.0,-5.6,181.0,41.0,354.0,-7.5,316.0,90.0,553.0,17.0,508.0,148.0,,226.0,18.6,332.0,1.2
119,HAVASU REGIONAL MEDICAL CENTER (030069),2022,Acute Care,Proprietary,169.0,34.47998,-114.338537,AZ,344.0,22.4,1803.0,14.6,177.0,19.2,201.0,4.3,251.0,15.5,91.0,14.3,100.0,3.7,251.0,34.5,239.0,64.0,344.0,7.4,301.0,104.0,315.0,8.4,290.0,69.0,7.7,1612.0,14.4,254.0,1.2
120,FORT DEFIANCE INDIAN HOSPITAL (030071),2022,Acute Care,Government - Federal,54.0,,,AZ,46.0,20.9,335.0,16.5,,,,,,,,,,,,,,,46.0,-11.3,33.0,11.0,93.0,-2.6,82.0,17.0,,,,,
121,TUBA CITY REGIONAL HEALTH CARE CORPORATION (030073),2022,Acute Care,Voluntary non-profit - Other,73.0,,,AZ,,,266.0,15.4,,,40.0,4.2,,,,,,,,,,,,,,,134.0,14.9,117.0,30.0,,,,,
122,SELLS HOSPITAL (030074),2022,Acute Care,Government - Federal,13.0,,,AZ,,,40.0,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,SAN CARLOS APACHE HEALTHCARE CORP (030077),2022,Acute Care,Government - Federal,9.0,,,AZ,,,62.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PHOENIX INDIAN MEDICAL CENTER (030078),2022,Acute Care,Government - Federal,119.0,33.49701,-112.047613,AZ,,,56.0,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,ABRAZO SCOTTSDALE CAMPUS (030083),2022,Acute Care,Proprietary,129.0,33.640603,-111.997692,AZ,65.0,21.1,550.0,15.4,41.0,19.6,317.0,5.0,30.0,14.8,,,,,30.0,15.6,30.0,6.0,65.0,26.2,60.0,16.0,121.0,80.0,116.0,40.0,,,,146.0,0.9
126,CHINLE COMPREHENSIVE HEALTH CARE FACILITY (030084),2022,Acute Care,Government - Federal,60.0,,,AZ,33.0,21.1,199.0,15.4,,,,,,,,,,,,,,,33.0,-12.2,27.0,6.0,65.0,5.3,57.0,10.0,,,,,
127,NORTHWEST MEDICAL CENTER (030085),2022,Acute Care,Proprietary,283.0,32.319581,-111.012054,AZ,326.0,20.1,2632.0,14.7,150.0,21.4,233.0,4.2,183.0,14.8,66.0,13.2,,,183.0,-10.5,179.0,49.0,326.0,4.2,289.0,80.0,335.0,-11.5,306.0,66.0,,1448.0,14.3,464.0,1.1
128,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER (030087),2022,Acute Care,Proprietary,426.0,33.582467,-111.886032,AZ,575.0,21.0,4707.0,16.1,159.0,20.3,768.0,4.3,227.0,14.8,107.0,14.5,109.0,3.9,227.0,8.1,225.0,65.0,575.0,9.5,491.0,145.0,634.0,20.9,599.0,162.0,7.6,1085.0,15.1,775.0,0.9
129,BANNER BAYWOOD MEDICAL CENTER (030088),2022,Acute Care,Voluntary non-profit - Private,340.0,33.410465,-111.688045,AZ,384.0,21.2,2640.0,13.1,196.0,18.1,180.0,3.6,,,,,,,,,,,384.0,0.1,356.0,117.0,727.0,7.8,685.0,173.0,,331.0,19.9,267.0,0.9
130,BANNER THUNDERBIRD MEDICAL CENTER (030089),2022,Acute Care,Government - Hospital District or Authority,566.0,33.610731,-112.178698,AZ,366.0,20.0,2223.0,14.4,117.0,18.8,33.0,4.2,173.0,13.7,61.0,12.2,71.0,3.4,173.0,-2.4,167.0,39.0,366.0,12.8,312.0,104.0,500.0,14.2,461.0,133.0,6.5,224.0,15.8,222.0,1.2
131,HONORHEALTH DEER VALLEY MEDICAL CENTER (030092),2022,Acute Care,Voluntary non-profit - Private,201.0,33.666425,-112.117188,AZ,222.0,19.9,2122.0,15.0,120.0,19.6,203.0,3.8,123.0,14.7,31.0,11.0,,,123.0,9.1,122.0,28.0,222.0,1.5,195.0,47.0,304.0,0.2,280.0,65.0,,1344.0,16.1,173.0,1.2
132,BANNER DEL E. WEBB MEDICAL CENTER (030093),2022,Acute Care,Voluntary non-profit - Private,390.0,33.658307,-112.371939,AZ,596.0,19.8,3741.0,14.2,256.0,19.2,271.0,3.9,251.0,14.5,,,,,251.0,-5.2,245.0,61.0,596.0,-8.8,500.0,159.0,949.0,18.9,867.0,239.0,,1189.0,16.8,410.0,1.0
133,ABRAZO ARROWHEAD HOSPITAL (030094),2022,Acute Care,Proprietary,244.0,33.655042,-112.202889,AZ,379.0,19.9,2482.0,14.9,127.0,20.3,175.0,4.8,243.0,15.9,105.0,10.8,,,243.0,-4.0,239.0,72.0,379.0,-7.1,319.0,104.0,326.0,20.1,303.0,82.0,,693.0,13.9,328.0,1.0
134,WESTERN ARIZONA REGIONAL MEDICAL CENTER (030101),2022,Acute Care,Proprietary,133.0,35.109853,-114.555146,AZ,216.0,21.1,938.0,14.7,145.0,19.4,,,142.0,15.5,,,,,142.0,2.5,131.0,32.0,216.0,-2.0,193.0,73.0,158.0,35.7,150.0,46.0,,958.0,16.3,74.0,0.9
135,MAYO CLINIC HOSPITAL (030103),2022,Acute Care,Voluntary non-profit - Private,277.0,33.663312,-111.955659,AZ,758.0,21.1,5649.0,14.7,121.0,17.5,679.0,3.1,168.0,14.3,56.0,12.1,189.0,4.0,168.0,1.2,163.0,46.0,758.0,0.2,631.0,228.0,677.0,-14.1,625.0,169.0,7.3,1281.0,19.4,992.0,0.7
136,BANNER HEART HOSPITAL (030105),2022,Acute Care,Voluntary non-profit - Private,110.0,33.410378,-111.685273,AZ,409.0,20.0,1367.0,14.8,,,,,435.0,15.9,203.0,12.6,,,435.0,2.1,426.0,111.0,409.0,-3.8,378.0,114.0,,,,,,,,150.0,1.2
137,ARIZONA SPINE AND JOINT HOSPITAL (030107),2022,Acute Care,Proprietary,23.0,33.379206,-111.734695,AZ,,,543.0,12.7,,,851.0,3.1,,,,,,,,,,,,,,,,,,,,,,178.0,1.0
138,THE CORE INSTITUTE SPECIALTY HOSP (030108),2022,Acute Care,Proprietary,32.0,33.531837,-112.099614,AZ,,,482.0,13.1,,,710.0,3.9,,,,,,,,,,,,,,,,,,,,,,110.0,0.8
139,ABRAZO WEST CAMPUS (030110),2022,Acute Care,Proprietary,190.0,33.464283,-112.354024,AZ,177.0,21.8,1474.0,14.9,126.0,19.4,51.0,4.5,128.0,13.3,,,,,128.0,-2.0,126.0,35.0,177.0,26.4,148.0,54.0,259.0,29.9,251.0,75.0,,390.0,14.0,53.0,1.2
140,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS (030111),2022,Acute Care,Voluntary non-profit - Private,207.0,32.177882,-110.930891,AZ,65.0,20.9,344.0,14.1,26.0,19.8,,,57.0,14.6,,,,,57.0,-35.7,56.0,13.0,65.0,-3.9,59.0,20.0,97.0,-7.5,94.0,25.0,,306.0,15.2,135.0,1.0
141,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL (030112),2022,Acute Care,Proprietary,24.0,33.33484,-111.891133,AZ,,,272.0,15.8,,,450.0,5.0,,,,,,,,,,,,,,,,,,,,,,110.0,1.0
142,WHITERIVER PHS INDIAN HOSPITAL (030113),2022,Acute Care,Government - Federal,39.0,33.875976,-109.959528,AZ,,,103.0,15.2,,,,,,,,,,,,,,,,,,,39.0,-28.4,35.0,5.0,,,,,
143,ORO VALLEY HOSPITAL (030114),2022,Acute Care,Proprietary,148.0,32.427183,-110.94954,AZ,265.0,20.7,1422.0,15.1,108.0,20.4,451.0,4.0,114.0,14.6,,,,,114.0,-8.5,109.0,28.0,265.0,-5.6,226.0,82.0,219.0,-3.3,209.0,61.0,,1038.0,17.1,104.0,1.2
144,BANNER ESTRELLA MEDICAL CENTER (030115),2022,Acute Care,Voluntary non-profit - Private,288.0,33.479558,-112.257936,AZ,234.0,19.8,1192.0,14.7,66.0,19.1,35.0,4.6,84.0,15.3,26.0,11.9,,,84.0,29.8,83.0,21.0,234.0,-22.3,200.0,68.0,294.0,12.5,274.0,79.0,,315.0,14.8,153.0,0.9
145,VALLEY VIEW MEDICAL CENTER (030117),2022,Acute Care,Proprietary,82.0,35.002363,-114.597954,AZ,55.0,23.3,333.0,15.4,68.0,19.8,60.0,4.0,31.0,15.3,,,,,31.0,-6.3,30.0,12.0,55.0,55.3,45.0,19.0,85.0,1.4,79.0,26.0,,49.0,16.0,38.0,1.0
146,MERCY GILBERT MEDICAL CENTER (030119),2022,Acute Care,Voluntary non-profit - Church,202.0,33.286661,-111.755311,AZ,304.0,19.9,2119.0,14.3,136.0,18.9,193.0,4.1,146.0,15.0,,,,,146.0,-6.2,145.0,42.0,304.0,-25.5,265.0,81.0,530.0,-8.0,489.0,117.0,,126.0,16.0,205.0,1.0
147,"MOUNTAIN VISTA MEDICAL CENTER, LP (030121)",2022,Acute Care,Proprietary,171.0,33.3911,-111.615329,AZ,136.0,21.4,1180.0,15.0,45.0,19.3,130.0,4.1,171.0,13.6,42.0,14.0,,,171.0,-26.6,165.0,40.0,136.0,11.6,126.0,39.0,150.0,-21.9,149.0,40.0,,198.0,17.5,124.0,1.1
148,BANNER GATEWAY MEDICAL CENTER (030122),2022,Acute Care,Voluntary non-profit - Other,170.0,33.384225,-111.719634,AZ,107.0,18.8,1165.0,15.0,53.0,18.7,,,,,,,450.0,4.0,,,,,107.0,-32.1,97.0,25.0,298.0,12.1,282.0,84.0,6.7,469.0,17.0,243.0,1.2
149,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER (030123),2022,Acute Care,Proprietary,98.0,33.669777,-111.921803,AZ,244.0,20.8,2357.0,14.9,92.0,19.6,560.0,4.1,120.0,15.7,,,,,120.0,6.5,119.0,41.0,244.0,12.8,204.0,70.0,298.0,2.1,284.0,60.0,,583.0,15.1,222.0,1.0
150,PHOENIX VA MEDICAL CENTER (03012F),2022,Acute Care (VA),Government - Federal,,,,,566.0,21.9,3523.0,17.1,341.0,18.8,151.0,4.4,112.0,16.0,,,,,112.0,-8.5,108.0,33.0,566.0,5.8,441.0,164.0,269.0,10.0,253.0,77.0,,,,,
151,BANNER IRONWOOD MEDICAL CENTER (030130),2022,Acute Care,Voluntary non-profit - Private,61.0,33.214839,-111.563447,AZ,78.0,18.9,449.0,15.2,40.0,20.0,,,,,,,,,,,,,78.0,-19.3,71.0,13.0,138.0,3.2,131.0,43.0,,371.0,15.2,77.0,1.0
152,O.A.S.I.S. HOSPITAL (030131),2022,Acute Care,Voluntary non-profit - Private,64.0,33.45672,-111.99521,AZ,,,1199.0,11.9,,,2232.0,3.1,,,,,,,,,,,,,,,,,,,,,,55.0,1.8
153,BANNER GOLDFIELD MEDICAL CENTER (030134),2022,Acute Care,Voluntary non-profit - Other,23.0,33.393343,-111.566796,AZ,36.0,21.4,122.0,15.2,,,,,,,,,,,,,,,36.0,13.4,31.0,9.0,84.0,17.5,83.0,23.0,,,,,
154,SANTA CRUZ VALLEY REGIONAL HOSPITAL (030137),2022,Acute Care,Proprietary,49.0,31.807943,-111.010966,AZ,55.0,21.4,259.0,15.1,32.0,20.0,,,,,,,,,,,,,55.0,-27.2,53.0,19.0,102.0,8.2,97.0,20.0,,301.0,17.5,,
155,WESTERN REGIONAL MEDICAL CENTER (030138),2022,Acute Care,Proprietary,38.0,33.452804,-112.362571,AZ,,,98.0,15.1,,,,,,,,,118.0,3.7,,,,,,,,,,,,,7.1,36.0,16.1,38.0,0.9
156,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL (030139),2022,Acute Care,Voluntary non-profit - Private,50.0,,,AZ,,,183.0,15.2,,,,,,,,,,,,,,,,,,,39.0,-28.1,37.0,8.0,,,,,
157,VA S. ARIZONA HEALTHCARE SYSTEM (03013F),2022,Acute Care (VA),Government - Federal,,,,,579.0,22.8,3888.0,18.1,356.0,22.0,363.0,4.7,221.0,18.2,,,,,221.0,20.0,213.0,83.0,579.0,11.9,471.0,180.0,480.0,12.4,446.0,133.0,,,,,
158,HONORHEALTH SONORAN CROSSING MEDICAL CENTER (030146),2022,Acute Care,Voluntary non-profit - Private,70.0,,,AZ,,,228.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,BANNER OCOTILLO MEDICAL CENTER (030147),2022,Acute Care,Voluntary non-profit - Private,94.0,,,AZ,,,249.0,15.5,,,,,,,,,,,,,,,,,,,30.0,-0.8,30.0,9.0,,,,,
160,VA NORTHERN ARIZONA HEALTHCARE SYSTEM (03033F),2022,Acute Care (VA),Government - Federal,,,,,88.0,21.1,499.0,15.4,82.0,18.8,,,,,,,,,,,,,88.0,-26.6,77.0,32.0,104.0,-14.3,100.0,30.0,,,,,
161,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC. (031302)",2022,Critical Access,Government - Hospital District or Authority,39.0,32.264268,-109.837613,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,16.4,,
